1 apos apos 2 ADP case
2 criticas criticas 6 NOUN nmod
3 de de 4 ADP case
4 lula lula 2 NOUN nmod
5 associacao associacao 6 NOUN nsubj
6 diz dizer 0 VERB root
7 que que 13 CCONJ mark
8 investigacoes investigacoe 13 NOUN nsubj
9 de de 11 ADP case
10 a o 11 DET det
11 lava lava 8 NOUN nmod
12 jato jato 11 NOUN flat
13 sao sao 6 VERB ccomp
14 serias serio 13 ADJ xcomp
15 tecnicas tecnico 13 ADJ xcomp
16 e e 17 CCONJ cc
17 impessoais impessoal 15 ADJ conj
18 expresidente expresidente 13 NOUN nsubj
19 de de 21 ADP case
20 a o 21 DET det
21 republica republica 18 NOUN nmod
22 afirmou afirmar 6 VERB ccomp
23 que que 29 CCONJ mark
24 investigadores investigador 29 NOUN nsubj
25 de de 27 ADP case
26 a o 27 DET det
27 lava lava 24 NOUN nmod
28 jato jato 27 ADJ amod
29 tem ter 22 VERB ccomp
30 tese tese 29 NOUN obj
31 pronta pronto 30 ADJ amod
32 e e 34 CCONJ cc
33 nao nao 34 ADV advmod
34 querem querer 29 VERB conj
35 a o 36 DET det
36 verdade verdade 34 NOUN obj
37 presidente presidente 84 NOUN nsubj
38 de de 40 ADP case
39 a o 40 DET det
40 anpr anpr 37 NOUN nmod
41 diz dizer 22 VERB ccomp
42 que que 156 CCONJ mark
43 discurso discurso 156 NOUN nsubj
44 de de 45 ADP case
45 lula lula 43 NOUN nmod
46 repete repetir 41 VERB ccomp
47 fala fala 46 VERB xcomp
48 de de 50 ADP case
49 outros outros 50 DET det
50 investigados investigado 47 NOUN nmod
51 o o 52 DET det
52 presidente presidente 156 NOUN nsubj
53 de de 55 ADP case
54 a o 55 DET det
55 associacao associacao 52 NOUN nmod
56 nacional nacional 55 ADJ amod
57 de de 59 ADP case
58 os o 59 DET det
59 procuradores procurador 55 NOUN nmod
60 de de 62 ADP case
61 a o 62 DET det
62 republica republica 59 NOUN nmod
63 anpr anpr 52 NOUN appos
64 jose jose 63 NOUN appos
65 robalinho robalinho 64 NOUN flat
66 cavalcanti cavalcanti 64 ADJ flat
67 divulgou divulgar 6 VERB parataxis
68 nota nota 67 NOUN obj
69 neste neste 70 ADP case
70 sabado sabado 67 PROPN nmod
71 6 6 70 NUM appos
72 em em 74 ADP case
73 a o 74 DET det
74 qual qual 75 PRON nmod
75 afirma afirmar 70 VERB acl:relcl
76 que que 84 CCONJ mark
77 as o 78 DET det
78 investigacoes investigacoe 84 NOUN nsubj
79 de de 81 ADP case
80 a o 81 DET det
81 operacao operacao 78 NOUN nmod
82 lava lava 81 NOUN appos
83 jato jato 82 NOUN flat
84 sao sao 75 VERB ccomp
85 serias serio 84 ADJ xcomp
86 tecnicas tecnico 84 ADJ xcomp
87 e e 88 CCONJ cc
88 impessoais impessoal 86 ADJ conj
89 a o 90 DET det
90 declaracao declaracao 84 NOUN nsubj
91 e e 93 CCONJ cc
92 uma um 93 DET det
93 resposta resposta 90 NOUN conj
94 de de 96 ADP case
95 a o 96 DET det
96 associacao associacao 93 NOUN nmod
97 as as 98 ADP case
98 criticas criticas 118 NOUN nsubj
99 de de 101 ADP case
100 o o 101 DET det
101 expresidente expresidente 98 NOUN nmod
102 de de 104 ADP case
103 a o 104 DET det
104 republica republica 101 NOUN nmod
105 luiz luiz 101 NOUN appos
106 inacio inacio 105 NOUN flat
107 lula lula 105 PROPN flat
108 de de 110 ADP case
109 a o 110 DET det
110 silva silva 101 NOUN nmod
111 a o 112 DET det
112 operacao operacao 84 NOUN nsubj
113 de de 115 ADP case
114 a o 115 DET det
115 qual qual 112 PRON nmod
116 e e 117 CCONJ cc
117 alvo alvo 112 NOUN conj
118 veja ver 75 VERB ccomp
119 a o 120 DET det
120 integra integra 118 NOUN obj
121 de de 123 ADP case
122 a o 123 DET det
123 nota nota 120 NOUN nmod
124 a a 126 ADP case
125 o o 126 DET det
126 final final 120 NOUN nmod
127 desta desta 128 ADP case
128 reportagem reportagem 126 NOUN nmod
129 nesta nesta 130 ADP case
130 sextafeira sextafeira 118 PROPN nmod
131 5 5 130 NUM appos
132 durante durante 134 ADP case
133 a o 134 DET det
134 abertura abertura 118 NOUN nmod
135 de de 138 ADP case
136 o o 138 DET det
137 6 6 138 NUM nummod
138 congresso congresso 134 NOUN nmod
139 estadual estadual 138 ADJ amod
140 de de 142 ADP case
141 o o 142 DET det
142 pt pt 138 PROPN nmod
143 em em 144 ADP case
144 sao sao 138 PROPN nmod
145 paulo paulo 144 NOUN flat
146 lula lula 147 NOUN nsubj
147 afirmou afirmar 6 VERB parataxis
148 que que 156 CCONJ mark
149 os o 150 DET det
150 investigadores investigador 156 NOUN nsubj
151 de de 153 ADP case
152 a o 153 DET det
153 lava lava 150 NOUN nmod
154 jato jato 153 NOUN flat
155 ja ja 156 ADV advmod
156 tem ter 147 VERB ccomp
157 uma um 158 DET det
158 tese tese 156 NOUN obj
159 pronta pronto 158 ADJ amod
