1 apos apos 2 ADP case
2 confrontos confronto 9 NOUN nmod
3 durante durante 4 ADP case
4 caravana caravana 2 NOUN nmod
5 em em 7 ADP case
6 o o 7 DET det
7 sul sul 4 NOUN nmod
8 lula lula 9 NOUN nsubj
9 diz dizer 0 VERB root
10 que que 13 CCONJ mark
11 petistas petista 13 NOUN nsubj
12 vao ir 13 AUX aux
13 retribuir retribuir 9 VERB ccomp
14 nao nao 13 ADV advmod
15 em em 17 ADP case
16 os os 17 PRON obj
17 provoquem provocar 13 VERB advcl
18 porque porque 20 CCONJ mark
19 se se 20 CCONJ mark
20 derem derir 54 VERB advcl
21 um um 22 DET det
22 tapa tapa 20 NOUN obj
23 em em 26 ADP case
24 a o 26 DET det
25 nossa nossa 26 DET det:poss
26 cara cara 22 NOUN nmod
27 a o 28 DET det
28 gente gente 30 NOUN nsubj
29 nao nao 30 ADV advmod
30 vai ir 20 AUX aux
31 apernas aperno 30 ADJ xcomp
32 virar virar 30 VERB xcomp
33 para para 35 ADP case
34 o o 35 DET det
35 lado lado 32 NOUN nmod
36 afirmou afirmar 13 VERB parataxis
37 o o 38 DET det
38 expresidente expresidente 36 NOUN nsubj
39 a a 41 ADP case
40 o o 41 DET det
41 passar passar 54 VERB advcl
42 por por 43 ADP case
43 florianopolis florianopolis 41 NOUN nmod
44 florianopolis florianopolis 43 ADJ amod
45 o o 46 DET det
46 expresidente expresidente 54 NOUN nsubj:pass
47 luiz luiz 46 ADJ appos
48 inacio inacio 47 ADJ flat
49 lula lula 47 NOUN flat
50 de de 52 ADP case
51 a o 52 DET det
52 silva silva 47 NOUN nmod
53 foi foi 54 AUX aux:pass
54 obrigado obrigar 9 VERB ccomp
55 a a 56 ADP mark
56 desviar desviar 54 VERB nmod
57 o o 58 DET det
58 itinerario itinerario 56 NOUN obj
59 de de 61 ADP case
60 a o 61 DET det
61 caravana caravana 58 NOUN nmod
62 por por 64 ADP case
63 a o 64 DET det
64 regiao regiao 56 NOUN nmod
65 sul sul 64 ADJ amod
66 por por 69 ADP case
67 causa causa 66 NOUN fixed
68 de de 66 ADP fixed
69 protestos protesto 54 NOUN nmod
70 de de 71 ADP case
71 opositores opositor 69 NOUN nmod
72 e e 73 CCONJ cc
73 falta falta 69 NOUN conj
74 de de 75 ADP case
75 garantias garantia 73 NOUN nmod
76 de de 77 ADP case
77 seguranca seguranca 75 NOUN nmod
78 neste neste 79 ADP case
79 sabado sabado 163 PROPN nmod
80 em em 81 ADP case
81 florianopolis florianopolis 166 NOUN nmod
82 ele ele 83 PRON nsubj
83 disse dizer 9 VERB parataxis
84 que que 88 CCONJ mark
85 os o 86 DET det
86 petistas petista 88 NOUN nsubj
87 devem devem 88 AUX aux
88 retribuir retribuir 83 VERB ccomp
89 caso caso 91 CCONJ mark
90 sejam ser 91 AUX aux:pass
91 agredidos agredir 184 VERB advcl
92 por por 94 ADP case
93 os o 94 DET det
94 adversarios adversario 91 NOUN nmod
95 tem ter 205 VERB advcl
96 gente gente 95 NOUN obj
97 se se 98 PRON obj
98 organizando organizar 96 VERB acl
99 como como 100 ADP case
100 paramilitar paramilitar 98 NOUN nmod
101 tem ter 184 VERB conj
102 gente gente 101 NOUN obj
103 se se 104 PRON obj
104 preparando preparar 96 VERB acl
105 ate ate 104 ADV advmod
106 para para 107 ADP mark
