1 exexecutivos exexecutivo 2 NOUN nsubj
2 confirmam confirmar 0 VERB root
3 caixa caixa 2 NOUN obj
4 dois dois 3 NUM appos
5 de de 7 ADP case
6 a o 7 DET det
7 odebrecht odebrecht 3 NOUN nmod
8 em em 10 ADP case
9 as o 10 DET det
10 campanhas campanha 2 NOUN nmod
11 de de 12 ADP case
12 2014 2014 10 NUM nmod
13 eles eles 14 PRON nsubj
14 prestaram prestar 2 VERB parataxis
15 depoimento depoimento 14 NOUN obj
16 a a 18 ADP case
17 o o 18 DET det
18 tse tse 14 NOUN iobj
19 em em 21 ADP case
20 a o 21 DET det
21 acao acao 14 NOUN nmod
22 contra contra 24 ADP case
23 a o 24 DET det
24 chapa chapa 21 NOUN nmod
25 dilmatemer dilmatemer 24 ADJ amod
26 um um 30 PRON nsubj
27 de de 29 ADP case
28 os o 29 DET det
29 executivos executivo 26 NOUN nmod
30 disse dizer 2 VERB parataxis
31 que que 32 CCONJ mark
32 fez fazer 30 VERB ccomp
33 doacoes doacoe 32 NOUN obj
34 a a 35 ADP case
35 pedido pedido 33 NOUN nmod
36 de de 37 ADP case
37 aecio aecio 35 NOUN nmod
38 neves neves 37 NOUN flat
39 dois dois 40 NUM nummod
40 executivos executivo 44 NOUN nsubj
41 de de 43 ADP case
42 a o 43 DET det
43 odebrecht odebrecht 40 PROPN nmod
44 confirmaram confirmar 30 VERB ccomp
45 o o 46 DET det
46 uso uso 44 NOUN obj
47 de de 48 ADP case
48 caixa caixa 46 NOUN nmod
49 dois dois 48 NUM appos
50 em em 52 ADP case
51 a o 52 DET det
52 campanha campanha 46 NOUN nmod
53 de de 54 ADP case
54 2014 2014 52 NUM nmod
55 em em 56 ADP case
56 depoimentos depoimento 44 NOUN nmod
57 que que 58 PRON nsubj
58 prestaram prestar 56 VERB acl:relcl
59 em em 61 ADP case
60 a o 61 DET det
61 quintafeira quintafeira 58 NOUN nmod
62 2 2 61 NUM appos
63 a a 65 ADP case
64 o o 65 DET det
65 tribunal tribunal 58 NOUN nmod
66 superior superior 65 ADJ amod
67 eleitoral eleitoral 65 ADJ amod
68 em em 70 ADP case
69 o o 70 DET det
70 rio rio 75 NOUN nmod
71 de de 72 ADP case
72 janeiro janeiro 70 PROPN nmod
73 o o 74 DET det
74 tse tse 75 NOUN nsubj
75 investiga investigar 30 VERB parataxis
76 o o 77 DET det
77 abuso abuso 75 NOUN obj
78 de de 79 ADP case
79 poder poder 77 NOUN nmod
80 economico economico 79 ADJ amod
81 em em 83 ADP case
82 a o 83 DET det
83 chapa chapa 77 NOUN nmod
84 dilmatemer dilmatemer 83 ADJ flat
85 um um 86 DET det
86 executivo executivo 87 NOUN nsubj
87 disse dizer 2 VERB parataxis
88 que que 90 CCONJ mark
89 tambem tambem 90 ADV advmod
90 fez fazer 87 VERB ccomp
91 doacoes doacoe 90 NOUN obj
92 a a 93 ADP case
93 pedido pedido 91 NOUN nmod
94 de de 96 ADP case
95 o o 96 DET det
96 senador senador 93 NOUN nmod
97 aecio aecio 96 NOUN appos
98 neves neve 97 ADJ flat
99 de de 101 ADP case
100 o o 101 DET det
101 psdb psdb 96 NOUN nmod
102 de de 103 ADP case
103 minas mina 101 NOUN nmod
104 benedicto benedicto 96 ADJ appos
105 junior junior 104 ADJ amod
106 expresidente expresidente 104 NOUN appos
107 de de 109 ADP case
108 a o 109 DET det
109 odebrecht odebrecht 106 NOUN nmod
110 infraestrutura infraestrutura 109 NOUN flat
111 era era 113 AUX cop
112 a o 113 DET det
113 pessoa pessoa 87 NOUN ccomp
114 que que 115 PRON nsubj
115 tratava tratar 113 VERB acl:relcl
116 de de 118 ADP case
117 os o 118 DET det
118 compromissos compromisso 115 NOUN nmod
119 politicos politico 118 ADJ amod
120 acertados acertar 118 VERB acl
121 por por 123 ADP case
122 o o 123 DET det
123 expresidente expresidente 120 NOUN nmod
124 de de 126 ADP case
125 o o 126 DET det
126 grupo grupo 123 NOUN nmod
127 marcelo marcelo 126 NOUN appos
128 odebrecht odebrecht 127 PROPN flat
129 preso preso 118 VERB acl
130 em em 132 ADP case
131 a o 132 DET det
132 lava lava 129 NOUN nmod
133 jato jato 132 NOUN flat
134 desde desde 135 ADP case
135 2015 2015 141 NUM nmod
136 em em 138 ADP case
137 a o 138 DET det
138 quintafeira quintafeira 141 NOUN nmod
139 ele ele 141 PRON nsubj:pass
140 foi foi 141 AUX aux:pass
141 ouvido ouvir 87 VERB parataxis
142 por por 135 ADP case
