1 nova novo 2 ADJ amod
2 pauta pauta 9 NOUN nsubj
3 de de 5 ADP case
4 o o 5 DET det
5 governo governo 2 NOUN nmod
6 em em 8 ADP case
7 o o 8 DET det
8 congresso congresso 2 NOUN nmod
9 inclui incluir 0 VERB root
10 propostas propostas 9 NOUN obj
11 que que 14 PRON nsubj:pass
12 sequer sequer 14 ADV advmod
13 foram foram 14 AUX aux:pass
14 apresentadas apresentar 10 VERB acl:relcl
15 outras outras 16 PRON nsubj
16 estao estao 14 VERB ccomp
17 ha ha 16 VERB advcl
18 anos ano 16 NOUN nmod
19 em em 20 ADP case
20 tramitacao tramitacao 16 NOUN nmod
21 governo governo 22 NOUN nsubj
22 anunciou anunciar 9 VERB conj
23 pacote pacote 22 NOUN obj
24 de de 26 ADP case
25 15 15 26 NUM nummod
26 medidas medida 23 NOUN nmod
27 prioritarias prioritario 26 ADJ amod
28 apos apos 29 ADP mark
29 desistir desistir 26 VERB nmod
30 de de 31 ADP case
31 reforma reforma 29 NOUN nmod
32 de de 34 ADP case
33 a o 34 DET det
34 previdencia previdencia 31 NOUN nmod
35 entre entre 36 ADP case
36 elas elas 37 PRON nmod
37 esta esta 39 PRON acl:relcl
38 o o 39 DET det
39 projeto projeto 22 NOUN nsubj
40 que que 39 PRON appos
41 de de 43 ADP case
42 a o 43 DET det
43 autonomia autonomia 292 NOUN nmod
44 a a 46 ADP case
45 o o 46 DET det
46 banco banco 43 NOUN nmod
47 central central 46 ADJ amod
48 que que 279 PRON nsubj
49 e e 39 VERB acl:relcl
50 de de 51 ADP case
51 1989 1989 49 NUM nmod
52 o o 53 DET det
53 governo governo 54 NOUN nsubj
54 divulgou divulgar 39 VERB acl:relcl
55 nesta nesta 56 ADP case
56 semana semana 54 NOUN nmod
57 que que 323 CCONJ mark
58 apos apos 59 ADP mark
59 desistir desistir 72 VERB advcl
60 de de 61 ADP mark
61 aprovar aprovar 59 VERB nmod
62 em em 64 ADP case
63 o o 64 DET det
64 congresso congresso 61 NOUN nmod
65 a o 66 DET det
66 reforma reforma 323 NOUN nsubj
67 de de 69 ADP case
68 a o 69 DET det
69 previdencia previdencia 66 NOUN nmod
70 vai ir 72 AUX aux
71 se se 72 PRON expl:pv
72 dedicar dedicar 39 VERB acl:relcl
73 a a 74 ADP mark
74 aprovar aprovar 72 VERB nmod
75 um um 76 DET det
76 pacote pacote 74 NOUN obj
77 de de 79 ADP case
78 15 15 79 NUM nummod
79 medidas medida 76 NOUN nmod
80 consideradas considerar 79 VERB acl
81 prioritarias prioritario 80 ADJ xcomp
82 para para 84 ADP case
83 a o 84 DET det
84 area area 81 NOUN nmod
85 economica economico 84 ADJ amod
86 o o 87 DET det
87 g1 g1 368 NOUN nsubj
88 fez fazer 210 VERB ccomp
89 um um 90 DET det
90 levantamento levantamento 261 NOUN obj
91 sobre sobre 93 ADP case
92 o o 93 DET det
93 andamento andamento 90 NOUN nmod
94 de de 96 ADP case
95 os o 96 DET det
96 projetos projeto 93 NOUN nmod
97 a o 99 DET det
98 maior maior 99 ADJ amod
99 parte parte 431 NOUN nsubj
100 de de 102 ADP case
101 as o 102 DET det
102 propostas propostas 99 NOUN nmod
103 ja ja 104 ADV advmod
104 esta esta 210 VERB ccomp
105 em em 106 ADP case
106 tramitacao tramitacao 104 NOUN nmod
107 em em 109 ADP case
108 o o 109 DET det
109 congresso congresso 106 NOUN nmod
110 nacional nacional 109 ADJ amod
111 um um 431 PRON nsubj
112 deles deles 111 X nmod
113 o o 292 PRON appos
114 que que 123 PRON nsubj:pass
115 de de 117 ADP case
116 a o 117 DET det
117 autonomia autonomia 313 NOUN nmod
118 a a 120 ADP case
119 o o 120 DET det
120 banco banco 117 NOUN nmod
121 central central 120 ADJ amod
122 foi foi 123 AUX aux:pass
123 aprovado aprovar 39 VERB acl:relcl
124 em em 125 ADP case
125 1989 1989 123 NUM nmod
126 por por 128 ADP case
127 o o 128 DET det
128 senado senado 123 NOUN nmod
129 e e 132 CCONJ cc
130 desde desde 131 ADP mark
131 entao entao 132 ADV nmod
132 aguarda aguardar 210 VERB conj
133 votacao votacao 132 NOUN obj
134 em em 136 ADP case
135 a o 136 DET det
136 camara camara 132 NOUN nmod
137 outros outros 440 PRON nsubj:pass
138 como como 140 ADP case
139 a o 140 DET det
140 reforma reforma 137 NOUN nmod
141 de de 143 ADP case
142 o o 143 DET det
143 pis/cofins pis/cofins 140 NOUN nmod
144 e e 146 CCONJ cc
145 a o 146 DET det
146 extincao extincao 140 NOUN conj
147 de de 149 ADP case
148 o o 149 DET det
149 fundo fundo 146 NOUN nmod
150 soberano soberano 149 ADJ amod
151 ainda ainda 132 ADV advmod
152 nao nao 132 ADV advmod
153 foram foram 154 AUX aux:pass
154 enviados enviar 9 VERB conj
155 por por 157 ADP case
156 o o 157 DET det
157 governo governo 154 NOUN nmod
158 a a 160 ADP case
159 o o 160 DET det
160 legislativo legislativo 154 NOUN iobj
161 a o 162 DET det
162 pauta pauta 368 NOUN nsubj
163 proposta propor 357 VERB acl
164 por por 166 ADP case
165 a o 166 DET det
166 equipe equipe 163 NOUN nmod
167 economica economico 166 ADJ amod
168 porem porem 454 CCONJ mark
169 enfrenta enfrentar 22 VERB conj
170 resistencias resistencia 221 NOUN obj
171 em em 173 ADP case
172 a o 173 DET det
173 terca terca 261 NOUN nmod
174 o o 175 DET det
175 presidente presidente 261 NOUN nsubj
176 de de 178 ADP case
177 a o 178 DET det
178 camara camara 175 NOUN nmod
179 rodrigo rodrigo 39 PROPN appos
180 maia maia 179 NOUN flat
181 criticou criticar 9 VERB parataxis
182 o o 183 DET det
183 anuncio anuncio 261 NOUN obj
184 de de 186 ADP case
185 o o 186 DET det
186 governo governo 183 NOUN nmod
187 que que 188 PRON nsubj
188 chamou chamar 39 VERB acl:relcl
189 de de 190 ADP case
190 abuso abuso 188 NOUN nmod
191 por por 194 ADP mark
192 segundo segundo 194 ADP mark
193 ele ele 194 PRON nsubj
194 querer querer 72 VERB advcl
195 tirar tirar 194 VERB xcomp
196 de de 269 ADP case
197 o o 269 DET det
198 congresso congresso 195 NOUN nmod
