1 durmo durmo 0 VERB root
2 e e 3 CCONJ cc
3 acordo acordo 1 NOUN conj
4 pensando pensar 1 VERB acl
5 nele nele 4 X nmod
6 diz dizer 1 VERB parataxis
7 mae mae 6 NOUN nsubj
8 de de 9 ADP case
9 menino menino 7 NOUN nmod
10 que que 11 PRON nsubj
11 sumiu sumir 7 VERB acl:relcl
12 em em 14 ADP case
13 o o 14 DET det
14 ac ac 11 PROPN nmod
15 e e 16 CCONJ cc
16 deixou deixar 11 VERB conj
17 14 14 18 NUM nummod
18 livros livro 16 NOUN obj
19 criptografados criptografados 18 ADJ amod
20 desaparecimento desaparecimento 27 NOUN nsubj
21 de de 22 ADP case
22 bruno bruno 20 NOUN nmod
23 borges borge 22 ADJ amod
24 de de 26 ADP case
25 25 25 26 NUM nummod
26 anos ano 20 NOUN nmod
27 completou completar 6 VERB conj
28 mais mais 174 ADV advmod
29 de de 28 ADP case
30 40 40 31 NUM nummod
31 dias dia 27 NOUN nmod
32 mae mae 33 NOUN nsubj
33 diz dizer 6 VERB ccomp
34 que que 35 CCONJ mark
35 leu ler 33 VERB ccomp
36 quatro quatro 37 NUM nummod
37 livros livro 35 NOUN obj
38 de de 40 ADP case
39 o o 40 DET det
40 estudante estudante 37 NOUN nmod
41 entao entao 43 ADV advmod
42 me me 43 PRON iobj
43 sinto sentir 35 VERB advcl
44 gravida gravido 43 ADJ xcomp
45 gravida gravido 43 ADJ xcomp
46 dessa dessa 47 ADP case
47 espera espera 35 NOUN nmod
48 de de 49 ADP mark
49 esperar esperar 47 VERB nmod
50 voce voce 51 PRON nsubj
51 voltar voltar 49 VERB ccomp
52 de de 54 ADP case
53 outra outra 54 DET det
54 vez vez 51 NOUN nmod
55 te te 56 PRON obj
56 acolher acolher 49 VERB ccomp
57 dentro dentro 56 ADV advmod
58 de de 61 ADP case
59 os o 61 DET det
60 meus meus 61 DET det:poss
61 bracos braco 57 NOUN nmod
62 o o 63 DET det
63 trecho trecho 67 NOUN nsubj
64 de de 66 ADP case
65 o o 66 DET det
66 texto texto 63 NOUN nmod
67 faz fazer 178 VERB ccomp
68 parte parte 67 NOUN obj
69 de de 71 ADP case
70 uma um 71 DET det
71 carta carta 68 NOUN nmod
72 escrita escrever 71 VERB acl
73 por por 75 ADP case
74 a o 75 DET det
75 psicologa psicologa 72 NOUN nmod
76 e e 77 CCONJ cc
77 empresaria empresaria 75 NOUN conj
78 denise denise 75 NOUN appos
79 borges borge 78 NOUN flat
80 mae mae 78 NOUN appos
81 de de 83 ADP case
82 o o 83 DET det
83 estudante estudante 80 NOUN nmod
84 bruno bruno 205 NOUN appos
85 borges borge 84 NOUN flat
86 desaparecido desaparecer 205 VERB acl
87 desde desde 88 ADP case
88 27 27 56 NUM nmod
89 de de 90 ADP case
90 marco marco 88 PROPN nmod
91 o o 92 DET det
92 jovem jovem 121 NOUN nsubj
93 deixou deixar 217 VERB ccomp
94 para para 95 ADP mark
95 tras tras 93 ADV nmod
96 a o 97 DET det
97 familia familia 93 NOUN obj
98 e e 100 CCONJ cc
99 14 14 100 NUM nummod
100 livros livro 75 NOUN conj
101 codificados codificar 100 VERB acl
102 em em 104 ADP case
103 seu seu 104 DET det:poss
104 quarto quarto 101 NOUN nmod
105 em em 107 ADP case
106 a o 107 DET det
107 capital capital 101 NOUN nmod
108 de de 110 ADP case
109 o o 110 DET det
110 acre acre 107 NOUN nmod
111 rio rio 210 NOUN nmod
112 branco branco 111 ADJ amod
113 a o 114 DET det
114 carta carta 121 NOUN nsubj
115 que que 117 PRON obj
116 denise denise 117 PROPN nsubj
117 fez fazer 114 VERB acl:relcl
118 para para 120 ADP case
119 o o 120 DET det
120 filho filho 117 NOUN nmod
121 ganhou ganhar 217 VERB ccomp
122 proporcao proporcao 121 NOUN obj
123 em em 125 ADP case
124 as o 125 DET det
125 redes rede 121 NOUN nmod
126 sociais social 125 ADJ amod
127 e e 131 CCONJ cc
128 tambem tambem 131 ADV advmod
129 em em 131 ADP case
130 os o 131 DET det
131 aplicativos aplicativo 125 NOUN conj
132 de de 133 ADP case
133 mensagens mensagem 131 NOUN nmod
134 em em 136 ADP case
135 o o 136 DET det
136 domingo domingo 121 PROPN nmod
137 7 7 136 NUM nmod
138 quando quando 144 ADV advmod
139 o o 140 DET det
140 sumico sumico 144 NOUN nsubj
141 de de 143 ADP case
142 o o 143 DET det
143 jovem jovem 140 NOUN nmod
144 completou completar 125 VERB acl:relcl
145 40 40 146 NUM nummod
146 dias dia 144 NOUN obj
147 e e 149 CCONJ cc
148 ela ela 149 PRON nsubj
149 acreditava acreditar 144 VERB conj
150 que que 152 CCONJ mark
151 ele ele 152 PRON nsubj
152 voltaria voltar 149 VERB ccomp
153 em em 155 ADP case
154 o o 155 DET det
155 texto texto 152 NOUN nmod
156 ela ela 157 PRON nsubj
157 fala fala 33 VERB ccomp
158 de de 160 ADP case
159 a o 160 DET det
160 saudade saudade 157 NOUN nmod
161 e e 164 CCONJ cc
162 de de 164 ADP case
163 a o 164 DET det
164 falta falta 160 NOUN conj
165 de de 166 ADP case
166 noticias noticia 164 NOUN nmod
167 de de 169 ADP case
168 o o 169 DET det
169 filho filho 164 NOUN nmod
170 que que 171 PRON nsubj
171 sumiu sumir 169 VERB acl:relcl
172 ha ha 171 VERB advcl
173 quase quase 174 ADV advmod
174 50 50 175 NUM nummod
175 dias dia 172 NOUN nmod
176 a o 177 DET det
177 empresaria empresaria 178 NOUN nsubj
178 diz dizer 33 VERB ccomp
179 que que 35 CCONJ mark
180 esta esta 178 VERB ccomp
181 gravida gravido 180 ADJ xcomp
182 de de 183 ADP case
183 bruno bruno 181 NOUN nmod
184 e e 186 CCONJ cc
185 que que 186 CCONJ mark
186 sente sente 35 VERB conj
187 a o 188 DET det
188 necessidade necessidade 186 NOUN obj
189 de de 190 ADP mark
190 velo velo 188 VERB nmod
191 a a 193 ADP case
192 o o 193 DET det
193 g1 g1 190 NOUN nmod
194 a o 195 DET det
195 mae mae 196 NOUN nsubj
196 diz dizer 178 VERB conj
197 que que 199 CCONJ mark
198 nao nao 199 ADV advmod
199 cria cria 196 VERB ccomp
200 mais mais 201 DET det
201 expectativas expectativa 199 NOUN obj
202 em em 203 ADP case
203 relacao relacao 199 NOUN nmod
204 a a 205 ADP case
205 data data 203 NOUN nmod
206 que que 210 PRON obj
207 o o 208 DET det
208 filho filho 210 NOUN nsubj
209 deve dever 210 AUX aux
210 voltar voltar 205 VERB acl:relcl
211 segundo segundo 212 ADP case
212 ela ela 210 PRON nmod
213 a o 214 DET det
214 familia familia 217 NOUN nsubj
215 chegou chegar 217 AUX aux
216 a a 217 ADP mark
217 esperar esperar 196 VERB advcl
218 que que 220 CCONJ mark
219 bruno bruno 220 NOUN nsubj
220 chegasse chegar 217 VERB ccomp
221 em em 223 ADP case
222 o o 223 DET det
223 aniversario aniversario 220 NOUN nmod
224 de de 226 ADP case
225 o o 226 DET det
226 pai pai 223 NOUN nmod
227 ou ou 231 CCONJ cc
228 ate ate 229 ADV advmod
229 mesmo mesmo 231 ADV advmod
230 em em 234 ADP case
231 o o 223 DET det
232 de de 234 ADP case
233 o o 234 DET det
234 irmao irmao 231 NOUN nmod
235 que que 210 PRON nsubj
236 e e 237 CCONJ cc
237 gemeo gemeo 234 NOUN conj
238 de de 240 ADP case
239 o o 240 DET det
240 estudante estudante 237 NOUN nmod
241 porem porem 245 CCONJ advmod
242 a o 243 DET det
243 espera espera 245 NOUN nsubj:pass
244 foi foi 245 AUX aux:pass
245 frustrada frustrar 217 VERB conj
246 e e 248 CCONJ cc
247 denise denise 248 PROPN nsubj
248 diz dizer 121 VERB conj
249 tentar tentar 248 VERB xcomp
250 evitar evitar 249 VERB xcomp
251 a o 243 DET det
