1 apos apos 2 ADP case
2 caminhada caminhada 4 NOUN nmod
3 temer temer 4 NOUN nsubj
4 diz dizer 115 VERB advcl
5 que que 7 CCONJ mark
6 meirelles meirelles 7 NOUN nsubj
7 aguenta aguentar 4 VERB ccomp
8 bem bem 7 ADV advmod
9 o o 10 DET det
10 tranco tranco 7 NOUN obj
11 de de 13 ADP case
12 a o 13 DET det
13 economia economia 10 NOUN nmod
14 presidente presidente 7 NOUN nsubj
15 foi foi 4 VERB ccomp
16 a a 17 ADP case
17 pe pe 15 NOUN nmod
18 de de 20 ADP case
19 o o 20 DET det
20 palacio palacio 17 NOUN nmod
21 de de 23 ADP case
22 o o 23 DET det
23 jaburu jaburu 20 NOUN nmod
24 a a 26 ADP case
25 o o 26 DET det
26 alvorada alvorada 15 NOUN nmod
27 em em 29 ADP case
28 a o 29 DET det
29 companhia companhia 15 NOUN nmod
30 de de 31 ADP case
31 ministro ministro 29 NOUN nmod
32 de de 34 ADP case
33 a o 34 DET det
34 fazenda fazenda 31 NOUN nmod
35 de de 36 ADP case
36 moreira moreira 29 NOUN nmod
37 franco franco 36 ADJ amod
38 secretariageral secretariageral 36 NOUN appos
39 e e 40 CCONJ cc
40 torquato torquato 36 NOUN conj
41 jardim jardim 40 NOUN flat
42 justica justica 40 ADJ amod
43 o o 44 DET det
44 presidente presidente 47 NOUN nsubj
45 michel michel 44 ADJ amod
46 temer temer 44 NOUN appos
47 caminhou caminhar 15 VERB parataxis
48 em em 50 ADP case
49 a o 50 DET det
50 manha manha 47 NOUN nmod
51 deste deste 52 ADP case
52 domingo domingo 50 PROPN nmod
53 14 14 52 NUM nmod
54 de de 56 ADP case
55 o o 56 DET det
56 palacio palacio 53 NOUN nmod
57 de de 59 ADP case
58 o o 59 DET det
59 jaburu jaburu 56 NOUN nmod
60 ate ate 62 ADP case
61 o o 62 DET det
62 palacio palacio 47 NOUN nmod
63 de de 65 ADP case
64 a o 65 DET det
65 alvorada alvorada 62 NOUN nmod
66 acompanhado acompanhar 151 VERB acl
67 de de 69 ADP case
68 os o 69 DET det
69 ministros ministro 66 NOUN nmod
70 henrique henrique 69 NOUN appos
71 meirelles meirelles 70 NOUN flat
72 fazenda fazenda 70 NOUN appos
73 moreira moreira 72 NOUN appos
74 franco franco 73 NOUN flat
75 secretariageral secretariageral 73 NOUN appos
76 e e 77 CCONJ cc
77 torquato torquato 73 NOUN conj
78 jardim jardim 77 NOUN flat
79 justica justica 77 NOUN amod
80 de de 81 ADP case
81 acordo acordo 179 NOUN nmod
82 com com 84 ADP case
83 a o 84 DET det
84 assessoria assessoria 81 NOUN nmod
85 de de 87 ADP case
86 a o 87 DET det
87 presidencia presidencia 84 NOUN nmod
88 o o 89 DET det
89 presidente presidente 177 NOUN nsubj
90 e e 92 CCONJ cc
91 os o 92 DET det
92 ministros ministro 89 NOUN conj
93 se se 94 PRON obj
94 reuniram reunir 4 VERB ccomp
95 em em 97 ADP case
96 o o 97 DET det
97 alvorada alvorada 94 NOUN nmod
98 para para 99 ADP mark
99 discutir discutir 94 VERB advcl
100 a o 101 DET det
101 pauta pauta 99 NOUN obj
102 economica economico 101 ADJ amod
103 o o 104 DET det
104 subchefe subchefe 179 NOUN nsubj
105 para para 106 ADP case
106 assuntos assunto 104 NOUN nmod
107 juridicos juridico 106 ADJ amod
108 de de 110 ADP case
109 a o 110 DET det
110 casa casa 184 NOUN nmod
111 civil civil 110 ADJ amod
112 gustavo gustavo 104 NOUN appos
113 rocha rocha 112 NOUN flat
114 tambem tambem 115 ADV advmod
115 participou participar 0 VERB root
116 de de 118 ADP case
117 o o 118 DET det
118 encontro encontro 115 NOUN nmod
119 ja ja 127 ADV mark
120 que que 119 CCONJ fixed
121 o o 122 DET det
