1 rupturas ruptura 12 NOUN nsubj
2 em em 4 ADP case
3 a o 4 DET det
4 oferta oferta 1 NOUN nmod
5 de de 6 ADP case
6 petroleo petroleo 4 NOUN nmod
7 e e 8 CCONJ cc
8 reducao reducao 1 NOUN conj
9 de de 11 ADP case
10 a o 11 DET det
11 demanda demanda 8 NOUN nmod
12 criaram criar 0 VERB root
13 novo novo 14 ADJ amod
14 paradigma paradigma 12 NOUN obj
15 diz dizer 12 VERB parataxis
16 parente parente 15 NOUN nsubj
17 em em 18 ADP case
18 palestra palestra 12 NOUN nmod
19 em em 21 ADP case
20 o o 21 DET det
21 rio rio 18 NOUN nmod
22 pedro pedro 24 NOUN nsubj
23 parente parente 22 ADJ amod
24 diz dizer 12 VERB parataxis
25 que que 27 CCONJ mark
26 projecoes projecoe 27 NOUN nsubj
27 indicam indicar 24 VERB ccomp
28 que que 29 CCONJ mark
29 havera haver 27 VERB ccomp
30 queda queda 29 NOUN obj
31 brusca brusco 30 ADJ amod
32 em em 34 ADP case
33 o o 34 DET det
34 consumo consumo 30 NOUN nmod
35 de de 36 ADP case
36 derivados derivado 34 NOUN nmod
37 de de 39 ADP case
38 o o 39 DET det
39 petroleo petroleo 36 NOUN nmod
40 a a 41 ADP mark
41 partir partir 29 VERB nmod
42 de de 43 ADP case
43 2040 2040 41 NUM nmod
44 o o 45 DET det
45 presidente presidente 51 NOUN nsubj
46 de de 48 ADP case
47 a o 48 DET det
48 petrobras petrobra 45 NOUN nmod
49 pedro pedro 45 NOUN appos
50 parente parente 49 NOUN flat
51 disse dizer 24 VERB parataxis
52 nesta nesta 53 ADP case
53 tercafeira tercafeira 51 NOUN nmod
54 1 1 53 NUM appos
55 que que 63 CCONJ mark
56 o o 57 DET det
57 mercado mercado 63 NOUN nsubj
58 de de 59 ADP case
59 petroleo petroleo 57 NOUN nmod
60 em em 62 ADP case
61 o o 62 DET det
62 mundo mundo 57 NOUN nmod
63 vive vive 51 VERB ccomp
64 um um 66 DET det
65 novo novo 66 ADJ amod
66 paradigma paradigma 63 NOUN obj
67 segundo segundo 68 ADP case
68 ele ele 63 PRON nmod
69 as o 70 DET det
70 previsoes previsoe 63 NOUN nsubj
71 de de 73 ADP case
72 os o 73 DET det
73 analistas analista 70 NOUN nmod
74 apontam apontar 51 VERB ccomp
75 que que 79 CCONJ mark
76 em em 78 ADP case
77 duas duas 78 NUM nummod
78 decadas decada 79 NOUN nmod
79 havera haver 74 VERB ccomp
80 queda queda 79 NOUN obj
81 significativa significativo 80 ADJ amod
82 de de 83 ADP case
83 combustiveis combustivel 80 NOUN nmod
84 fosseis fosseis 83 ADJ amod
85 esse esse 86 DET det
86 mercado mercado 88 NOUN nsubj
87 esta esta 88 AUX aux
88 sofrendo sofrer 74 VERB ccomp
89 ataque ataque 88 NOUN obj
90 de de 93 ADP case
91 os o 93 DET det
92 dois dois 93 NUM nummod
93 lados lado 89 NOUN nmod
