1 saiba saber 0 VERB root
2 quem quem 31 PRON nsubj:pass
3 e e 4 CCONJ cc
4 ze ze 2 PART conj
5 mineiro mineiro 4 ADJ amod
6 fundador fundador 4 NOUN appos
7 de de 9 ADP case
8 a o 9 DET det
9 jbs jbs 6 NOUN nmod
10 e e 12 CCONJ cc
11 novo novo 12 ADJ amod
12 presidente presidente 6 NOUN conj
13 de de 15 ADP case
14 a o 15 DET det
15 empresa empresa 12 NOUN nmod
16 apos apos 17 ADP case
17 prisao prisao 31 NOUN nmod
18 de de 20 ADP case
19 os o 20 DET det
20 filhos filho 17 NOUN nmod
21 wesley wesley 20 PROPN appos
22 e e 23 CCONJ cc
23 joesley joesley 21 NOUN conj
24 jose jose 17 NOUN appos
25 batista batista 24 NOUN flat
26 sobrinho sobrinho 24 ADJ amod
27 de de 29 ADP case
28 84 84 29 NUM nummod
29 anos ano 24 NOUN nmod
30 foi foi 31 AUX aux:pass
31 escolhido escolher 1 VERB conj
32 para para 33 ADP mark
33 reassumir reassumir 31 VERB advcl
34 o o 35 DET det
35 comando comando 33 NOUN obj
36 de de 38 ADP case
37 a o 38 DET det
38 empresa empresa 35 NOUN nmod
39 batizada batizar 35 VERB acl
40 com com 42 ADP case
41 as o 42 DET det
42 iniciais inicial 39 NOUN nmod
43 de de 45 ADP case
44 seu seu 45 DET det:poss
45 nome nome 42 NOUN nmod
46 o o 47 DET det
47 comando comando 52 NOUN nsubj
48 executivo executivo 47 ADJ amod
49 de de 51 ADP case
50 a o 51 DET det
51 jbs jbs 47 NOUN nmod
52 voltou voltar 1 VERB parataxis
53 para para 55 ADP case
54 as o 55 DET det
55 maos mao 52 NOUN nmod
56 de de 58 ADP case
57 o o 58 DET det
58 fundador fundador 55 NOUN nmod
59 de de 61 ADP case
60 a o 61 DET det
61 empresa empresa 58 NOUN nmod
62 jose jose 52 NOUN nsubj
63 batista batista 62 ADJ flat
64 sobrinho sobrinho 62 ADJ flat
65 de de 67 ADP case
66 84 84 67 NUM nummod
67 anos ano 62 NOUN nmod
68 tambem tambem 69 ADV advmod
69 conhecido conhecer 62 VERB acl
70 como como 71 ADP case
71 ze ze 69 NOUN nmod
72 mineiro mineiro 71 ADJ amod
73 o o 74 DET det
74 patriarca patriarca 71 NOUN appos
75 e e 76 CCONJ cc
76 pai pai 74 NOUN conj
77 de de 78 ADP case
78 wesley wesley 76 NOUN nmod
79 e e 80 CCONJ cc
80 joesley joesley 78 NOUN conj
81 batista batista 80 ADJ amod
82 e e 83 CCONJ cc
83 estava estar 31 VERB conj
84 afastado afastado 83 ADJ xcomp
85 desde desde 87 ADP case
86 a o 87 DET det
87 decada decada 84 NOUN nmod
88 de de 89 ADP case
89 80 80 87 NUM nmod
90 de de 92 ADP case
91 a o 92 DET det
92 gestao gestao 198 NOUN nmod
93 operacional operacional 92 ADJ amod
94 de de 96 ADP case
95 a o 96 DET det
96 empresa empresa 92 NOUN nmod
97 batizada batizar 92 VERB acl
98 com com 100 ADP case
99 as o 100 DET det
100 iniciais inicial 97 NOUN nmod
101 de de 103 ADP case
102 seu seu 103 DET det:poss
103 nome nome 100 NOUN nmod
104 a o 105 DET det
105 troca troca 330 NOUN nsubj
106 de de 107 ADP case
107 comando comando 105 NOUN nmod
108 ocorre ocorrer 330 VERB parataxis
109 apos apos 111 ADP case
110 a o 111 DET det
111 prisao prisao 108 NOUN nmod
112 de de 113 ADP case
113 wesley wesley 111 NOUN nmod
114 entao entao 115 ADV advmod
115 presidente presidente 113 NOUN appos
116 de de 118 ADP case
117 a o 118 DET det
118 empresa empresa 115 NOUN nmod
119 em em 121 ADP case
120 a o 121 DET det
121 semana semana 39 NOUN nmod
122 passada passado 121 ADJ amod
123 segundo segundo 124 ADP case
124 comunicado comunicado 108 NOUN nmod
125 de de 127 ADP case
126 a o 127 DET det
127 jbs jbs 124 NOUN nmod
128 batista batista 127 ADJ amod
129 sobrinho sobrinho 127 ADJ amod
130 foi foi 131 AUX aux:pass
131 escolhido escolher 1 VERB parataxis
132 por por 133 ADP case
133 unanimidade unanimidade 131 NOUN nmod
134 por por 136 ADP case
135 o o 136 DET det
136 conselho conselho 131 NOUN nmod
137 de de 138 ADP case
138 administracao administracao 136 NOUN nmod
139 em em 140 ADP case
140 reuniao reuniao 131 NOUN nmod
141 realizada realizar 140 VERB acl
142 em em 144 ADP case
143 o o 144 DET det
144 sabado sabado 141 NOUN nmod
145 16 16 144 NUM nmod
146 e e 278 CCONJ cc
147 vai ir 148 AUX aux
148 completar completar 131 VERB conj
149 o o 150 DET det
150 mandato mandato 148 NOUN obj
151 em em 152 ADP case
152 curso curso 148 NOUN nmod
153 fico ficar 52 VERB conj
154 orgulhoso orgulhoso 153 ADJ xcomp
155 de de 156 ADP mark
156 reassumir reassumir 154 VERB nmod
157 a o 158 DET det
158 empresa empresa 156 NOUN obj
159 que que 160 PRON obj
160 fundei fundar 283 VERB acl:relcl
161 afirmou afirmar 283 VERB acl:relcl
162 jose jose 298 NOUN nsubj:pass
163 batista batista 162 ADJ flat
164 sobrinho sobrinho 162 ADJ flat
165 em em 166 ADP case
166 comunicado comunicado 298 NOUN nmod
167 divulgado divulgar 166 VERB acl
168 por por 170 ADP case
169 a o 170 DET det
