1 justica justica 3 NOUN nsubj
2 federal federal 1 ADJ amod
3 determina determinar 0 VERB root
4 transferencia transferencia 3 NOUN obj
5 de de 6 ADP case
6 sergio sergio 4 NOUN nmod
7 cabral cabral 6 ADJ amod
8 para para 10 ADP case
9 o o 10 DET det
10 parana parana 4 NOUN nmod
11 sergio sergio 3 NOUN nsubj
12 moro moro 11 NOUN flat
13 e e 14 CCONJ cc
14 caroline caroline 11 NOUN conj
15 figueiredo figueiredo 14 ADJ amod
16 que que 17 PRON nsubj
17 substitui substituir 14 VERB acl:relcl
18 bretas breta 17 NOUN obj
19 durante durante 20 ADP case
20 ferias feria 17 NOUN nmod
21 concordaram concordar 3 VERB conj
22 com com 23 ADP case
23 pedido pedido 58 NOUN nmod
24 de de 26 ADP case
25 o o 26 DET det
26 mpf mpf 23 NOUN nmod
27 acao acao 28 NOUN nsubj
28 acusa acusar 21 VERB ccomp
29 exgovernador exgovernador 28 NOUN obj
30 de de 31 ADP mark
31 ter ter 28 VERB nmod
32 regalias regalia 31 NOUN obj
33 em em 35 ADP case
34 a o 35 DET det
35 cadeia cadeia 31 NOUN nmod
36 o o 37 DET det
37 juiz juiz 58 NOUN nsubj
38 sergio sergio 37 NOUN appos
39 moro moro 38 NOUN flat
40 de de 41 ADP case
41 curitiba curitiba 38 NOUN nmod
42 e e 44 CCONJ cc
43 a o 44 DET det
44 juiza juiza 37 NOUN conj
45 caroline caroline 44 NOUN appos
46 vieira vieira 44 NOUN flat
47 figueiredo figueiredo 44 ADJ amod
48 substituta substituto 44 NOUN amod
49 de de 50 ADP case
50 marcelo marcelo 48 NOUN nmod
51 bretas breta 50 NOUN flat
52 durante durante 54 ADP case
53 suas suas 54 DET det:poss
54 ferias feria 58 NOUN nmod
55 em em 57 ADP case
56 o o 57 DET det
57 rio rio 54 NOUN nmod
58 concordaram concordar 3 VERB conj
59 com com 61 ADP case
60 o o 61 DET det
61 pedido pedido 58 NOUN nmod
62 de de 64 ADP case
63 o o 64 DET det
64 ministerio ministerio 61 NOUN nmod
65 publico publico 64 ADJ amod
66 federal federal 64 ADJ amod
67 mpf mpf 64 NOUN appos
68 e e 69 CCONJ cc
69 determinaram determinar 58 VERB conj
70 nesta nesta 71 ADP case
71 quintafeira quintafeira 69 NOUN nmod
72 18 18 71 NUM appos
73 a o 74 DET det
74 transferencia transferencia 58 NOUN nsubj
75 de de 76 ADP case
76 sergio sergio 74 NOUN nmod
77 cabral cabral 76 ADJ amod
78 para para 80 ADP case
79 um um 80 DET det
80 presidio presidio 74 NOUN nmod
81 em em 83 ADP case
82 o o 83 DET det
83 parana parana 80 NOUN nmod
84 integra integrar 74 NOUN appos
85 de de 87 ADP case
86 a o 87 DET det
87 decisao decisao 84 NOUN nmod
88 de de 90 ADP case
89 a o 90 DET det
90 juiza juiza 87 NOUN nmod
91 caroline caroline 90 NOUN appos
92 vieira vieira 91 NOUN flat
93 figueiredo figueiredo 91 ADJ amod
94 de de 96 ADP case
95 o o 96 DET det
96 rio rio 90 NOUN nmod
97 integra integra 74 NOUN appos
98 de de 100 ADP case
99 a o 100 DET det
100 decisao decisao 97 NOUN nmod
101 de de 103 ADP case
102 o o 103 DET det
103 juiz juiz 87 NOUN nmod
104 sergio sergio 103 NOUN appos
105 moro moro 104 NOUN flat
106 de de 107 ADP case
107 curitiba curitiba 103 NOUN nmod
108 o o 109 DET det
109 pedido pedido 114 NOUN nsubj:pass
110 de de 112 ADP case
111 os o 112 DET det
112 procuradores procurador 109 NOUN nmod
113 foi foi 114 AUX aux:pass
114 feito feito 3 VERB parataxis
115 com com 116 ADP case
116 base base 114 NOUN nmod
117 em em 118 ADP case
118 investigacao investigacao 116 NOUN nmod
119 de de 121 ADP case
120 o o 121 DET det
121 ministerio ministerio 118 NOUN nmod
122 publico publico 121 ADJ amod
123 estadual estadual 121 ADJ amod
124 que que 125 PRON nsubj
125 aponta apontar 121 VERB acl:relcl
126 supostas suposto 127 ADJ amod
127 regalias regalia 125 NOUN obj
128 tanto tanto 131 ADV cc
129 em em 131 ADP case
130 a o 131 DET det
131 penitenciaria penitenciaria 127 NOUN nmod
132 de de 133 ADP case
133 bangu bangu 131 NOUN nmod
134 onde onde 135 ADV advmod
135 esteve esteve 131 VERB acl:relcl
136 detido detido 135 ADJ xcomp
137 anteriormente anteriormente 136 ADV advmod
138 quanto quanto 145 CCONJ cc
139 em em 142 ADP case
140 a o 145 DET det
141 de de 142 ADP case
142 benfica benfica 131 NOUN nmod
143 o o 144 DET det
144 g1 g1 145 NOUN nsubj
145 entrou entrar 114 VERB conj
146 em em 71 ADP case
