1 brasilia brasilia 5 NOUN parataxis
2 a o 3 DET det
3 policia policia 5 NOUN nsubj
4 federal federal 3 ADJ amod
5 concluiu concluir 0 VERB root
6 que que 8 CCONJ mark
7 nao nao 8 ADV advmod
8 houve haver 5 VERB ccomp
9 crime crime 8 NOUN obj
10 de de 11 ADP case
11 obstrucao obstrucao 9 NOUN nmod
12 de de 13 ADP case
13 justica justica 11 NOUN nmod
14 em em 16 ADP case
15 a o 16 DET det
16 indicacao indicacao 8 NOUN nmod
17 de de 19 ADP case
18 o o 19 DET det
19 ministro ministro 16 NOUN nmod
20 marcelo marcelo 19 NOUN appos
21 ribeiro ribeiro 20 NOUN flat
22 navarro navarro 19 NOUN appos
23 dantas dantas 20 ADJ amod
24 a a 27 ADP case
25 o o 27 DET det
26 superior superior 27 ADJ amod
27 tribunal tribunal 8 NOUN nmod
28 de de 29 ADP case
29 justica justica 27 NOUN nmod
30 stj stj 27 ADJ appos
31 por por 32 ADP case
32 parte parte 8 NOUN nmod
33 de de 35 ADP case
34 a o 35 DET det
35 expresidente expresidente 32 NOUN nmod
36 dilma dilma 35 ADJ appos
37 rousseff rousseff 35 NOUN appos
38 em em 39 ADP case
39 2015 2015 42 NUM nmod
40 a o 41 DET det
41 constatacao constatacao 42 NOUN nsubj
42 faz fazer 5 VERB parataxis
43 parte parte 42 NOUN obj
44 de de 46 ADP case
45 o o 46 DET det
46 relatorio relatorio 43 NOUN nmod
47 final final 46 ADJ amod
48 de de 50 ADP case
49 a o 50 DET det
50 pf pf 46 NOUN nmod
51 sobre sobre 53 ADP case
52 um um 53 DET det
53 inquerito inquerito 46 NOUN nmod
54 que que 55 PRON nsubj
55 tramita tramitar 53 VERB acl:relcl
56 em em 57 ADP case
57 segredo segredo 55 NOUN nmod
58 de de 59 ADP case
59 justica justica 57 NOUN nmod
60 em em 63 ADP case
61 o o 63 DET det
62 supremo supremo 63 ADJ amod
63 tribunal tribunal 55 NOUN nmod
64 federal federal 63 ADJ amod
65 stf stf 63 NOUN appos
66 e e 67 CCONJ cc
67 investiga investigar 42 VERB conj
