1 pf pf 2 NOUN nsubj
2 conclui concluir 0 VERB root
3 inquerito inquerito 2 NOUN obj
4 que que 5 PRON nsubj
5 investiga investigar 3 VERB acl:relcl
6 gleisi gleisi 5 NOUN obj
7 e e 8 CCONJ cc
8 paulo paulo 6 NOUN conj
9 bernardo bernardo 8 NOUN flat
10 e e 11 CCONJ cc
11 envia enviar 2 VERB conj
12 relatorio relatorio 11 NOUN obj
13 a a 15 ADP case
14 o o 15 DET det
15 stf stf 11 NOUN iobj
16 inquerito inquerito 15 NOUN flat
17 apura apurar 2 VERB conj
18 suposto suposto 19 ADJ amod
19 desvio desvio 17 NOUN obj
20 em em 21 ADP case
21 emprestimos emprestimo 19 NOUN nmod
22 consignados consignar 21 VERB acl
23 em em 25 ADP case
24 o o 25 DET det
25 periodo periodo 22 NOUN nmod
26 de de 27 ADP case
27 bernardo bernardo 25 NOUN nmod
28 em em 30 ADP case
29 o o 30 DET det
30 planejamento planejamento 115 NOUN nmod
31 defesa defesa 35 NOUN nsubj
32 de de 34 ADP case
33 a o 34 DET det
34 senadora senador 120 NOUN nmod
35 afirma afirmar 2 VERB parataxis
36 que que 38 CCONJ mark
37 nao nao 38 ADV advmod
38 teve ter 35 VERB ccomp
39 acesso acesso 38 NOUN obj
40 a a 42 ADP case
41 o o 42 DET det
42 relatorio relatorio 39 NOUN nmod
43 final final 42 ADJ amod
44 de de 46 ADP case
45 o o 46 DET det
46 inquerito inquerito 42 NOUN nmod
47 defesa defesa 131 NOUN nsubj
48 de de 50 ADP case
49 o o 50 DET det
50 exministro exministro 47 NOUN nmod
51 ja ja 52 ADV advmod
52 negou negar 35 VERB ccomp
53 irregularidades irregularidade 52 NOUN obj
54 a o 55 DET det
55 policia policia 57 NOUN nsubj
56 federal federal 55 ADJ amod
57 concluiu concluir 35 VERB ccomp
58 nesta nesta 59 ADP case
59 semana semana 57 NOUN nmod
60 o o 61 DET det
61 inquerito inquerito 57 NOUN obj
62 que que 63 PRON nsubj
63 tem ter 61 VERB acl:relcl
64 a o 65 DET det
65 presidente presidente 63 NOUN obj
66 de de 68 ADP case
67 o o 68 DET det
68 pt pt 65 NOUN nmod
69 senadora senador 65 NOUN appos
70 gleisi gleisi 65 NOUN appos
71 hoffmann hoffmann 70 NOUN flat
72 pr pr 70 NOUN flat
73 e e 75 CCONJ cc
74 o o 75 DET det
75 exministro exministro 65 NOUN conj
76 de de 78 ADP case
77 o o 78 DET det
78 planejamento planejamento 75 NOUN nmod
79 paulo paulo 75 NOUN appos
80 bernardo bernardo 79 NOUN flat
81 entre entre 83 ADP case
82 os o 83 DET det
83 investigados investigado 87 NOUN nmod
84 o o 85 DET det
85 relatorio relatorio 87 NOUN nsubj:pass
86 foi foi 87 AUX aux:pass
87 enviado enviar 35 VERB ccomp
88 nesta nesta 89 ADP case
89 quartafeira quartafeira 87 NOUN nmod
90 14 14 89 NUM appos
91 a a 94 ADP case
92 o o 94 DET det
93 supremo supremo 94 ADJ amod
94 tribunal tribunal 87 NOUN nmod
95 federal federal 94 ADJ amod
96 e e 98 CCONJ cc
97 sera sera 98 AUX aux:pass
98 analisado analisar 87 VERB conj
99 por por 101 ADP case
100 o o 101 DET det
101 ministro ministro 98 NOUN nmod
102 dias dia 101 NOUN appos
103 toffoli toffoli 102 ADJ flat
104 os o 105 DET det
105 crimes crime 87 NOUN nsubj:pass
106 investigados investigar 105 VERB acl
107 neste neste 108 ADP case
108 inquerito inquerito 106 NOUN nmod
109 sao sao 110 AUX cop
110 corrupcao corrupcao 123 NOUN ccomp
111 e e 112 CCONJ cc
112 lavagem lavagem 110 NOUN conj
113 de de 114 ADP case
114 dinheiro dinheiro 112 NOUN nmod
115 procurada procurar 105 VERB acl
116 por por 118 ADP case
117 o o 118 DET det
118 g1 g1 115 NOUN nmod
119 a o 120 DET det
120 assessoria assessoria 110 NOUN nsubj
121 de de 122 ADP case
122 gleisi gleisi 120 NOUN nmod
123 informou informar 2 VERB parataxis
124 que que 131 CCONJ mark
125 a o 126 DET det
126 defesa defesa 131 NOUN nsubj
127 de de 129 ADP case
128 a o 129 DET det
129 senadora senador 126 NOUN nmod
130 nao nao 131 ADV advmod
131 teve ter 123 VERB ccomp
132 acesso acesso 131 NOUN obj
133 a a 135 ADP case
134 o o 135 DET det
135 relatorio relatorio 132 NOUN nmod
136 final final 135 ADJ amod
137 de de 139 ADP case
138 o o 139 DET det
139 inquerito inquerito 135 NOUN nmod
140 o o 141 DET det
141 vazamento vazamento 131 NOUN nsubj
142 ilegal ilegal 141 ADJ amod
143 de de 145 ADP case
144 suposto suposto 145 ADJ amod
145 inquerito inquerito 141 NOUN nmod
146 a a 148 ADP case
147 o o 148 DET det
148 qual qual 152 PRON nmod
149 a o 150 DET det
150 defesa defesa 152 NOUN nsubj
151 nao nao 152 ADV advmod
152 teve ter 141 VERB acl:relcl
153 acesso acesso 152 NOUN obj
154 e e 170 CCONJ cc
155 mais mais 156 ADV advmod
156 uma uma 157 NUM nummod
157 violencia violencia 170 NOUN nsubj
158 contra contra 160 ADP case
159 o o 160 DET det
160 pt pt 157 PROPN nmod
161 e e 163 CCONJ cc
162 seus seus 163 DET det:poss
163 dirigentes dirigente 160 NOUN conj
164 informou informar 152 VERB conj
165 em em 166 ADP case
166 nota nota 164 NOUN nmod
167 o o 168 DET det
168 g1 g1 170 NOUN nsubj
169 nao nao 170 ADV advmod
170 localizou localizar 57 VERB conj
171 a a 170 ADP det
