1 manter manter 43 VERB csubj
2 o o 3 DET det
3 discurso discurso 1 NOUN obj
4 de de 5 ADP case
5 golpe golpe 3 NOUN nmod
6 e e 7 CCONJ cc
7 improprio improprio 1 ADJ conj
8 a a 10 ADP case
9 o o 10 DET det
10 pais pais 7 NOUN nmod
11 para para 12 ADP case
12 ministro ministro 1 NOUN nmod
13 que que 15 PRON nsubj
14 vai ir 15 AUX aux
15 assumir assumir 12 VERB acl:relcl
16 comando comando 15 NOUN obj
17 de de 19 ADP case
18 a o 19 DET det
19 justica justica 16 NOUN nmod
20 eleitoral eleitoral 19 ADJ amod
21 um um 22 NUM nummod
22 dia dia 15 NOUN nmod
23 apos apos 25 ADP mark
24 senadores senador 25 NOUN nsubj
25 votarem votar 1 VERB advcl
26 admissao admissao 25 NOUN obj
27 de de 29 ADP case
28 o o 29 DET det
29 impeachment impeachment 26 NOUN nmod
30 reconhecer reconhecer 118 VERB nmod
31 perda perda 30 NOUN obj
32 de de 33 ADP case
33 governabilidade governabilidade 31 NOUN nmod
34 nao nao 37 ADV advmod
35 e e 37 CCONJ cc
36 nenhum nenhum 37 DET det
37 demerito demerito 43 NOUN conj
38 o o 39 DET det
39 ministro ministro 43 NOUN nsubj
40 gilmar gilmar 39 NOUN appos
41 mendes mendes 40 ADJ flat
42 vai ir 43 AUX aux
43 assumir assumir 0 VERB root
44 a o 45 DET det
45 presidencia presidencia 43 NOUN obj
46 de de 48 ADP case
47 o o 48 DET det
48 tribunal tribunal 45 NOUN nmod
49 superior superior 48 ADJ amod
50 eleitoral eleitoral 48 ADJ amod
51 tse tse 48 NOUN appos
52 nesta nesta 53 ADP case
53 quintafeira quintafeira 43 NOUN nmod
54 um um 55 NUM nummod
55 dia dia 56 NOUN nmod
56 depois depois 63 ADV mark
57 de de 56 ADP case
58 o o 56 DET det
59 plenario plenario 63 NOUN nsubj
60 de de 62 ADP case
61 o o 62 DET det
62 senado senado 59 NOUN nmod
63 votar votar 43 VERB advcl
64 o o 65 DET det
65 pedido pedido 63 NOUN obj
66 de de 67 ADP case
67 impeachment impeachment 65 NOUN nmod
68 de de 70 ADP case
69 a o 70 DET det
