1 conhecido conhecer 20 VERB acl
2 por por 3 ADP mark
3 tatuar tatuar 1 VERB nmod
4 nome nome 3 NOUN obj
5 de de 6 ADP case
6 temer temer 4 NOUN nmod
7 wladimir wladimir 3 VERB obj
8 costa costa 7 NOUN obj
9 e e 11 CCONJ cc
10 eleito eleger 11 VERB cop
11 lider lider 7 NOUN conj
12 de de 14 ADP case
13 o o 14 DET det
14 solidariedade solidariedade 11 NOUN nmod
15 em em 17 ADP case
16 a o 17 DET det
17 camara camara 11 NOUN nmod
18 parlamentar parlamentar 17 ADJ amod
19 foi foi 20 AUX cop
20 um um 0 PRON root
21 de de 24 ADP case
22 os o 24 DET det
23 principais principal 24 ADJ amod
24 defensores defensor 20 NOUN nmod
25 de de 27 ADP case
26 o o 27 DET det
27 presidente presidente 24 NOUN nmod
28 em em 30 ADP case
29 o o 30 DET det
30 ano ano 24 NOUN nmod
31 passado passado 30 ADJ amod
32 alvo alvo 20 NOUN appos
33 de de 35 ADP case
34 dois dois 35 NUM nummod
35 processos processo 32 NOUN nmod
36 em em 38 ADP case
37 o o 38 DET det
38 conselho conselho 35 NOUN nmod
39 de de 40 ADP case
40 etica etica 38 NOUN nmod
41 wladimir wladimir 43 PROPN nsubj
42 costa costa 41 NOUN flat
43 esta esta 20 VERB conj
44 em em 47 ADP case
45 o o 47 DET det
46 quarto quarto 47 ADJ amod
47 mandato mandato 43 NOUN nmod
48 como como 49 ADP case
49 deputado deputado 43 NOUN nmod
50 famoso famoso 49 ADJ amod
51 por por 53 ADP mark
52 ter ter 53 AUX aux
53 tatuado tatuar 50 VERB nmod
54 o o 55 DET det
55 nome nome 53 NOUN obj
56 de de 58 ADP case
57 o o 58 DET det
58 presidente presidente 55 NOUN nmod
59 michel michel 58 ADJ appos
60 temer temer 58 NOUN appos
61 em em 63 ADP case
62 o o 63 DET det
63 ano ano 53 NOUN nmod
64 passado passado 63 ADJ amod
65 o o 66 DET det
66 deputado deputado 71 NOUN nsubj:pass
67 wladimir wladimir 66 NOUN appos
68 costa costa 67 NOUN flat
69 sdpa sdpa 67 NOUN flat
70 foi foi 71 AUX aux:pass
71 escolhido escolher 20 VERB parataxis
72 como como 74 ADP case
73 novo novo 74 ADJ amod
74 lider lider 71 NOUN nmod
75 de de 77 ADP case
76 a o 77 DET det
77 bancada bancada 74 NOUN nmod
78 de de 80 ADP case
79 o o 80 DET det
80 solidariedade solidariedade 77 NOUN nmod
81 em em 83 ADP case
82 a o 83 DET det
83 camara camara 77 NOUN nmod
84 a o 85 DET det
85 lideranca lideranca 71 NOUN nsubj:pass
86 de de 87 ADP case
87 bancada bancada 85 NOUN nmod
88 e e 89 CCONJ cc
89 um um 71 PRON conj
90 de de 92 ADP case
91 os o 92 DET det
92 postos posto 89 NOUN nmod
93 fundamentais fundamental 92 ADJ amod
94 em em 96 ADP case
95 o o 96 DET det
96 cotidiano cotidiano 92 NOUN nmod
97 de de 98 ADP case
98 atividades atividade 96 NOUN nmod
99 de de 101 ADP case
100 a o 101 DET det
101 camara camara 98 NOUN nmod
102 de de 104 ADP case
103 os o 104 DET det
104 deputados deputado 101 NOUN nmod
105 cabe caber 71 VERB parataxis
106 a a 108 ADP case
107 o o 108 DET det
108 lider lider 105 NOUN iobj
109 por por 110 ADP case
110 exemplo exemplo 105 NOUN nmod
111 indicar indicar 105 VERB xcomp
112 os o 113 DET det
113 nomes nome 111 NOUN obj
114 de de 116 ADP case
115 os o 116 DET det
116 deputados deputado 113 NOUN nmod
117 que que 119 PRON nsubj
118 vao ir 119 AUX aux
119 compor compor 116 VERB acl:relcl
120 as o 121 DET det
121 comissoes comissoe 119 NOUN obj
