1 cresce crescer 0 VERB root
2 apoio apoio 1 NOUN nsubj
3 a a 4 ADP case
4 descriminalizacao descriminalizacao 2 NOUN nmod
5 de de 7 ADP case
6 o o 7 DET det
7 aborto aborto 4 NOUN nmod
8 aponta apontar 1 VERB parataxis
9 pesquisa pesquisa 8 NOUN obj
10 datafolha datafolha 9 ADJ amod
11 a o 12 DET det
12 maioria maioria 17 NOUN nsubj
13 de de 15 ADP case
14 os o 15 DET det
15 brasileiros brasileiro 12 NOUN nmod
16 57 57 15 NUM appos
17 acredita acreditar 1 VERB parataxis
18 que que 23 CCONJ mark
19 a o 20 DET det
20 mulher mulher 23 NOUN nsubj:pass
21 deve dever 23 AUX aux
22 ser ser 23 AUX aux:pass
23 punida punir 17 VERB ccomp
24 e e 25 CCONJ cc
25 ir ir 23 VERB conj
26 para para 28 ADP case
27 a o 28 DET det
28 cadeia cadeia 25 NOUN nmod
29 por por 30 ADP mark
30 fazer fazer 23 VERB advcl
31 um um 32 DET det
32 aborto aborto 30 NOUN obj
33 segundo segundo 34 ADP case
34 pesquisa pesquisa 23 NOUN nmod
35 datafolha datafolha 34 PROPN appos
36 mas mas 47 CCONJ cc
37 a o 210 DET det
38 taxa taxa 216 NOUN nsubj
39 de de 40 ADP case
40 brasileiros brasileiro 38 NOUN nmod
41 favoraveis favoravel 40 ADJ amod
42 a a 43 ADP case
43 descriminalizacao descriminalizacao 41 NOUN nmod
44 de de 46 ADP case
45 a o 46 DET det
46 pratica pratica 43 NOUN nmod
47 aumentou aumentar 23 VERB conj
48 em em 51 ADP case
49 o o 51 DET det
50 ultimo ultimo 51 ADJ amod
51 ano ano 47 NOUN nmod
52 passando passar 175 VERB acl
53 de de 54 ADP case
54 23 23 52 NUM nmod
55 para para 56 ADP case
56 36 36 142 NUM nmod
57 7 7 262 NUM nsubj
58 de de 60 ADP case
59 os o 60 DET det
60 entrevistados entrevistado 57 NOUN nmod
61 nao nao 62 ADV advmod
62 souberam saber 223 VERB ccomp
63 se se 64 PRON obj
64 posicionar posicionar 62 VERB ccomp
65 as o 66 DET det
66 opinioes opinioe 175 NOUN nsubj:pass
67 nao nao 68 ADV advmod
68 variam variar 223 VERB ccomp
69 de de 70 ADP case
70 acordo acordo 175 NOUN nmod
71 com com 73 ADP case
72 o o 73 DET det
73 sexo sexo 70 NOUN nmod
74 de de 76 ADP case
75 o o 76 DET det
76 entrevistado entrevistado 73 NOUN nmod
77 58 58 262 NUM nsubj
78 de de 80 ADP case
79 os o 80 DET det
80 homens homem 77 NOUN nmod
81 e e 82 CCONJ cc
82 56 56 118 NUM conj
83 de de 85 ADP case
84 as o 85 DET det
85 mulheres mulher 82 NOUN nmod
86 sao sao 17 VERB conj
87 favoraveis favoravel 86 ADJ xcomp
88 a a 89 ADP case
89 punicao punicao 87 NOUN nmod
90 o o 91 DET det
91 que que 62 PRON nsubj
92 e e 95 CCONJ cc
93 considerado considerar 95 AUX cop
94 um um 95 DET det
95 empate empate 223 NOUN ccomp
96 ja ja 138 ADV mark
97 que que 96 CCONJ fixed
98 a o 99 DET det
99 margem margem 216 NOUN nsubj
100 de de 101 ADP case
101 erro erro 99 NOUN nmod
102 de de 104 ADP case
103 a o 104 DET det
104 pesquisa pesquisa 99 NOUN nmod
105 e e 216 VERB advcl
106 de de 108 ADP case
107 dois dois 108 NUM nummod
108 pontos ponto 175 NOUN nmod
109 percentuais percentual 108 ADJ amod
110 para para 111 ADP mark
111 mais mais 140 ADV nmod
112 ou ou 114 CCONJ cc
113 para para 114 ADP mark
114 menos menos 111 ADV conj
115 em em 116 ADP case
116 caso caso 175 NOUN nmod
117 de de 118 ADP case
118 estupro estupro 116 NOUN nmod
119 ou ou 121 CCONJ cc
120 de de 121 ADP case
121 risco risco 118 NOUN conj
122 de de 123 ADP case
123 morte morte 121 NOUN nmod
124 de de 126 ADP case
125 a o 126 DET det
126 mae mae 123 NOUN nmod
127 quando quando 132 CCONJ mark
128 o o 129 DET det
129 aborto aborto 132 NOUN nsubj:pass
130 ja ja 132 ADV advmod
131 e er 132 AUX aux:pass
132 permitido permitir 223 VERB advcl
133 por por 134 ADP case
134 lei lei 132 NOUN nmod
135 os o 136 DET det
136 brasileiros brasileiro 138 NOUN nsubj
137 se se 138 PRON expl:pv
138 mostram mostrar 216 VERB advcl
139 mais mais 140 ADV advmod
140 abertos aberto 138 ADJ xcomp
141 a a 142 ADP case
142 interrupcao interrupcao 140 NOUN nmod
143 de de 145 ADP case
144 a o 145 DET det
145 gravidez gravidez 142 NOUN nmod
146 para para 147 ADP case
147 61 61 237 NUM nmod
148 a o 149 DET det
149 mulher mulher 237 NOUN nsubj
150 que que 151 PRON nsubj
151 corre correr 149 VERB acl:relcl
152 esse esse 153 DET det
153 risco risco 151 NOUN obj
154 deve dever 155 AUX aux
155 ter ter 223 VERB ccomp
156 o o 157 DET det
157 direito direito 155 NOUN obj
158 de de 159 ADP mark
159 abortar abortar 157 VERB nmod
160 e e 262 CCONJ cc
161 para para 162 ADP case
162 53 53 262 NUM nmod
163 a o 164 DET det
164 interrupcao interrupcao 167 NOUN nsubj:pass
165 deve dever 167 AUX aux
166 ser ser 167 AUX aux:pass
167 permitida permitir 23 VERB conj
168 para para 169 ADP case
169 vitimas vitimas 167 NOUN nmod
170 de de 171 ADP case
171 estupro estupro 169 NOUN nmod
172 o o 173 DET det
173 levantamento levantamento 175 NOUN nsubj:pass
174 foi foi 175 AUX aux:pass
175 realizado realizar 17 VERB conj
176 com com 178 ADP case
177 2765 2765 178 NUM nummod
178 pessoas pessoa 175 NOUN nmod
179 em em 181 ADP case
180 192 192 181 NUM nummod
181 municipios municipio 175 NOUN nmod
182 de de 184 ADP case
183 o o 184 DET det
184 pais pais 181 NOUN nmod
185 em em 187 ADP case
186 os o 187 DET det
187 dias dia 175 NOUN nmod
188 29 29 187 NUM nmod
189 e e 190 CCONJ cc
190 30 30 188 NUM conj
191 de de 192 ADP case
192 novembro novembro 188 PROPN nmod
193 quanto quanto 195 CCONJ mark
194 mais mais 195 ADV advmod
195 jovem jovem 175 ADJ nmod
196 escolarizado escolarizado 175 ADJ xcomp
197 e e 200 CCONJ cc
198 com com 200 ADP case
199 maior maior 200 ADJ amod
200 renda renda 196 NOUN conj
201 familiar familiar 200 ADJ amod
202 mais mais 203 ADV advmod
203 favoravel favoravel 200 ADJ amod
204 a a 205 ADP case
205 descriminalizacao descriminalizacao 203 NOUN nmod
206 de de 208 ADP case
207 o o 208 DET det
208 aborto aborto 205 NOUN nmod
209 os o 210 DET det
210 brasileiros brasileiro 216 NOUN nsubj
211 de de 215 ADP case
212 16 16 210 NUM nmod
213 a a 214 ADP case
214 24 24 212 NUM nmod
215 anos ano 210 NOUN nmod
216 sao sao 17 VERB ccomp
217 os o 219 DET det
218 mais mais 219 ADV advmod
219 contrarios contrario 216 ADJ xcomp
220 a a 221 ADP case
221 punicao punicao 219 NOUN nmod
222 44 44 221 NUM appos
223 acham achar 216 VERB parataxis
224 que que 229 CCONJ mark
225 a o 226 DET det
226 mulher mulher 229 NOUN nsubj
