1 apos apos 3 ADP case
2 dois dois 3 NUM nummod
3 anos ano 29 NOUN nmod
4 impacto impacto 29 NOUN nsubj
5 ambiental ambiental 4 ADJ amod
6 de de 8 ADP case
7 o o 8 DET det
8 desastre desastre 4 NOUN nmod
9 em em 10 ADP case
10 mariana mariana 4 NOUN nmod
11 ainda ainda 15 ADV advmod
12 nao nao 15 ADV advmod
13 e e 15 CCONJ cc
14 totalmente totalmente 15 ADV advmod
15 conhecido conhecer 29 VERB conj
16 parte parte 29 NOUN nsubj
17 de de 19 ADP case
18 as o 19 DET det
19 margens margem 16 NOUN nmod
20 e e 23 CCONJ cc
21 de de 23 ADP case
22 o o 23 DET det
23 fundo fundo 19 NOUN conj
24 de de 26 ADP case
25 o o 26 DET det
26 rio rio 23 NOUN nmod
27 doce doce 26 ADJ amod
28 ainda ainda 29 ADV advmod
29 permanece permanecer 0 VERB root
30 coberta coberto 29 ADJ xcomp
31 por por 33 ADP case
32 a o 33 DET det
33 lama lama 30 NOUN nmod
34 que que 37 PRON nsubj:pass
35 pode pode 37 AUX aux
36 ser ser 37 AUX aux:pass
37 levada levar 33 VERB acl:relcl
38 para para 40 ADP case
39 o o 40 DET det
40 mar mar 37 NOUN nmod
41 e e 42 CCONJ cc
42 atingir atingir 37 VERB conj
43 ecossistemas ecossistema 42 NOUN obj
44 frageis fragil 43 ADJ amod
45 como como 46 ADP case
46 mangues mangue 43 NOUN nmod
47 e e 48 CCONJ cc
48 corais coral 46 NOUN conj
49 dois dois 50 NUM nummod
50 anos ano 51 NOUN nmod
51 depois depois 54 ADV case
52 de de 51 ADP case
53 o o 51 DET det
54 rompimento rompimento 42 NOUN nmod
55 de de 57 ADP case
56 a o 57 DET det
57 barragem barragem 54 NOUN nmod
58 de de 59 ADP case
59 fundao fundao 57 NOUN nmod
60 em em 62 ADP case
61 a o 62 DET det
62 regiao regiao 54 NOUN nmod
63 de de 64 ADP case
64 mariana mariana 62 NOUN nmod
65 mg mg 78 X parataxis
66 biologos biologo 78 NOUN nsubj
67 geologos geologo 66 ADJ amod
68 e e 69 CCONJ cc
69 oceanografos oceanografo 67 NOUN conj
70 que que 71 PRON nsubj
71 pesquisam pesquisar 66 VERB acl:relcl
72 a o 73 DET det
73 bacia bacia 71 NOUN obj
74 de de 76 ADP case
75 o o 76 DET det
76 rio rio 73 NOUN nmod
77 doce doce 76 ADJ amod
78 afirmam afirmar 29 VERB parataxis
79 que que 114 CCONJ mark
80 o o 81 DET det
81 impacto impacto 114 NOUN nsubj
82 ambiental ambiental 81 ADJ amod
83 de de 85 ADP case
84 o o 85 DET det
85 desastre desastre 81 NOUN nmod
86 considerado considerar 88 AUX cop
87 o o 88 DET det
88 maior maior 81 NOUN acl
89 de de 91 ADP case
90 o o 91 DET det
91 pais pais 88 NOUN nmod
92 ainda ainda 96 ADV advmod
93 nao nao 96 ADV advmod
94 e e 96 CCONJ cc
95 totalmente totalmente 96 ADV advmod
96 conhecido conhecido 173 ADJ conj
97 em em 98 ADP case
98 5 5 200 NUM nmod
99 de de 100 ADP case
100 novembro novembro 98 PROPN nmod
101 de de 102 ADP case
102 2015 2015 100 NUM nmod
103 34 34 104 NUM nummod
104 milhoes milhoes 106 NUM nummod
105 de de 106 ADP case
106 metros metro 114 NOUN nsubj
107 cubicos cubico 106 ADJ amod
108 de de 109 ADP case
109 rejeito rejeito 106 NOUN nmod
110 de de 111 ADP case
111 minerio minerio 109 NOUN nmod
112 de de 113 ADP case
113 ferro ferro 111 NOUN nmod
114 jorraram jorrar 78 VERB ccomp
115 de de 117 ADP case
116 o o 117 DET det
117 complexo complexo 114 NOUN nmod
118 de de 119 ADP case
119 mineracao mineracao 117 NOUN nmod
120 operado operar 117 VERB acl
121 por por 123 ADP case
122 a o 123 DET det
123 samarco samarco 120 NOUN nmod
124 e e 125 CCONJ cc
125 percorreram percorrer 37 VERB conj
126 55 55 127 NUM nummod
127 km km 125 NOUN obj
128 de de 130 ADP case
129 o o 130 DET det
130 rio rio 127 NOUN nmod
131 gualaxo gualaxo 130 ADJ amod
132 de de 134 ADP case
133 o o 134 DET det
134 norte norte 130 NOUN nmod
135 e e 138 CCONJ cc
136 outros outros 138 DET det
137 22 22 138 NUM nummod
138 km km 130 NOUN conj
139 de de 141 ADP case
140 o o 141 DET det
141 rio rio 138 NOUN nmod
142 de de 144 ADP case
143 o o 144 DET det
144 carmo carmo 141 NOUN nmod
145 ate ate 146 ADP mark
146 desaguarem desaguar 42 VERB advcl
147 em em 149 ADP case
148 o o 149 DET det
149 rio rio 146 NOUN nmod
150 doce doce 149 ADJ amod
151 em em 153 ADP case
152 o o 153 DET det
153 total total 42 NOUN nmod
154 a o 155 DET det
155 lama lama 156 NOUN nsubj
156 percorreu percorrer 29 VERB conj
157 663 663 158 NUM nummod
158 km km 156 NOUN obj
159 ate ate 160 ADP mark
160 encontrar encontrar 156 VERB advcl
161 o o 162 DET det
162 mar mar 160 NOUN obj
163 em em 165 ADP case
164 o o 165 DET det
165 municipio municipio 160 NOUN nmod
166 de de 167 ADP case
167 regencia regencia 165 NOUN nmod
168 es es 78 CCONJ dep
169 ainda ainda 170 ADV advmod
170 nao nao 29 ADV advmod
171 e e 78 VERB cc
172 possivel possivel 156 ADJ xcomp
173 mensurar mensurar 156 VERB xcomp
174 completamente completamente 173 ADV advmod
175 a o 176 DET det
176 dimensao dimensao 173 NOUN obj
177 de de 179 ADP case
178 o o 179 DET det
179 impacto impacto 176 NOUN nmod
180 em em 182 ADP case
181 a o 182 DET det
182 natureza natureza 179 NOUN nmod
183 porque porque 189 CCONJ mark
184 boa bom 185 ADJ amod
185 parte parte 189 NOUN nsubj
186 de de 188 ADP case
187 a o 188 DET det
188 lama lama 185 NOUN nmod
189 continua continuar 173 VERB advcl
190 em em 192 ADP case
191 as o 192 DET det
192 margens margem 189 NOUN nmod
193 e e 196 CCONJ cc
194 em em 196 ADP case
195 a o 196 DET det
196 calha calha 192 NOUN conj
197 de de 199 ADP case
198 o o 199 DET det
199 rio rio 196 NOUN nmod
200 dizem dizer 78 VERB advcl
201 especialistas especialista 200 NOUN nsubj
202 consultados consultar 201 VERB acl
203 por por 205 ADP case
204 a o 205 DET det
205 bbc bbc 202 NOUN nmod
206 brasil brasil 205 ADJ flat
207 e e 227 CCONJ cc
208 ainda ainda 209 ADV advmod
209 parte parte 227 NOUN nsubj
210 de de 212 ADP case
211 os o 212 DET det
212 rejeitos rejeito 209 NOUN nmod
213 que que 214 PRON nsubj
214 chegou chegar 212 VERB acl:relcl
215 a a 217 ADP case
216 o o 217 DET det
217 oceano oceano 214 NOUN nmod
218 continua continuar 220 AUX aux
