1 chefe chefe 7 NOUN nsubj
2 de de 3 ADP case
3 compliance compliance 1 NOUN nmod
4 de de 6 ADP case
5 a o 6 DET det
6 odebrecht odebrecht 1 PROPN nmod
7 diz dizer 0 VERB root
8 que que 11 CCONJ mark
9 brasil brasil 11 NOUN nsubj
10 nao nao 11 ADV advmod
11 chega chegar 7 VERB ccomp
12 nem nem 13 ADV advmod
13 perto perto 11 ADV advmod
14 de de 16 ADP case
15 os o 16 DET det
16 paises paise 13 NOUN nmod
17 mais mais 18 ADV advmod
18 corruptos corrupto 16 ADJ amod
19 em em 21 ADP case
20 o o 21 DET det
21 brasil brasil 11 NOUN nmod
22 ha ha 11 VERB advcl
23 um um 24 NUM nummod
24 ano ano 22 NOUN nmod
25 e e 26 CCONJ cc
26 meio meio 24 NOUN conj
27 advogado advogado 24 NOUN appos
28 norteamericano norteamericano 27 ADJ amod
29 michael michael 27 PROPN appos
30 munro munro 29 NOUN flat
31 tambem tambem 32 ADV advmod
32 ve ve 7 VERB conj
33 mudanca mudanca 32 NOUN obj
34 em em 36 ADP case
35 a o 36 DET det
36 conduta conduta 33 NOUN nmod
37 de de 39 ADP case
38 os o 39 DET det
39 brasileiros brasileiro 36 NOUN nmod
40 desde desde 42 ADP case
41 a o 42 DET det
42 lava lava 33 NOUN nmod
43 jato jato 42 NOUN flat
44 ha ha 32 VERB advcl
45 pouco pouco 46 ADV advmod
46 mais mais 48 ADV advmod
47 de de 46 ADP case
48 um um 49 NUM nummod
49 ano ano 44 NOUN nmod
50 e e 51 CCONJ cc
51 meio meio 49 NOUN conj
52 em em 54 ADP case
53 o o 54 DET det
54 brasil brasil 44 NOUN nmod
55 com com 57 ADP case
56 a o 57 DET det
57 missao missao 32 NOUN nmod
58 de de 59 ADP mark
59 eliminar eliminar 57 VERB nmod
60 a o 61 DET det
61 corrupcao corrupcao 59 NOUN obj
62 dentro dentro 148 ADV advmod
63 de de 65 ADP case
64 a o 65 DET det
65 construtora construtor 62 NOUN nmod
66 odebrecht odebrecht 65 PROPN appos
67 o o 68 DET det
68 advogado advogado 279 NOUN nsubj
69 norteamericano norteamericano 68 ADJ amod
70 michael michael 68 X appos
71 munro munro 70 NOUN flat
72 diretor diretor 68 NOUN appos
73 de de 74 ADP case
74 compliance compliance 72 NOUN nmod
75 de de 77 ADP case
76 a o 77 DET det
77 empresa empresa 72 NOUN nmod
78 tem ter 7 VERB parataxis
79 uma um 80 DET det
80 visao visao 78 NOUN obj
81 otimista otimista 80 ADJ amod
82 sobre sobre 84 ADP case
83 o o 84 DET det
84 combate combate 80 NOUN nmod
85 a a 86 ADP case
86 desvios desvio 84 NOUN nmod
87 eticos etico 86 ADJ amod
88 em em 90 ADP case
89 o o 90 DET det
90 mundo mundo 86 NOUN nmod
91 de de 93 ADP case
92 os o 93 DET det
93 negocios negocio 90 NOUN nmod
94 em em 96 ADP case
95 o o 96 DET det
96 pais pais 203 NOUN nmod
97 diferentemente diferentemente 132 ADV advmod
98 de de 101 ADP case
99 o o 101 DET det
100 que que 98 PRON fixed
101 pensam pensar 230 VERB advcl
102 muitos muitos 103 DET det
103 brasileiros brasileiro 101 NOUN nsubj
104 em em 105 ADP case
105 meio meio 101 NOUN nmod
106 a o 108 DET case
107 chamada chamado 108 ADJ amod
108 crise crise 105 NOUN nmod
109 moral moral 108 ADJ amod
110 por por 111 ADP case
111 que que 112 PRON nmod
112 atravessa atravessar 108 VERB acl:relcl
113 o o 114 DET det
114 pais pais 112 NOUN nsubj
115 munro munro 112 NOUN nsubj
116 diz dizer 7 VERB ccomp
117 que que 245 CCONJ mark
118 o o 119 DET det
119 brasil brasil 245 NOUN nsubj
120 nao nao 121 ADV advmod
121 chega chegar 230 VERB ccomp
122 nem nem 123 ADV cc
123 perto perto 121 ADV advmod
124 de de 126 ADP case
125 os o 126 DET det
126 paises paise 123 NOUN nmod
127 mais mais 128 ADV advmod
128 corruptos corrupto 126 ADJ amod
129 de de 131 ADP case
130 o o 131 DET det
131 mundo mundo 126 NOUN nmod
132 ve ve 116 VERB ccomp
133 avancos avanco 132 NOUN obj
134 que que 135 PRON nsubj
135 remontam remontar 133 VERB acl:relcl
136 ha ha 135 VERB advcl
137 mais mais 139 ADV advmod
138 de de 137 ADP case
139 uma uma 140 NUM nummod
140 decada decada 136 NOUN nmod
141 e e 142 CCONJ cc
142 acha achar 32 VERB conj
143 que que 148 CCONJ mark
144 operacao operacao 148 NOUN nsubj
145 lava lava 144 NOUN appos
146 jato jato 145 NOUN flat
147 ja ja 148 ADV advmod
148 mudou mudar 142 VERB ccomp
149 nao nao 150 ADV advmod
150 so so 148 ADV advmod
151 o o 152 DET det
152 ambiente ambiente 148 NOUN obj
153 empresarial empresarial 152 ADJ amod
154 mas mas 157 CCONJ cc
155 tambem tambem 157 ADV advmod
156 a o 157 DET det
157 conduta conduta 152 NOUN conj
158 individual individual 157 ADJ amod
159 de de 161 ADP case
160 o o 161 DET det
161 cidadao cidadao 157 NOUN nmod
162 comum comum 161 ADJ amod
163 me me 164 PRON iobj
164 chateia chatear 32 VERB conj
165 quando quando 168 CCONJ mark
166 as o 167 DET det
167 pessoas pessoa 168 NOUN nsubj
168 criticam criticar 164 VERB advcl
169 seus seus 170 DET det:poss
170 paises paise 168 NOUN obj
171 em em 173 ADP case
172 a o 173 DET det
173 america america 44 NOUN nmod
174 latina latino 173 ADJ amod
175 nao nao 164 ADV advmod
176 e e 177 CCONJ cc
177 verdade verdade 175 NOUN conj
178 porque porque 179 CCONJ mark
179 ha ha 32 VERB advcl
180 muitos muitos 182 DET det
181 outros outros 182 DET det
182 paises paise 179 NOUN obj
183 onde onde 186 ADV advmod
184 a o 185 DET det
185 situacao situacao 186 NOUN nsubj
186 e e 182 VERB acl:relcl
187 muito muito 188 ADV advmod
188 mais mais 189 ADV advmod
189 dificil dificil 186 ADJ xcomp
190 diz dizer 230 VERB ccomp
191 munro munro 78 NOUN obj
192 apontando apontar 190 VERB acl
193 como como 194 ADP mark
194 diferencial diferencial 192 ADJ nmod
195 a o 196 DET det
196 abertura abertura 192 NOUN obj
197 com com 199 ADP case
198 a o 199 DET det
199 qual qual 203 PRON nmod
200 o o 201 DET det
201 tema tema 203 NOUN nsubj:pass
202 e e 203 AUX aux:pass
203 abordado abordar 196 VERB acl:relcl
204 em em 206 ADP case
205 a o 206 DET det
206 esfera esfera 203 NOUN nmod
207 publica publico 206 ADJ amod
208 e e 210 CCONJ cc
209 os o 210 DET det
210 investimentos investimento 206 NOUN conj
211 de de 213 ADP case
212 o o 213 DET det
213 setor setor 210 NOUN nmod
214 publico publico 213 ADJ amod
215 e e 216 CCONJ cc
216 privado privado 214 ADJ conj
217 em em 219 ADP case
218 o o 219 DET det
219 combate combate 210 NOUN nmod
220 a a 221 ADP case
221 corrupcao corrupcao 219 NOUN nmod
222 em em 223 ADP case
223 entrevista entrevista 101 NOUN nmod
224 a a 226 ADP case
225 o o 226 DET det
226 g1 g1 223 PROPN nmod
227 o o 228 DET det
228 executivo executivo 230 NOUN nsubj
229 tambem tambem 230 ADV advmod
230 frisou frisar 116 VERB ccomp
231 que que 245 CCONJ mark
232 a o 233 DET det
233 reducao reducao 245 NOUN nsubj
234 de de 236 ADP case
235 a o 236 DET det
236 corrupcao corrupcao 233 NOUN nmod
237 em em 239 ADP case
238 a o 239 DET det
239 relacao relacao 233 NOUN nmod
240 entre entre 241 ADP case
241 governo governo 239 NOUN nmod
