1 atualizada atualizar 0 VERB root
2 as o 3 DET det
3 17h57 17h57 1 NUM nmod
4 o o 5 DET det
5 promotor promotor 17 NOUN nsubj
6 de de 7 ADP case
7 justica justica 5 NOUN nmod
8 cassio cassio 5 NOUN appos
9 conserino conserino 8 ADJ amod
10 de de 12 ADP case
11 o o 12 DET det
12 ministerio ministerio 8 NOUN nmod
13 publico publico 12 ADJ amod
14 de de 16 ADP case
15 sao sao 12 NOUN nmod
16 paulo paulo 12 NOUN nmod
17 intimou intimar 1 VERB parataxis
18 o o 19 DET det
19 expresidente expresidente 17 NOUN obj
20 luiz luiz 19 ADJ appos
21 inacio inacio 20 NOUN flat
22 lula lula 20 NOUN flat
23 de de 25 ADP case
24 a o 25 DET det
25 silva silva 20 NOUN nmod
26 a o 27 DET det
27 mulher mulher 17 NOUN obj
28 marisa marisa 27 NOUN appos
29 leticia leticia 28 NOUN flat
30 e e 32 CCONJ cc
31 o o 32 DET det
32 empreiteiro empreiteiro 27 NOUN conj
33 jose jose 32 NOUN appos
34 adelmario adelmario 33 NOUN flat
35 pinheiro pinheiro 37 ADJ amod
36 o o 37 DET det
37 leo leo 32 NOUN appos
38 pinheiro pinheiro 37 NOUN flat
39 ligado ligar 37 VERB acl
40 a a 41 ADP case
41 oas oas 39 NOUN nmod
42 para para 43 ADP mark
43 prestarem prestar 17 VERB advcl
44 depoimento depoimento 43 NOUN obj
45 em em 47 ADP case
46 o o 47 DET det
47 dia dia 17 NOUN nmod
48 17 17 47 NUM nmod
49 de de 50 ADP case
50 fevereiro fevereiro 48 PROPN nmod
51 a a 52 ADP mark
52 partir partir 17 VERB nmod
53 de de 55 ADP case
54 as o 55 DET det
55 11h 11h 52 NUM nmod
56 sobre sobre 58 ADP case
57 o o 58 DET det
58 triplex triplex 186 NOUN nmod
59 de de 61 ADP case
60 o o 61 DET det
61 condominio condominio 58 NOUN nmod
62 solaris solaris 61 NOUN flat
63 em em 65 ADP case
64 o o 65 DET det
65 guaruja guaruja 61 NOUN nmod
66 segundo segundo 68 ADP case
67 o o 68 DET det
68 promotor promotor 212 NOUN nmod
69 o o 70 DET det
70 expresidente expresidente 212 NOUN nsubj:pass
71 e e 72 CCONJ cc
72 marisa marisa 70 NOUN conj
73 vao ir 74 AUX aux
74 depor depor 17 VERB conj
75 como como 76 ADP case
76 investigados investigado 74 NOUN nmod
77 a o 78 DET det
78 promotoria promotoria 74 NOUN nsubj
79 suspeita suspeita 74 VERB ccomp
80 que que 82 CCONJ mark
81 imovel imovel 82 NOUN nsubj
82 pertenca pertencar 79 VERB ccomp
83 a a 84 ADP case
84 lula lula 82 NOUN nmod
85 tambem tambem 87 ADV advmod
86 foi foi 87 AUX aux:pass
87 intimado intimar 79 VERB ccomp
88 o o 89 DET det
89 engenheiro engenheiro 251 NOUN nsubj
90 de de 92 ADP case
91 a o 92 DET det
92 oas oas 89 NOUN nmod
93 igor igor 262 NOUN appos
94 pontes ponte 263 NOUN flat
95 conserino conserino 178 ADJ amod
96 diz dizer 17 VERB parataxis
97 ter ter 96 VERB xcomp
98 indicios indicio 97 NOUN obj
99 de de 101 ADP mark
100 que que 101 CCONJ mark
101 houve haver 98 VERB nmod
102 tentativa tentativa 101 NOUN obj
103 de de 104 ADP mark
104 esconder esconder 102 VERB nmod
105 a o 106 DET det
106 identidade identidade 104 NOUN obj
107 de de 110 ADP case
108 o o 110 DET det
109 verdadeiro verdadeiro 110 ADJ amod
110 dono dono 106 NOUN nmod
111 de de 113 ADP case
112 o o 113 DET det
113 triplex triplex 110 NOUN nmod
114 164 164 113 NUM appos
115 a a 114 ADP nmod
116 em em 118 ADP case
117 o o 118 DET det
118 guaruja guaruja 114 NOUN nmod
119 que que 120 PRON nsubj
120 seria seria 124 VERB acl:relcl
121 de de 123 ADP case
122 o o 123 DET det
123 expresidente expresidente 120 NOUN nmod
124 o o 43 PRON obj
125 que que 127 PRON nsubj
126 pode pode 127 AUX aux
127 caracterizar caracterizar 124 VERB acl:relcl
128 crime crime 127 NOUN obj
129 de de 130 ADP case
130 lavagem lavagem 128 NOUN nmod
131 de de 132 ADP case
132 dinheiro dinheiro 130 NOUN nmod
133 segundo segundo 135 ADP case
134 o o 135 DET det
135 promotor promotor 43 NOUN nmod
136 cassio cassio 135 NOUN appos
137 conserino conserino 61 ADJ amod
138 os o 139 DET det
139 advogados advogado 309 NOUN nsubj
140 de de 142 ADP case
141 a o 142 DET det
142 familia familia 139 NOUN nmod
143 lula lulo 142 ADJ amod
144 nao nao 145 ADV advmod
145 quiseram querer 17 VERB conj
146 receber receber 145 VERB xcomp
147 a o 148 DET det
148 notificacao notificacao 146 NOUN obj
149 porque porque 151 CCONJ mark
150 nao nao 151 ADV advmod
151 tinham ter 212 VERB advcl
152 poderes poderes 151 NOUN obj
153 o o 154 DET det
154 condominio condominio 309 NOUN obj
155 solaris solaris 154 ADJ amod
156 onde onde 157 ADV advmod
157 fica ficar 154 VERB acl:relcl
158 o o 159 DET det
159 triplex triplex 157 NOUN nsubj
160 164 164 159 NUM appos
161 a a 192 ADP case
162 e e 163 CCONJ cc
163 alvo alvo 182 NOUN conj
164 de de 166 ADP case
165 o o 166 DET det
166 ministerio ministerio 163 NOUN nmod
167 publico publico 166 ADJ amod
168 de de 169 ADP case
169 sao sao 166 NOUN nmod
170 paulo paulo 169 NOUN flat
171 os o 172 DET det
172 promotores promotor 309 NOUN nsubj
173 de de 174 ADP case
174 justica justica 172 NOUN nmod
175 cassio cassio 172 NOUN appos
176 conserino conserino 175 NOUN flat
177 e e 178 CCONJ cc
178 jose jose 175 NOUN conj
179 carlos carlo 178 NOUN flat
180 blat blat 178 NOUN flat
181 investigam investigar 17 VERB conj
182 quem quem 309 PRON obj
183 e e 186 CCONJ cc
184 o o 186 DET det
185 real real 186 ADJ amod
186 proprietario proprietario 182 NOUN conj
187 de de 189 ADP case
188 o o 189 DET det
189 apartamento apartamento 186 NOUN nmod
190 de de 192 ADP case
191 297 297 192 NUM nummod
192 metros metro 189 NOUN nmod
193 quadrados quadrado 192 ADJ amod
194 de de 195 ADP case
195 area area 192 NOUN nmod
196 em em 198 ADP case
197 a o 198 DET det
198 praia praia 43 NOUN nmod
199 de de 201 ADP case
200 as o 201 DET det
201 asturias asturia 198 NOUN nmod
202 em em 203 ADP case
203 guaruja guaruja 43 NOUN nmod
204 em em 206 ADP case
205 o o 206 DET det
206 ambito ambito 309 NOUN nmod
207 de de 209 ADP case
208 a o 209 DET det
209 promotoria promotoria 206 NOUN nmod
210 paulista paulista 209 ADJ amod
211 foi foi 212 AUX aux:pass
212 aberto abrir 17 VERB parataxis
213 um um 214 DET det
214 inquerito inquerito 212 NOUN nsubj:pass
215 em em 216 ADP case
216 2010 2010 212 NUM nmod
217 para para 218 ADP mark
218 investigar investigar 212 VERB advcl
219 suspeitas suspeitas 218 NOUN obj
220 de de 221 ADP case
221 desvios desvio 219 NOUN nmod
222 de de 223 ADP case
223 recursos recurso 221 NOUN nmod
224 de de 226 ADP case
225 a o 226 DET det
226 cooperativa cooperativa 221 NOUN nmod
227 habitacional habitacional 226 ADJ amod
228 de de 230 ADP case
229 os o 230 DET det
230 bancarios bancario 226 NOUN nmod
231 de de 233 ADP case
232 o o 233 DET det
233 estado estado 226 NOUN nmod
234 de de 235 ADP case
235 sao sao 233 NOUN nmod
236 paulo paulo 235 ADJ amod
237 bancoop bancoop 251 NOUN nsubj
238 fundada fundar 237 VERB acl
239 em em 241 ADP case
240 os o 241 DET det
241 anos ano 238 NOUN nmod
242 1990 1990 241 NUM nmod
243 por por 245 ADP case
244 um um 245 DET det
245 nucleo nucleo 238 NOUN nmod
246 de de 248 ADP case
247 o o 248 DET det
248 pt pt 245 NOUN nmod
249 esse esse 250 DET det
250 inquerito inquerito 251 NOUN nsubj
251 resultou resultar 74 VERB parataxis
252 em em 253 ADP case
253 denuncia denuncia 251 NOUN nmod
254 criminal criminal 253 ADJ amod
255 a o 256 DET det
256 justica justica 251 NOUN nsubj
257 estadual estadual 256 ADJ amod
258 a o 259 DET det
259 denuncia denuncia 267 NOUN nsubj:pass
260 de de 262 ADP case
261 o o 262 DET det
262 promotor promotor 259 NOUN nmod
263 jose jose 262 NOUN appos
264 carlos carlos 263 NOUN flat
265 blat blat 263 NOUN flat
266 foi foi 267 AUX aux:pass
267 acolhida acolher 251 VERB parataxis
268 por por 271 ADP case
269 a o 271 DET det
270 5 5 271 NUM nummod
271 vara vara 267 NOUN nmod
272 criminal criminal 271 ADJ amod
273 de de 275 ADP case
274 a o 275 DET det
275 capital capital 271 NOUN nmod
276 que que 277 PRON nsubj
277 abriu abrir 271 VERB acl:relcl
278 processo processo 277 NOUN obj
279 contra contra 281 ADP case
280 o o 281 DET det
281 expresidente expresidente 278 NOUN nmod
282 de de 284 ADP case
283 a o 284 DET det
284 bancoop bancoop 281 NOUN nmod
285 joao joao 281 NOUN appos
286 vaccari vaccar 285 NOUN flat
287 neto neto 285 ADJ flat
288 extesoureiro extesoureiro 285 NOUN appos
289 de de 291 ADP case
290 o o 291 DET det
291 pt pt 288 NOUN nmod
292 preso preso 281 VERB acl
293 em em 295 ADP case
294 a o 295 DET det
295 operacao operacao 292 NOUN nmod
