1 quem quem 2 PRON nsubj
2 sao ser 0 VERB root
3 e e 4 CCONJ cc
4 o o 2 PRON conj
5 que que 6 PRON obj
6 pensam pensar 4 VERB acl:relcl
7 os o 8 DET det
8 brasileiros brasileiro 2 NOUN nsubj
9 que que 10 PRON nsubj
10 acreditam acreditar 8 VERB acl:relcl
11 que que 23 CCONJ mark
12 a o 13 DET det
13 terra terra 23 NOUN nsubj
14 e e 15 CCONJ cc
15 plana plana 13 NOUN conj
16 os o 17 DET det
17 globalistas globalista 18 NOUN nsubj
18 acham achar 2 VERB ccomp
19 que que 23 CCONJ mark
20 a o 21 DET det
21 gente gente 23 NOUN nsubj
22 nao nao 23 ADV advmod
23 foi foi 18 VERB ccomp
24 para para 26 ADP case
25 a o 26 DET det
26 escola escola 23 NOUN nmod
27 que que 29 CCONJ mark
28 nao nao 29 ADV advmod
29 temos ter 23 VERB advcl
30 conhecimento conhecimento 29 NOUN obj
31 e e 34 CCONJ cc
32 somos ser 34 AUX aux:pass
33 facilmente facilmente 34 ADV advmod
34 enganados enganar 23 VERB conj
35 sendo ser 34 VERB acl
36 que que 41 CCONJ mark
37 e e 34 CCONJ cc
38 bem bem 41 ADV advmod
39 o o 40 DET det
40 contrario contrario 29 NOUN nsubj
41 diz dizer 35 VERB csubj
42 um um 41 PRON nsubj
43 de de 45 ADP case
44 os o 45 DET det
45 defensores defensor 42 NOUN nmod
46 de de 47 ADP case
47 teoria teoria 45 NOUN nmod
48 globalista globalista 47 ADJ amod
49 terraplanista terraplanista 47 ADJ amod
50 ou ou 51 CCONJ cc
51 neutro neutro 49 ADJ conj
52 voce voce 53 PRON nsubj
53 consegue conseguir 18 VERB conj
54 provar provar 53 VERB xcomp
55 que que 73 CCONJ mark
56 a o 57 DET det
57 terra terra 73 NOUN nsubj
58 e e 60 CCONJ cc
59 um um 60 DET det
60 globo globo 57 NOUN conj
61 uma um 62 DET det
62 bola bola 60 NOUN appos
63 voce voce 64 PRON nsubj
64 tem ter 35 VERB csubj
65 conhecimento conhecimento 64 NOUN obj
66 de de 73 ADP mark
67 que que 73 CCONJ mark
68 o o 69 DET det
69 sol sol 73 NOUN nsubj
70 e e 72 CCONJ cc
71 a o 72 DET det
72 lua lua 69 NOUN conj
73 estao estao 65 VERB nmod
74 proximos proximo 73 ADJ xcomp
75 de de 78 ADP case
76 a o 78 DET det
77 nossa nossa 78 DET det:poss
78 terra terra 74 NOUN nmod
79 e e 80 CCONJ cc
80 dentro dentro 74 ADV conj
81 de de 84 ADP case
82 a o 84 DET det
83 nossa nossa 84 DET det:poss
84 atmosfera atmosfera 80 NOUN nmod
85 ou ou 88 CCONJ cc
86 em em 88 ADP case
87 o o 88 DET det
88 firmamento firmamento 84 NOUN conj
89 e e 90 CCONJ cc
90 sao sao 223 VERB conj
91 menores menor 90 ADJ xcomp
92 bem bem 93 ADV advmod
93 menores menor 91 ADJ amod
94 que que 96 ADP case
95 a o 96 DET det
96 terra terra 93 NOUN nmod
97 e e 99 CCONJ cc
98 com com 99 ADP case
99 perguntas pergunta 231 NOUN conj
100 como como 101 ADP case
101 estas estas 99 PRON nmod
102 que que 243 PRON obj
103 grupos grupo 99 NOUN nsubj
104 brasileiros brasileiro 103 ADJ amod
105 de de 106 ADP case
106 terraplanistas terraplanista 103 NOUN nmod
107 pessoas pessoa 239 NOUN appos
108 que que 109 PRON nsubj
109 acreditam acreditar 107 VERB acl:relcl
110 que que 118 CCONJ mark
111 a o 112 DET det
112 terra terra 118 NOUN nsubj
113 e e 114 CCONJ cc
114 plana plana 112 NOUN conj
115 em em 117 ADP case
116 o o 117 DET det
117 facebook facebook 112 PROPN nmod
118 avaliam avaliar 109 VERB ccomp
119 a o 120 DET det
120 solicitacao solicitacao 118 NOUN obj
121 de de 122 ADP case
122 entrada entrada 120 NOUN nmod
123 de de 126 ADP case
124 um um 126 DET det
125 novo novo 126 ADJ amod
126 membro membro 122 NOUN nmod
127 em em 129 ADP case
128 o o 129 DET det
129 forum forum 122 NOUN nmod
130 virtual virtual 129 ADJ amod
131 em em 133 ADP case
132 a o 133 DET det
133 rede rede 243 NOUN nmod
134 social social 133 ADJ amod
135 ha ha 263 VERB advcl
136 por por 138 ADP case
137 o o 138 DET det
