1 eua eua 4 PRON nsubj
2 comecam comecer 4 AUX aux
3 a a 4 ADP mark
4 posicionar posicionar 111 VERB ccomp
5 sistema sistema 4 NOUN obj
6 de de 7 ADP case
7 defesa defesa 5 NOUN nmod
8 antimissil antimissil 7 ADJ amod
9 em em 11 ADP case
10 a o 11 DET det
11 coreia coreia 4 NOUN nmod
12 de de 14 ADP case
13 o o 14 DET det
14 sul sul 11 NOUN nmod
15 seul seul 16 PRON nsubj
16 preve prever 4 VERB parataxis
17 que que 19 CCONJ mark
18 instalacao instalacao 19 NOUN nsubj
19 estara estar 16 VERB ccomp
20 completa completo 19 ADJ xcomp
21 para para 22 ADP case
22 operacao operacao 20 NOUN nmod
23 ate ate 25 ADP case
24 o o 25 DET det
25 final final 19 NOUN nmod
26 deste deste 27 ADP case
27 ano ano 25 NOUN nmod
28 os o 29 DET det
29 militares militar 36 NOUN nsubj
30 de de 32 ADP case
31 os o 32 DET det
32 estados estado 29 NOUN nmod
33 unidos unido 32 ADJ amod
34 comecaram comecar 36 AUX aux
35 a a 36 ADP mark
36 transferir transferir 16 VERB ccomp
37 partes partes 36 NOUN obj
38 de de 40 ADP case
39 o o 40 DET det
40 sistema sistema 37 NOUN nmod
41 antimissil antimissil 40 ADJ amod
42 thaad thaad 40 NOUN appos
43 para para 45 ADP case
44 o o 45 DET det
45 sul sul 36 NOUN nmod
46 de de 48 ADP case
47 a o 48 DET det
48 coreia coreia 45 NOUN nmod
49 de de 51 ADP case
50 o o 51 DET det
51 sul sul 48 NOUN nmod
52 que que 53 PRON nsubj
53 informou informar 36 VERB parataxis
54 que que 57 CCONJ mark
55 a o 56 DET det
56 instalacao instalacao 57 NOUN nsubj
57 estara estar 53 VERB ccomp
58 completa completo 57 ADJ xcomp
59 para para 61 ADP case
60 sua sua 61 DET det:poss
61 operacao operacao 58 NOUN nmod
62 total total 61 ADJ amod
63 ate ate 65 ADP case
64 o o 65 DET det
65 final final 57 NOUN nmod
66 deste deste 67 ADP case
67 ano ano 65 NOUN nmod
68 segundo segundo 70 ADP case
69 a o 70 DET det
70 agencia agencia 84 NOUN nmod
71 reuters reuter 70 ADJ amod
72 a o 73 DET det
73 coreia coreia 82 NOUN nsubj
74 de de 76 ADP case
75 o o 76 DET det
76 sul sul 73 NOUN nmod
77 e e 79 CCONJ cc
78 os o 79 DET det
79 estados estado 73 NOUN conj
80 unidos unido 79 ADJ amod
81 tem ter 82 AUX aux
82 trabalhado trabalhar 53 VERB ccomp
83 para para 84 ADP mark
84 garantir garantir 82 VERB advcl
85 uma um 86 DET det
86 capacidade capacidade 84 NOUN obj
87 operacional operacional 86 ADJ amod
88 inicial inicial 86 ADJ amod
89 de de 91 ADP case
90 o o 91 DET det
91 sistema sistema 86 NOUN nmod
92 thaad thaad 91 NOUN appos
93 em em 94 ADP case
94 resposta resposta 84 NOUN nmod
95 a a 97 ADP case
96 o o 97 DET det
97 avanco avanco 94 NOUN nmod
98 de de 100 ADP case
99 a o 100 DET det
100 ameaca ameaca 97 NOUN nmod
101 nuclear nuclear 100 ADJ amod
102 e e 104 CCONJ cc
103 de de 104 ADP case
104 misseis missil 100 NOUN conj
105 de de 107 ADP case
106 a o 107 DET det
107 coreia coreia 100 NOUN nmod
108 de de 110 ADP case
109 o o 110 DET det
110 norte norte 107 NOUN nmod
111 disse dizer 0 VERB root
112 o o 113 DET det
113 ministerio ministerio 111 NOUN nsubj
114 de de 116 ADP case
115 a o 116 DET det
116 defesa defesa 113 NOUN nmod
117 sulcoreano sulcoreano 116 ADJ amod
118 em em 119 ADP case
119 comunicado comunicado 129 NOUN nmod
120 em em 123 ADP case
121 a o 123 DET det
122 quartafeira quartafeira 119 ADJ nmod
123 horario horario 119 NOUN nmod
124 local local 123 ADJ amod
125 washington washington 129 PROPN nsubj
126 e e 127 CCONJ cc
127 pyongyang pyongyang 125 NOUN conj
128 estao estao 129 AUX aux
129 aumentando aumentar 111 VERB ccomp
130 a o 131 DET det
131 pressao pressao 129 NOUN obj
132 um um 131 PRON appos
133 contra contra 135 ADP case
134 o o 135 DET det
135 outro outro 132 PRON nmod
136 em em 139 ADP case
137 as o 139 DET det
138 ultimas ultimo 139 ADJ amod
139 semanas semana 129 NOUN nmod
140 com com 142 ADP case
141 os o 142 DET det
142 estados estado 129 NOUN nmod
143 unidos unido 142 ADJ amod
144 enviando enviar 142 VERB acl
145 um um 146 DET det
146 grupo grupo 144 NOUN obj
147 de de 148 ADP case
148 portaavioes portaavioes 146 NOUN nmod
149 e e 150 CCONJ cc
150 submarino submarino 148 NOUN conj
151 nuclear nuclear 150 ADJ amod
152 para para 154 ADP case
153 a o 154 DET det
154 regiao regiao 144 NOUN nmod
155 e e 157 CCONJ cc
156 a o 157 DET det
157 coreia coreia 154 NOUN conj
158 de de 160 ADP case
159 o o 160 DET det
160 norte norte 157 NOUN nmod
161 tentando tentar 142 VERB acl
