1 desafios desafio 11 NOUN nsubj
2 de de 4 ADP case
3 o o 4 DET det
4 combate combate 1 NOUN nmod
5 a a 6 ADP case
6 violencia violencia 4 NOUN nmod
7 em em 9 ADP case
8 o o 9 DET det
9 para para 4 NOUN nmod
10 sao sao 11 AUX cop
11 tema tema 0 NOUN root
12 de de 13 ADP case
13 sessao sessao 11 NOUN nmod
14 especial especial 13 ADJ amod
15 em em 17 ADP case
16 a o 17 DET det
17 alepa alepa 11 NOUN nmod
18 sessao sessao 11 NOUN nsubj
19 especial especial 18 ADJ amod
20 sobre sobre 22 ADP case
21 a o 22 DET det
22 campanha campanha 18 NOUN nmod
23 de de 25 ADP case
24 a o 25 DET det
25 fraternidade fraternidade 22 NOUN nmod
26 2018 2018 25 NUM nmod
27 foi foi 28 AUX aux:pass
28 realizada realizar 11 VERB parataxis
29 nesta nesta 30 ADP case
30 segundafeira segundafeira 28 NOUN nmod
31 19 19 30 NUM appos
32 o o 33 DET det
33 tema tema 28 NOUN nsubj:pass
34 de de 36 ADP case
35 a o 36 DET det
36 cf cf 33 NOUN nmod
37 2018 2018 36 NUM appos
38 e e 39 CCONJ cc
39 fraternidade fraternidade 36 NOUN conj
40 e e 41 CCONJ cc
41 superacao superacao 39 NOUN conj
42 de de 44 ADP case
43 a o 44 DET det
44 violencia violencia 39 NOUN nmod
45 em em 46 ADP case
46 cristo cristo 44 NOUN nmod
47 somos ser 49 AUX cop
48 todos todos 49 DET det
49 irmaos irmao 28 NOUN conj
50 uma um 51 DET det
51 sessao sessao 28 NOUN nsubj:pass
52 especial especial 51 ADJ amod
53 sobre sobre 55 ADP case
54 a o 55 DET det
55 campanha campanha 51 NOUN nmod
56 de de 58 ADP case
57 a o 58 DET det
58 fraternidade fraternidade 55 NOUN nmod
59 cf cf 58 X appos
60 2018 2018 58 NUM appos
61 realizada realizar 51 VERB acl
62 nesta nesta 63 ADP case
63 segundafeira segundafeira 61 NOUN nmod
64 19 19 63 NUM appos
65 em em 67 ADP case
66 a o 67 DET det
67 assembleia assembleia 61 NOUN nmod
68 legislativa legislativo 67 ADJ amod
69 de de 71 ADP case
70 o o 71 DET det
71 para para 67 ADP nmod
72 alepa alepa 71 NOUN flat
73 debateu debater 11 VERB parataxis
74 o o 75 DET det
75 enfrentamento enfrentamento 73 NOUN obj
76 de de 78 ADP case
77 a o 78 DET det
78 violencia violencia 75 NOUN nmod
79 em em 81 ADP case
80 o o 81 DET det
81 para para 78 NOUN nmod
82 a o 83 DET det
83 cf cf 73 NOUN nsubj
84 e e 85 CCONJ cc
85 realizada realizar 187 VERB conj
86 anualmente anualmente 85 ADV advmod
87 por por 89 ADP case
88 a o 89 DET det
89 igreja igreja 85 NOUN nmod
90 catolica catolico 89 ADJ amod
91 em em 93 ADP case
92 o o 93 DET det
93 brasil brasil 89 NOUN nmod
94 e e 96 CCONJ cc
95 em em 96 ADP case
96 conjunto conjunto 89 NOUN conj
97 com com 99 ADP case
98 outras outras 99 DET det
99 denominacoes denominacoe 96 NOUN nmod
100 cristas crista 99 ADJ amod
101 de de 102 ADP case
102 forma forma 96 NOUN nmod
103 ecumenica ecumenico 102 ADJ amod
104 sempre sempre 107 ADV advmod
105 em em 107 ADP case
106 o o 107 DET det
107 periodo periodo 200 NOUN nmod
108 de de 110 ADP case
109 a o 110 DET det
110 quaresma quaresma 107 NOUN nmod
111 seu seu 112 DET det:poss
112 objetivo objetivo 11 NOUN conj
113 e e 114 CCONJ cc
114 despertar despertar 112 VERB conj
115 a o 116 DET det
116 solidariedade solidariedade 114 NOUN obj
117 de de 120 ADP case
118 os o 120 DET det
119 seus seus 120 DET det:poss
120 fieis fieis 116 NOUN nmod
121 e e 124 CCONJ cc
122 de de 124 ADP case
123 a o 124 DET det
124 sociedade sociedade 120 NOUN conj
125 em em 126 ADP case
126 relacao relacao 85 NOUN nmod
127 a a 129 ADP case
128 um um 129 DET det
129 problema problema 126 NOUN nmod
130 concreto concreto 129 ADJ amod
131 que que 132 PRON nsubj
132 envolve envolver 129 VERB acl:relcl
133 a o 134 DET det
134 sociedade sociedade 132 NOUN obj
135 brasileira brasileiro 134 ADJ amod
136 buscando buscar 51 VERB acl
137 caminhos caminho 136 NOUN obj
138 de de 139 ADP case
139 solucao solucao 137 NOUN nmod
140 o o 141 DET det
141 tema tema 51 NOUN appos
142 de de 144 ADP case
143 a o 144 DET det
144 cf cf 141 NOUN nmod
145 2018 2018 144 NUM appos
146 e e 147 CCONJ cc
147 fraternidade fraternidade 144 NOUN conj
148 e e 149 CCONJ cc
149 superacao superacao 147 NOUN conj
150 de de 152 ADP case
151 a o 152 DET det
152 violencia violencia 147 NOUN nmod
153 em em 154 ADP case
154 cristo cristo 152 NOUN nmod
155 somos ser 157 AUX cop
156 todos todos 157 DET det
157 irmaos irmao 129 NOUN acl:relcl
158 mateus mateus 157 NOUN appos
159 238 238 158 NUM appos
160 o o 161 DET det
161 evento evento 163 NOUN nsubj:pass
162 foi foi 163 AUX aux:pass
163 requerido requerer 51 VERB acl:relcl
164 por por 166 ADP case
165 o o 166 DET det
166 deputado deputado 163 NOUN nmod
167 estadual estadual 166 ADJ amod
168 carlos carlo 166 NOUN appos
169 bordalo bordalo 168 NOUN flat
170 presidente presidente 187 NOUN nsubj
171 de de 173 ADP case
172 a o 173 DET det
173 comissao comissao 170 NOUN nmod
174 de de 175 ADP case
175 direitos direito 173 NOUN nmod
176 humanos humano 175 ADJ amod
177 e e 178 CCONJ cc
178 defesa defesa 175 NOUN conj
179 de de 181 ADP case
180 o o 181 DET det
181 consumidor consumidor 178 NOUN nmod
182 de de 184 ADP case
183 a o 184 DET det
184 alepa alepa 67 NOUN nmod
185 somos ser 187 AUX cop
186 uma um 187 DET det
187 sociedade sociedade 73 NOUN parataxis
188 doente doente 187 ADJ amod
189 e e 190 CCONJ cc
190 corremos correr 73 VERB conj
191 o o 192 DET det
192 risco risco 190 NOUN obj
193 de de 196 ADP mark
194 em em 196 ADP case
195 os o 196 PRON det
196 tornarmos tornar 190 AUX nmod
197 uma um 198 DET det
198 sociedade sociedade 196 NOUN obj
199 insensivel insensivel 198 ADJ amod
200 disse dizer 190 VERB parataxis
201 em em 203 ADP case
202 a o 203 DET det
203 sessao sessao 200 NOUN nmod
204 o o 205 DET det
205 padre padre 200 NOUN nsubj
206 bruno bruno 205 NOUN appos
207 secchi secchi 206 NOUN flat
208 representante representante 205 NOUN appos
209 de de 211 ADP case
210 a o 211 DET det
211 arquidiocese arquidiocese 208 NOUN nmod
212 de de 213 ADP case
213 belem belem 211 NOUN nmod
214 ele ele 200 PRON nsubj
215 foi foi 112 AUX cop
216 um um 205 DET det
