1 apos apos 4 CCONJ mark
2 ovada ovada 4 NOUN nsubj
3 doria doria 2 NOUN flat
4 posta posta 48 VERB advcl
5 foto foto 4 NOUN obj
6 de de 7 ADP case
7 deposito deposito 5 NOUN nmod
8 de de 9 ADP case
9 ovos ovo 7 NOUN nmod
10 e e 11 CCONJ cc
11 diz dizer 4 VERB conj
12 armamento armamento 11 NOUN obj
13 pesado pesado 12 ADJ amod
14 tucano tucano 16 NOUN nsubj:pass
15 foi foi 16 AUX aux:pass
16 atingido atingir 48 VERB parataxis
17 por por 18 ADP case
18 ovo ovo 16 NOUN nmod
19 em em 21 ADP case
20 a o 21 DET det
21 cabeca cabeca 18 NOUN nmod
22 em em 23 ADP case
23 evento evento 16 NOUN nmod
24 em em 25 ADP case
25 salvador salvador 16 NOUN nmod
26 em em 28 ADP case
27 a o 28 DET det
28 noite noite 16 NOUN nmod
29 de de 30 ADP case
30 segundafeira segundafeira 28 NOUN nmod
31 7 7 30 NUM appos
32 pos pos 34 AUX mark
33 ser ser 34 AUX aux:pass
34 atingido atingir 16 VERB advcl
35 por por 37 ADP case
36 um um 37 DET det
37 ovo ovo 34 NOUN nmod
38 em em 40 ADP case
39 a o 40 DET det
40 cabeca cabeca 37 NOUN nmod
41 em em 43 ADP case
42 a o 43 DET det
43 bahia bahia 34 NOUN nmod
44 o o 45 DET det
45 prefeito prefeito 48 NOUN nsubj
46 joao joao 45 ADJ appos
47 doria doria 45 NOUN flat
48 publicou publicar 0 VERB root
49 em em 51 ADP case
50 seu seu 51 DET det:poss
51 perfil perfil 48 NOUN nmod
52 em em 54 ADP case
53 o o 54 DET det
54 twitter twitter 51 PROPN nmod
55 uma um 56 DET det
56 foto foto 48 NOUN obj
57 de de 59 ADP case
58 um um 59 DET det
59 deposito deposito 56 NOUN nmod
60 de de 61 ADP case
61 ovos ovo 59 NOUN nmod
62 com com 64 ADP case
63 a o 64 DET det
64 legenda legenda 16 NOUN nmod
65 policia policia 69 NOUN nsubj
66 de de 68 ADP case
67 a o 68 DET det
68 bahia bahia 65 NOUN nmod
69 encontra encontrar 16 VERB parataxis
70 deposito deposito 69 NOUN obj
71 clandestino clandestino 70 ADJ amod
72 de de 73 ADP case
73 armamento armamento 70 NOUN nmod
74 pesado pesado 73 ADJ amod
75 em em 77 ADP case
76 a o 77 DET det
77 noite noite 69 NOUN nmod
78 de de 79 ADP case
79 segundafeira segundafeira 77 NOUN nmod
80 7 7 79 NUM appos
81 em em 82 ADP case
82 evento evento 181 NOUN nmod
83 salvador salvador 82 ADJ amod
84 o o 85 DET det
85 tucano tucano 87 NOUN nsubj:pass
86 foi foi 87 AUX aux:pass
87 atingido atingir 16 VERB parataxis
88 quando quando 89 CCONJ mark
89 chegava chegar 87 VERB advcl
90 a o 91 DET det
91 camara camara 89 NOUN nsubj
92 municipal municipal 91 ADJ amod
93 de de 95 ADP case
94 a o 95 DET det
95 cidade cidade 91 NOUN nmod
96 ele ele 97 PRON nsubj
97 recebeu receber 215 VERB ccomp
98 o o 99 DET det
99 titulo titulo 97 NOUN obj
100 de de 101 ADP case
101 cidadao cidadao 99 NOUN nmod
102 soteropolitano soteropolitano 101 ADJ amod
103 em em 106 ADP case
104 o o 106 DET det
105 mesmo mesmo 106 ADJ amod
106 dia dia 229 NOUN nmod
107 em em 109 ADP case
108 seu seu 109 DET det:poss
109 perfil perfil 229 NOUN nmod
110 oficial oficial 109 ADJ amod
111 doria doria 109 NOUN appos
112 publicou publicar 4 VERB parataxis
113 um um 114 DET det
114 video video 112 NOUN obj
115 e e 116 CCONJ cc
116 fez fazer 112 VERB conj
117 postagens postagem 116 NOUN obj
118 em em 119 ADP case
119 texto texto 117 NOUN nmod
120 falando falar 116 VERB acl
121 sobre sobre 123 ADP case
122 o o 123 DET det
123 ocorrido ocorrido 120 NOUN nmod
124 pessoal pessoal 123 ADJ amod
125 estou estar 242 VERB ccomp
126 em em 127 ADP case
127 salvador salvador 125 NOUN nmod
128 para para 129 ADP mark
129 receber receber 245 VERB advcl
130 o o 131 DET det
131 titulo titulo 129 NOUN obj
132 de de 133 ADP case
133 cidadao cidadao 131 NOUN nmod
134 soteropolitano soteropolitano 133 ADJ amod
135 e e 241 CCONJ cc
136 uma um 137 DET det
137 minoria minoria 241 NOUN nsubj
138 ruidosa ruidoso 239 ADJ amod
139 e e 140 CCONJ cc
140 autoritaria autoritario 138 ADJ conj
141 tentou tentar 16 VERB conj
142 em em 144 ADP case
143 os o 144 PRON det
144 agredir agredir 141 VERB nmod
145 nao nao 144 ADV advmod
146 e e 147 CCONJ cc
147 esse esse 145 PRON conj
148 o o 149 DET det
149 brasil brasil 144 NOUN nsubj
150 que que 151 PRON nsubj
151 queremos querer 149 VERB acl:relcl
152 este este 153 DET det
153 tipo tipo 151 NOUN obj
154 de de 155 ADP case
155 violencia violencia 153 NOUN nmod
156 so so 157 ADV advmod
157 reforca reforcar 16 VERB conj
158 meu meu 159 DET det:poss
159 desejo desejo 157 NOUN obj
160 de de 164 ADP mark
161 que que 164 CCONJ mark
162 o o 163 DET det
163 brasil brasil 164 NOUN nsubj
164 avance avancar 159 VERB nmod
165 unido unido 164 ADJ xcomp
166 a a 167 ADP case
167 paz paz 165 NOUN nmod
168 prevaleceu prevalecer 195 VERB ccomp
169 e e 141 CCONJ cc
170 a o 171 DET det
171 camara camara 69 NOUN nsubj
172 de de 173 ADP case
173 salvador salvador 171 NOUN nmod
174 a o 175 DET det
175 casa casa 69 NOUN nsubj
176 de de 178 ADP case
177 o o 178 DET det
178 povo povo 175 NOUN nmod
179 em em 181 ADP case
180 os o 181 PRON obj
181 recebeu receber 69 VERB conj
182 com com 184 ADP case
183 muito muito 184 DET det
184 carinho carinho 181 NOUN nmod
185 obrigado obrigado 184 ADJ amod
186 povo povo 181 NOUN nsubj
187 de de 189 ADP case
188 a o 189 DET det
189 bahia bahia 186 NOUN nmod
