1 confira conferir 0 VERB root
2 o o 1 PRON obj
3 que que 4 PRON nsubj
4 abre abrir 2 VERB acl:relcl
5 e e 8 CCONJ cc
6 o o 8 DET det
7 que que 8 PRON nsubj
8 fecha fechar 4 VERB conj
9 em em 11 ADP case
10 o o 11 DET det
11 feriado feriado 8 NOUN nmod
12 de de 14 ADP case
13 a o 14 DET det
14 data data 11 NOUN nmod
15 magna magno 14 ADJ amod
16 de de 17 ADP case
17 pernambuco pernambuco 14 NOUN nmod
18 em em 20 ADP case
19 a o 20 DET det
20 tercafeira tercafeira 14 NOUN nmod
21 6 6 20 NUM appos
22 algumas algumas 23 DET det
23 reparticoes reparticoes 27 NOUN nsubj
24 publicas publico 23 ADJ amod
25 nao nao 27 ADV advmod
26 vao ir 27 AUX aux
27 funcionar funcionar 1 VERB conj
28 o o 29 DET det
29 comercio comercio 30 NOUN nsubj
30 tem ter 1 VERB parataxis
31 ponto ponto 30 NOUN obj
32 facultativo facultativo 31 ADJ amod
33 em em 36 ADP case
34 a o 36 DET det
35 primeira primeiro 36 ADJ amod
36 comemoracao comemoracao 30 NOUN nmod
37 de de 39 ADP case
38 a o 39 DET det
39 data data 36 NOUN nmod
40 magna magno 39 ADJ amod
41 de de 42 ADP case
42 pernambuco pernambuco 39 NOUN nmod
43 depois depois 46 ADV case
44 de de 43 ADP case
45 o o 43 DET det
46 decreto decreto 30 NOUN nmod
47 de de 48 ADP case
48 feriado feriado 46 NOUN nmod
49 em em 50 ADP case
50 2017 2017 46 NUM nmod
51 o o 52 DET det
52 comercio comercio 58 NOUN nsubj
53 os o 54 DET det
54 shoppings shopping 58 NOUN nsubj
55 e e 56 CCONJ cc
56 reparticoes reparticoes 54 NOUN conj
57 publicas publico 56 ADJ amod
58 adequam adequir 1 VERB conj
59 seu seu 60 DET det:poss
60 horario horario 58 NOUN obj
61 de de 62 ADP case
62 funcionamento funcionamento 60 NOUN nmod
63 para para 65 ADP case
64 o o 65 DET det
65 centro centro 58 NOUN nmod
66 comercial comercial 65 ADJ amod
67 de de 69 ADP case
68 o o 69 DET det
69 recife recife 65 NOUN nmod
70 o o 71 DET det
71 expediente expediente 58 NOUN nsubj
72 e e 73 CCONJ cc
73 facultativo facultativo 71 ADJ conj
74 algumas algumas 75 DET det
75 reparticoes reparticoe 58 NOUN nsubj
76 publicas publico 75 ADJ amod
77 nao nao 79 ADV advmod
78 vao ir 79 AUX aux
79 funcionar funcionar 58 VERB conj
80 todas todas 82 DET det
81 as o 82 DET det
82 agencias agencia 89 NOUN nsubj
83 de de 85 ADP case
84 os o 85 DET det
85 correios correio 82 NOUN nmod
86 de de 88 ADP case
87 o o 88 DET det
88 estado estado 85 NOUN nmod
89 estarao estar 58 VERB parataxis
90 fechadas fechado 89 ADJ xcomp
91 em em 93 ADP case
92 o o 93 DET det
93 feriado feriado 90 NOUN nmod
94 e e 95 CCONJ cc
95 retornam retornar 89 VERB conj
96 as o 98 DET det
97 suas suas 98 DET det:poss
98 atividades atividade 95 NOUN obj
99 normais normal 98 ADJ amod
