1 entenda entender 0 VERB root
2 o o 3 DET det
3 massacre massacre 1 NOUN obj
4 em em 6 ADP case
5 a o 6 DET det
6 escola escola 3 NOUN nmod
7 de de 9 ADP case
8 a o 9 DET det
9 florida florida 3 NOUN nmod
10 e e 12 CCONJ cc
11 o o 12 DET det
12 andamento andamento 3 NOUN conj
13 de de 15 ADP case
14 as o 15 DET det
15 investigacoes investigacoe 12 NOUN nmod
16 ataque ataque 15 NOUN appos
17 conduzido conduzir 15 VERB acl
18 por por 19 ADP case
19 nikolas nikolas 17 NOUN nmod
20 cruz cruz 19 NOUN flat
21 e e 23 CCONJ cc
22 considerado considerar 23 AUX cop
23 um um 1 PRON conj
24 de de 26 ADP case
25 os o 26 DET det
26 piores pior 23 NOUN nmod
27 de de 29 ADP case
28 a o 29 DET det
29 historia historia 26 NOUN nmod
30 moderna moderno 29 ADJ amod
31 de de 33 ADP case
32 os o 33 DET det
33 eua eua 29 NOUN nmod
34 e e 35 CCONJ cc
35 fez fazer 1 VERB conj
36 com com 41 ADP mark
37 que que 41 CCONJ mark
38 a o 39 DET det
39 comunidade comunidade 41 NOUN nsubj
40 local local 39 ADJ amod
41 pressionasse pressionar 35 VERB nmod
42 os o 43 DET det
43 politicos politico 41 NOUN obj
44 a a 45 ADP mark
45 reverem rever 41 VERB nmod
46 a o 47 DET det
47 legislacao legislacao 45 NOUN obj
48 sobre sobre 50 ADP case
49 o o 50 DET det
50 controle controle 47 NOUN nmod
51 de de 52 ADP case
52 armas arma 50 NOUN nmod
53 parkland parkland 52 NOUN appos
54 eua eua 64 PRON nsubj
55 o o 145 DET det
56 jovem jovem 57 ADJ amod
57 nikolas nikolas 64 NOUN nsubj
58 cruz cruz 57 NOUN flat
59 de de 61 ADP case
60 19 19 61 NUM nummod
61 anos ano 57 NOUN nmod
62 foi foi 64 AUX cop
63 o o 64 DET det
64 autor autor 149 NOUN ccomp
65 de de 66 ADP case
66 um um 64 PRON nmod
67 de de 70 ADP case
68 os o 70 DET det
69 piores pior 70 ADJ amod
70 massacres massacre 66 NOUN nmod
71 de de 73 ADP case
72 a o 73 DET det
73 historia historia 70 NOUN nmod
74 moderna moderno 73 ADJ amod
75 de de 77 ADP case
76 os o 77 DET det
77 eua eua 73 NOUN nmod
78 em em 80 ADP case
79 o o 80 DET det
80 dia dia 83 NOUN nmod
81 14 14 80 NUM nmod
82 ele ele 83 PRON nsubj
83 chegou chegar 149 VERB ccomp
84 a a 86 ADP case
85 o o 86 DET det
86 colegio colegio 83 NOUN nmod
87 marjory marjory 86 NOUN appos
88 stoneman stoneman 87 NOUN flat
89 douglas douglas 87 NOUN flat
90 em em 91 ADP case
91 parkland parkland 86 NOUN nmod
92 em em 94 ADP case
93 a o 94 DET det
94 florida florida 91 NOUN nmod
95 de de 96 ADP mark
96 uber uber 83 VERB nmod
97 as o 99 DET det
98 2h19 2h19 99 NUM nummod
99 locais local 96 NOUN obj
100 munido munir 99 VERB acl
101 de de 103 ADP case
102 um um 103 DET det
103 fuzil fuzil 100 NOUN nmod
104 ar15 ar15 103 NUM appos
105 semiautomatico semiautomatico 104 ADJ amod
106 de de 107 ADP case
107 acordo acordo 103 NOUN nmod
108 detalhes detalhe 189 NOUN nsubj
109 fornecidos fornecer 108 VERB acl
110 por por 111 ADP case
111 autoridades autoridade 109 NOUN nmod
112 conheca conhecar 189 VERB ccomp
113 os o 114 DET det
114 jovens jovem 189 NOUN obj
115 que que 116 PRON nsubj
116 pressionam pressionar 114 VERB acl:relcl
117 por por 118 ADP case
118 mudancas mudanca 116 NOUN nmod
119 em em 121 ADP case
120 as o 121 DET det
121 leis lei 118 NOUN nmod
122 sobre sobre 123 ADP case
123 armas arma 121 NOUN nmod
124 em em 126 ADP case
125 os o 126 DET det
126 eua eua 123 PROPN nmod
127 jovem jovem 126 ADJ amod
128 sobreviveu sobreviver 35 VERB nmod
129 a a 131 ADP case
130 o o 131 DET det
131 massacre massacre 128 NOUN nmod
132 em em 134 ADP case
133 a o 134 DET det
134 florida florida 131 NOUN nmod
135 escondendose escondendose 128 VERB acl
136 em em 137 ADP case
137 armario armario 135 NOUN nmod
138 igual igual 137 ADJ amod
139 avo avo 140 NOUN nsubj
140 fez fazer 128 VERB parataxis
141 70 70 142 NUM nummod
142 anos ano 143 NOUN nmod
143 antes antes 140 ADV advmod
144 um um 145 DET det
145 documento documento 149 NOUN nsubj
146 de de 148 ADP case
147 a o 148 DET det
148 policia policia 145 NOUN nmod
149 aponta apontar 1 VERB parataxis
150 que que 153 CCONJ mark
151 o o 152 DET det
152 agressor agressor 153 NOUN nsubj
153 disparou disparar 149 VERB ccomp
154 o o 155 DET det
155 alarme alarme 153 NOUN obj
156 de de 157 ADP case
157 incendio incendio 155 NOUN nmod
158 justamente justamente 160 ADV advmod
159 para para 160 ADP mark
160 atirar atirar 153 VERB advcl
161 contra contra 163 ADP case
162 os o 163 DET det
163 estudantes estudante 160 NOUN nmod
164 quando quando 167 CCONJ mark
165 eles eles 167 PRON nsubj
166 estivessem estar 167 AUX aux
167 abandonando abandonar 83 VERB advcl
168 o o 169 DET det
169 predio predio 167 NOUN obj
170 e e 173 CCONJ cc
171 comecou comecar 173 AUX aux
172 a a 173 ADP mark
173 atirar atirar 83 VERB conj
174 em em 175 ADP case
175 os os 173 PRON nmod
176 que que 177 PRON nsubj
177 viu ver 175 VERB acl:relcl
178 em em 180 ADP case
179 os o 180 DET det
180 corredores corredor 177 NOUN nmod
181 e e 184 CCONJ cc
182 em em 184 ADP case
183 o o 184 DET det
184 chao chao 180 NOUN conj
185 de de 187 ADP case
186 a o 187 DET det
187 escola escola 184 NOUN nmod
188 trump trump 187 NOUN appos
189 diz dizer 149 VERB ccomp
