1 morre 0 VERB root
2 seguranca 1 NOUN nsubj
3 que 4 PRON nsubj
4 ateou 2 VERB acl:relcl
5 fogo 4 NOUN obj
6 em 7 ADP case
7 criancas 4 NOUN nmod
8 de 9 ADP case
9 creche 7 NOUN nmod
10 em 11 ADP case
11 janauba 4 NOUN nmod
12 mg 11 NOUN flat
13 quatro 14 NUM nummod
14 criancas 15 NOUN nsubj
15 morreram 1 VERB parataxis
16 cerca 18 ADV advmod
17 de 16 ADP case
18 40 19 NUM nummod
19 pessoas 21 NOUN nsubj:pass
20 foram 21 AUX aux:pass
21 levadas 1 VERB parataxis
22 para 24 ADP case
23 o 24 DET det
24 hospital 21 NOUN nmod
25 local 24 ADJ amod
26 25 21 NUM nsubj:pass
27 delas 26 X nmod
28 seguem 21 VERB conj
29 internadas 28 ADJ xcomp
30 morreu 21 VERB conj
31 em 33 ADP case
32 o 33 DET det
33 hospital 30 NOUN nmod
34 o 35 DET det
35 vigia 30 NOUN nsubj
36 que 37 PRON nsubj
37 ateou 35 VERB acl:relcl
38 fogo 37 NOUN obj
39 em 40 ADP case
40 criancas 37 NOUN nmod
41 de 43 ADP case
42 uma 43 DET det
43 creche 40 NOUN nmod
44 em 45 ADP case
45 janauba 37 NOUN nmod
46 em 48 ADP case
47 o 48 DET det
48 norte 37 NOUN nmod
49 de 50 ADP case
50 minas 48 NOUN nmod
51 gerais 50 ADJ amod
52 nesta 53 ADP case
53 quintafeira 58 NOUN nmod
54 5 53 NUM nmod
55 a 56 DET det
56 informacao 58 NOUN nsubj:pass
57 foi 58 AUX aux:pass
58 confirmada 1 VERB parataxis
59 por 61 ADP case
60 a 61 DET det
61 assessoria 58 NOUN nmod
62 de 64 ADP case
63 a 64 DET det
64 unidade 61 NOUN nmod
65 as 66 DET det
66 14h50 58 NUM nsubj:pass
67 damiao 76 NOUN nsubj
68 soares 67 PROPN flat
69 de 71 ADP case
70 os 71 DET det
71 santos 67 NOUN nmod
72 de 74 ADP case
73 50 74 NUM nummod
74 anos 152 NOUN nmod
75 era 76 AUX cop
76 funcionario 1 NOUN parataxis
77 efetivo 76 ADJ amod
78 de 80 ADP case
79 a 80 DET det
80 prefeitura 76 NOUN nmod
81 desde 82 ADP case
82 2008 76 NUM nmod
83 segundo 85 ADP case
84 a 85 DET det
85 policia 255 NOUN nmod
86 militar 85 ADJ amod
87 ele 88 PRON nsubj
88 jogou 76 VERB acl:relcl
89 alcool 88 NOUN obj
90 em 92 ADP case
91 as 92 DET det
92 criancas 88 NOUN nmod
93 e 94 CCONJ cc
94 nele 92 X conj
95 mesmo 94 ADV advmod
96 e 283 CCONJ cc
97 em 98 ADP case
98 seguida 99 NOUN nmod
99 ateou 283 VERB conj
100 fogo 99 NOUN obj
101 quatro 102 NUM nummod
102 criancas 99 NOUN nsubj
103 de 105 ADP case
104 4 105 NUM nummod
105 anos 102 NOUN nmod
106 morreram 180 VERB acl:relcl
107 em 109 ADP case
108 o 109 DET det
109 local 106 NOUN nmod
110 veja 283 VERB parataxis
111 quem 283 PRON nsubj:pass
112 sao 111 AUX cop
113 as 114 DET det
114 vitimas 111 NOUN nsubj
115 a 116 DET det
116 prefeitura 30 NOUN nsubj
117 informou 110 VERB ccomp
118 que 120 CCONJ mark
119 damiao 120 NOUN nsubj
120 pediu 117 VERB ccomp
121 afastamento 120 NOUN obj
122 em 124 ADP case
123 o 124 DET det
124 mes 120 NOUN nmod
125 de 126 ADP case
126 setembro 124 PROPN nmod
127 alegando 120 VERB acl
128 problema 127 NOUN obj
129 de 130 ADP case
130 saude 128 NOUN nmod
131 nesta 132 ADP case
132 quinta 37 PROPN nmod
133 ele 217 PRON nsubj
134 foi 217 AUX cop
135 a 136 DET det
136 creche 137 NOUN nsubj
137 entregar 37 VERB parataxis
138 o 139 DET det
139 atestado 137 NOUN obj
140 medico 139 ADJ amod
141 e 142 CCONJ cc
142 cometeu 137 VERB conj
143 o 144 DET det
144 crime 142 NOUN obj
145 a 146 DET det
146 prefeitura 142 NOUN nsubj
147 nao 148 ADV advmod
148 esclareceu 142 VERB conj
149 qual 148 PRON ccomp
150 era 149 AUX cop
151 o 152 DET det
152 problema 149 NOUN nsubj
153 de 154 ADP case
154 saude 152 NOUN nmod
155 informado 152 VERB acl
156 por 158 ADP case
157 o 158 DET det
158 funcionario 155 NOUN nmod
159 o 160 DET det
160 caso 255 NOUN nsubj
161 esta 163 AUX aux
162 sendo 163 AUX aux:pass
163 investigado 76 VERB acl:relcl
164 por 166 ADP case
165 a 166 DET det
166 policia 163 NOUN nmod
167 civil 166 ADJ amod
168 segundo 170 ADP case
169 o 170 DET det
170 instituto 283 NOUN nmod
171 medicolegal 170 ADJ amod
172 de 174 ADP case
173 a 174 DET det
174 cidade 170 NOUN nmod
175 morreram 21 VERB advcl
176 em 178 ADP case
177 o 178 DET det
178 ataque 175 NOUN nmod
179 segundo 180 ADP case
180 balanco 175 NOUN nmod
181 de 183 ADP case
182 o 183 DET det
183 corpo 180 NOUN nmod
184 de 185 ADP case
185 bombeiros 183 NOUN nmod
186 divulgado 180 VERB acl
187 em 189 ADP case
188 a 189 DET det
189 noite 186 NOUN nmod
190 desta 191 ADP case
191 quinta 189 PROPN nmod
192 a 194 ADP case
193 o 194 DET det
194 menos 195 ADV advmod
195 26 196 NUM nummod
196 pessoas 197 NOUN nsubj
197 permanecem 30 VERB parataxis
198 internadas 197 ADJ xcomp
199 entre 200 ADP case
200 hospitais 120 NOUN nmod
201 de 202 ADP case
202 janauba 200 PROPN nmod
203 montes 200 NOUN appos
204 claros 203 ADJ amod
205 e 213 CCONJ cc
206 belo 207 ADJ amod
207 horizonte 203 ADJ conj
208 sendo 197 VERB acl
209 tres 210 NUM nummod
210 adultos 217 NOUN nsubj
211 e 213 CCONJ cc
212 23 213 NUM nummod
213 criancas 210 NOUN conj
214 todos 216 DET det
215 os 216 DET det
216 adultos 217 NOUN nsubj
217 estao 197 VERB conj
218 em 220 ADP case
219 o 220 DET det
220 hospital 217 NOUN nmod
221 regional 220 ADJ amod
222 de 223 ADP case
223 janauba 220 NOUN nmod
224 a 226 ADP case
225 o 226 DET det
226 menos 227 ADV advmod
227 10 228 NUM nummod
228 criancas 217 NOUN nsubj
229 estao 197 VERB conj
230 internadas 229 ADJ xcomp
231 em 233 ADP case
232 o 233 DET det
233 hospital 230 NOUN nmod
234 santa 235 ADJ amod
235 casa 233 NOUN appos
236 de 237 ADP case
237 montes 235 NOUN nmod
238 claros 237 ADJ amod
239 elas 240 PRON nsubj
240 apresentaram 229 VERB conj
241 queimaduras 240 NOUN obj
242 por 244 ADP case
243 o 244 DET det
244 corpo 241 NOUN nmod
245 e 246 CCONJ cc
246 vias 244 NOUN conj
247 aereas 246 ADJ amod
248 uma 255 PRON nsubj
249 de 251 ADP case
250 as 251 DET det
251 vitimas 248 NOUN nmod
252 de 254 ADP case
253 cinco 254 NUM nummod
254 anos 251 NOUN nmod
255 teve 76 VERB conj
256 45 255 NUM obj
257 de 259 ADP case
258 o 259 DET det
259 corpo 256 NOUN nmod
260 queimado 255 ADJ xcomp
261 outros 263 DET det
262 seis 263 NUM nummod
263 alunos 283 NOUN nsubj:pass
264 de 266 ADP case
265 a 266 DET det
266 creche 263 NOUN nmod
267 devem 283 AUX aux
268 chegar 255 VERB parataxis
269 em 271 ADP case
270 belo 271 ADJ amod
271 horizonte 268 NOUN nmod
272 ainda 274 ADV advmod
273 nesta 274 ADP case
274 quintafeira 283 NOUN nmod
275 os 276 DET det
276 nomes 283 NOUN nsubj:pass
277 de 279 ADP case
278 os 279 DET det
279 feridos 276 NOUN nmod
280 ainda 283 ADV advmod
281 nao 283 ADV advmod
282 foram 283 AUX aux:pass
283 divulgados 255 VERB conj
