1 leitora leitor 3 NOUN nsubj
2 se se 3 PRON expl:pv
3 queixa queixar 0 VERB root
4 de de 6 ADP case
5 mau mau 6 ADJ amod
6 sinal sinal 3 NOUN nmod
7 de de 8 ADP case
8 internet internet 6 PROPN nmod
9 vivo vivo 6 ADJ amod
10 entrou entrar 3 VERB parataxis
11 em em 12 ADP case
12 contato contato 10 NOUN nmod
13 com com 15 ADP case
14 a o 15 DET det
15 consumidora consumidor 12 NOUN nmod
16 para para 17 ADP mark
17 esclarecer esclarecer 10 VERB advcl
18 a o 19 DET det
19 situacao situacao 17 NOUN obj
20 elisabeth elisabeth 22 PROPN nsubj
21 rodrigues rodrigues 20 NOUN flat
22 ligou ligar 3 VERB parataxis
23 para para 25 ADP case
24 a o 25 DET det
25 vivo vivo 22 NOUN nmod
26 para para 27 ADP mark
27 reclamar reclamar 22 VERB advcl
28 de de 30 ADP case
29 o o 30 DET det
30 sinal sinal 27 NOUN nmod
31 de de 33 ADP case
32 a o 33 DET det
33 internet internet 30 PROPN nmod
34 ela ela 35 PRON nsubj
35 ressalta ressaltar 3 VERB parataxis
36 que que 47 CCONJ mark
37 o o 38 DET det
38 plano plano 47 NOUN nsubj
39 e e 41 CCONJ cc
40 o o 41 DET det
41 speed speed 38 NOUN conj
42 em em 43 ADP case
43 contato contato 41 NOUN nmod
44 com com 46 ADP case
45 o o 46 DET det
46 atendente atendente 43 NOUN nmod
47 soube saber 35 VERB ccomp
48 que que 50 CCONJ mark
49 nao nao 50 ADV advmod
50 seria seria 47 VERB ccomp
51 possivel possivel 50 ADJ xcomp
52 aumentar aumentar 50 VERB csubj
53 a o 54 DET det
54 velocidade velocidade 52 NOUN obj
55 de de 57 ADP case
56 sua sua 57 DET det:poss
57 internet internet 54 PROPN nmod
58 a o 59 DET det
59 empresa empresa 60 NOUN nsubj
60 orientou orientar 47 VERB ccomp
61 que que 62 CCONJ mark
62 contratasse contratar 60 VERB ccomp
63 a o 64 DET det
64 vivo vivo 62 NOUN obj
65 fibra fibra 64 NOUN flat
66 em em 68 ADP case
67 o o 68 DET det
68 entanto entanto 71 ADV nmod
69 a o 70 DET det
70 cliente cliente 71 NOUN nsubj
71 reclama reclamar 47 VERB conj
72 que que 74 CCONJ mark
73 nao nao 74 ADV advmod
