1 repercussao repercussao 13 NOUN nsubj
2 de de 4 ADP case
3 a o 4 DET det
4 carne carne 1 NOUN nmod
5 fraca fraco 4 ADJ amod
6 em em 8 ADP case
7 as o 8 DET det
8 financas financas 1 NOUN nmod
9 de de 11 ADP case
10 a o 11 DET det
11 brf brf 8 NOUN nmod
12 nao nao 13 ADV advmod
13 preocupa preocupar 0 VERB root
14 diz dizer 13 VERB xcomp
15 presidente presidente 23 NOUN nsubj
16 de de 18 ADP case
17 a o 18 DET det
18 empresa empresa 15 NOUN nmod
19 frigorificos frigorifico 18 ADJ amod
20 de de 22 ADP case
21 a o 22 DET det
22 brf brf 15 NOUN nmod
23 estao estao 13 VERB ccomp
24 em em 26 ADP case
25 o o 26 DET det
26 centro centro 23 NOUN nmod
27 de de 30 ADP case
28 a o 30 DET det
29 nova novo 30 ADJ amod
30 fase fase 26 NOUN nmod
31 de de 33 ADP case
32 a o 33 DET det
33 operacao operacao 30 NOUN nmod
34 carne carne 33 NOUN appos
35 fraca fraco 33 ADJ amod
36 que que 37 PRON nsubj
37 investiga investigar 33 VERB acl:relcl
38 fraudes fraude 37 NOUN obj
39 em em 40 ADP case
40 laudos laudo 38 NOUN nmod
41 em em 44 ADP case
42 a o 44 DET det
43 segunda segundo 44 ADJ amod
44 empresa empresa 37 NOUN nmod
45 perdeu perder 37 VERB parataxis
46 r r 45 NOUN obj
47 5 5 48 NUM nummod
48 bilhoes bilhoes 46 NUM nummod
49 em em 50 ADP case
50 valor valor 45 NOUN nmod
51 de de 52 ADP case
52 mercado mercado 50 NOUN nmod
53 o o 54 DET det
54 presidente presidente 45 NOUN nsubj
55 global global 54 ADJ amod
56 de de 58 ADP case
57 a o 58 DET det
58 brf brf 54 NOUN nmod
59 jose jose 54 NOUN appos
60 drummond drummond 59 NOUN flat
61 afirmou afirmar 13 VERB parataxis
62 nesta nesta 63 ADP case
63 tercafeira tercafeira 61 NOUN nmod
64 6 6 63 NUM appos
65 que que 67 CCONJ mark
66 nao nao 67 ADV advmod
67 esta esta 61 VERB ccomp
68 preocupado preocupado 67 ADJ xcomp
69 com com 71 ADP case
70 os o 71 DET det
71 reflexos reflexo 68 NOUN nmod
72 de de 75 ADP case
73 a o 75 DET det
74 nova novo 75 ADJ amod
75 fase fase 71 NOUN nmod
76 de de 78 ADP case
77 a o 78 DET det
78 operacao operacao 75 NOUN nmod
79 carne carne 78 NOUN flat
80 fraca fraco 79 ADJ amod
81 em em 83 ADP case
82 as o 83 DET det
83 financas financas 75 NOUN nmod
84 de de 86 ADP case
85 a o 86 DET det
86 empresa empresa 83 NOUN nmod
87 que que 88 PRON nsubj
88 esta esta 83 VERB acl:relcl
89 em em 91 ADP case
90 o o 91 DET det
91 centro centro 88 NOUN nmod
92 de de 94 ADP case
93 as o 94 DET det
94 investigacoes investigacoe 91 NOUN nmod
95 conduzidas conduzir 94 VERB acl
96 por por 98 ADP case
97 a o 98 DET det
98 policia policia 95 NOUN nmod
99 federal federal 98 ADJ amod
100 em em 103 ADP case
101 a o 103 DET det
102 segunda segundo 103 ADJ amod
103 5 5 95 NUM nmod
104 apos apos 106 ADP case
105 a o 106 DET det
106 deflagracao deflagracao 88 NOUN nmod
107 de de 110 ADP case
108 a o 110 DET det
109 nova novo 110 ADJ amod
110 fase fase 106 NOUN nmod
111 de de 113 ADP case
112 a o 113 DET det
113 carne carne 110 NOUN nmod
114 fraca fraco 113 ADJ amod
115 a a 106 ADP case
