1 sp sp 26 PART advmod
2 e e 5 CCONJ cc
3 outras outras 5 DET det
4 10 10 5 NUM nummod
5 cidades cidade 26 NOUN conj
6 de de 8 ADP case
7 o o 8 DET det
8 mundo mundo 5 NOUN nmod
9 que que 11 PRON nsubj
10 podem podem 11 AUX aux
11 ficar ficar 5 VERB acl:relcl
12 sem sem 13 ADP case
13 agua agua 11 NOUN nmod
14 como como 16 ADP case
15 a o 16 DET det
16 cidade cidade 11 NOUN nmod
17 de de 19 ADP case
18 o o 19 DET det
19 cabo cabo 16 NOUN nmod
20 torneiras torneiras 11 NOUN nsubj
21 de de 23 ADP case
22 a o 23 DET det
23 cidade cidade 20 NOUN nmod
24 sulafricana sulafricano 23 ADJ amod
25 devem devem 26 AUX aux
26 secar secar 0 VERB root
27 em em 28 ADP case
28 maio maio 26 PROPN nmod
29 por por 34 ADP case
30 causa causa 29 NOUN fixed
31 de de 29 ADP fixed
32 uma um 34 DET det
33 grave grave 34 ADJ amod
34 seca seca 26 NOUN nmod
35 uma uma 42 NUM nsubj
36 em em 40 ADP case
37 cada cada 40 DET det
38 quatro quatro 40 NUM nummod
39 grandes grande 40 ADJ amod
40 cidades cidade 35 NOUN nmod
41 podera podera 42 AUX aux
42 ter ter 26 VERB parataxis
43 problemas problema 42 NOUN obj
44 hidricos hidrico 43 ADJ amod
45 em em 47 ADP case
46 o o 47 DET det
47 futuro futuro 42 NOUN nmod
48 a o 49 DET det
49 cidade cidade 42 NOUN nsubj
50 de de 52 ADP case
51 o o 52 DET det
52 cabo cabo 49 NOUN nmod
53 enfrenta enfrentar 26 VERB parataxis
54 uma um 55 DET det
55 situacao situacao 53 NOUN obj
56 nada nada 57 ADV advmod
57 invejavel invejavel 55 ADJ amod
58 como como 62 ADP case
59 a o 62 DET det
60 primeira primeiro 62 ADJ amod
61 grande grande 62 ADJ amod
62 cidade cidade 55 NOUN nmod
63 de de 65 ADP case
64 a o 65 DET det
65 era era 62 NOUN nmod
66 moderna moderno 65 ADJ amod
67 a a 68 ADP mark
68 ficar ficar 208 VERB nmod
69 sem sem 70 ADP case
70 agua agua 68 NOUN nmod
71 potavel potavel 70 ADJ amod
72 em em 74 ADP case
73 o o 74 DET det
74 entanto entanto 53 ADV nmod
75 esse esse 53 PRON nsubj
76 e e 79 CCONJ cc
77 apenas apenas 78 ADV advmod
78 um um 79 NUM nummod
79 exemplo exemplo 53 NOUN conj
80 extremo extremo 79 ADJ amod
81 de de 83 ADP case
82 um um 83 DET det
83 problema problema 79 NOUN nmod
84 sobre sobre 86 ADP case
85 o o 86 DET det
86 qual qual 89 PRON nmod
87 especialistas especialista 89 NOUN nsubj
88 vem vir 89 AUX aux
89 alertando alertar 83 VERB acl:relcl
90 ha ha 89 VERB advcl
91 muito muito 92 DET det
92 tempo tempo 90 NOUN nmod
93 a o 94 DET det
94 escassez escassez 258 NOUN obj
95 de de 96 ADP case
96 agua agua 94 NOUN nmod
97 apesar apesar 99 ADV mark
98 de de 97 ADP fixed
99 cobrir cobrir 318 VERB advcl
100 70 70 99 NUM obj
101 de de 103 ADP case
102 a o 103 DET det
103 superficie superficie 100 NOUN nmod
104 de de 106 ADP case
105 o o 106 DET det
106 planeta planeta 103 NOUN nmod
107 a o 108 DET det
108 agua agua 247 NOUN nsubj
109 doce doce 108 ADJ amod
110 especialmente especialmente 303 ADV advmod
111 a o 112 DET det
112 potavel potavel 258 NOUN nsubj
113 nao nao 114 ADV advmod
114 e e 160 VERB ccomp
115 tao tao 116 ADV advmod
116 abundante abundante 114 ADJ xcomp
117 assim assim 118 ADV advmod
118 responde responder 53 VERB conj
119 por por 121 ADP case
120 so so 121 ADV advmod
121 3 3 208 NUM nmod
122 mais mais 125 ADV advmod
123 de de 122 ADP case
124 1 1 125 NUM nummod
125 bilhao bilhao 127 NUM nummod
126 de de 127 ADP case
127 pessoas pessoa 208 NOUN nsubj
128 enfrentam enfrentar 233 VERB csubj
129 problemas problema 208 NOUN obj
130 de de 131 ADP case
131 acesso acesso 129 NOUN nmod
132 a a 133 ADP case
133 ela ela 131 PRON nmod
134 e e 285 CCONJ cc
135 para para 137 ADP case
136 27 27 137 NUM nummod
137 bilhoes bilhoes 262 NOUN nmod
138 ela ela 139 PRON nsubj
139 falta faltar 89 VERB conj
140 a a 142 ADP case
141 o o 142 DET det
142 menos menos 143 ADV advmod
143 um um 144 NUM nummod
144 mes me 139 NOUN nmod
145 por por 146 ADP case
146 ano ano 262 NOUN nmod
147 uma um 148 DET det
148 pesquisa pesquisa 285 NOUN nsubj
149 com com 153 ADP case
150 as o 153 DET det
151 500 500 153 NUM nummod
152 maiores maior 153 ADJ amod
153 cidades cidade 148 NOUN nmod
154 de de 156 ADP case
155 o o 156 DET det
156 mundo mundo 153 NOUN nmod
157 publicada publicar 276 VERB acl
158 em em 159 ADP case
159 2014 2014 157 NUM nmod
160 estima estimar 26 VERB parataxis
161 que que 166 CCONJ mark
162 uma uma 285 NUM nsubj
163 em em 165 ADP case
164 cada cada 165 DET det
165 quatro quatro 162 NUM nmod
166 estao estao 160 VERB ccomp
167 em em 169 ADP case
168 uma um 169 DET det
169 situacao situacao 166 NOUN nmod
170 de de 171 ADP case
171 estresse estresse 169 NOUN nmod
172 hidrico hidrico 171 ADJ amod
173 como como 174 CCONJ mark
174 define definir 26 VERB advcl
175 a o 176 DET det
176 organizacao organizacao 174 NOUN nsubj
177 de de 179 ADP case
178 as o 179 DET det
179 nacoes nacoe 176 NOUN nmod
180 unidas unido 179 ADJ amod
181 onu onu 176 NOUN appos
182 quando quando 186 CCONJ mark
183 o o 184 DET det
184 abastecimento abastecimento 303 NOUN nsubj
185 anual anual 184 ADJ amod
186 cai cair 160 VERB advcl
187 abaixo abaixo 190 ADV advmod
188 de de 187 ADP case
189 17 17 190 NUM nummod
190 mil mil 191 NUM nummod
191 m m 186 NOUN nmod
192 por por 193 ADP case
193 pessoa pessoa 191 NOUN nmod
194 de de 195 ADP case
195 acordo acordo 53 NOUN nmod
196 com com 197 ADP case
197 projecoes projecoe 195 NOUN nmod
198 chanceladas chancelar 197 VERB acl
199 por por 201 ADP case
200 a o 201 DET det
201 onu onu 198 NOUN nmod
202 a o 203 DET det
203 demanda demanda 208 NOUN nsubj
204 por por 205 ADP case
205 agua agua 203 NOUN nmod
206 doce doce 205 ADJ amod
207 vai ir 208 AUX aux
208 superar superar 160 VERB ccomp
209 o o 210 DET det
210 abastecimento abastecimento 208 NOUN obj
211 em em 212 ADP case
212 40 40 208 NUM nmod
213 em em 214 ADP case
214 2030 2030 208 NUM nmod
215 gracas gracas 55 ADV case
216 a a 215 ADP fixed
217 uma um 218 DET det
218 combinacao combinacao 215 NOUN nmod
219 entre entre 221 ADP case
220 as o 221 DET det
221 mudancas mudanca 218 NOUN nmod
222 climaticas climatico 221 ADJ amod
223 a o 224 DET det
224 acao acao 247 NOUN nsubj
225 humana humano 224 ADJ amod
226 e e 228 CCONJ cc
227 o o 228 DET det
228 crescimento crescimento 224 NOUN conj
229 populacional populacional 228 ADJ amod
230 nao nao 233 ADV advmod
