1 para para 2 ADP case
2 marun marun 7 NOUN nmod
3 decisao decisao 7 NOUN nsubj
4 de de 6 ADP case
5 o o 6 DET det
6 trf4 trf4 3 NOUN nmod
7 reforca reforcar 42 VERB ccomp
8 que que 13 CCONJ mark
9 lula lula 13 NOUN nsubj
10 nao nao 13 ADV advmod
11 pode pode 13 AUX aux
12 ser ser 13 AUX cop
13 candidato candidato 7 NOUN ccomp
14 ministro ministro 13 NOUN nsubj
15 de de 17 ADP case
16 a o 17 DET det
17 secretaria secretaria 14 NOUN nmod
18 de de 19 ADP case
19 governo governo 17 NOUN nmod
20 reforca reforcar 7 VERB parataxis
21 que que 26 CCONJ mark
22 expresidente expresidente 26 NOUN nsubj
23 nao nao 26 ADV advmod
24 pode pode 26 AUX aux
25 ser ser 26 AUX cop
26 candidato candidato 20 NOUN ccomp
27 em em 29 ADP case
28 as o 29 DET det
29 eleicoes eleicoe 26 NOUN nmod
30 de de 31 ADP case
31 outubro outubro 29 PROPN nmod
32 brasilia brasilia 26 NOUN parataxis
33 o o 34 DET det
34 ministro ministro 42 NOUN nsubj
35 de de 37 ADP case
36 a o 37 DET det
37 secretaria secretaria 34 NOUN nmod
38 de de 39 ADP case
39 governo governo 37 NOUN nmod
40 carlos carlo 34 ADJ appos
41 marun marun 40 NOUN flat
42 afirmou afirmar 0 VERB root
43 nesta nesta 44 ADP case
44 segundafeira segundafeira 42 NOUN nmod
45 26 26 44 NUM appos
46 que que 73 CCONJ mark
47 a o 48 DET det
48 decisao decisao 73 NOUN nsubj
49 de de 51 ADP case
50 o o 51 DET det
51 tribunal tribunal 48 NOUN nmod
52 regional regional 51 ADJ amod
53 federal federal 51 ADJ amod
54 de de 57 ADP case
55 a o 57 DET det
56 4 4 57 NUM nummod
57 regiao regiao 51 NOUN nmod
58 de de 59 ADP mark
59 rejeitar rejeitar 48 VERB nmod
60 os o 61 DET det
61 embargos embargo 59 NOUN obj
62 de de 63 ADP case
63 declaracao declaracao 61 NOUN nmod
64 de de 66 ADP case
65 o o 66 DET det
66 expresidente expresidente 61 NOUN nmod
67 luiz luiz 66 NOUN appos
68 inacio inacio 67 NOUN flat
69 lula lula 67 PROPN flat
70 de de 72 ADP case
71 a o 72 DET det
72 silva silva 67 NOUN nmod
73 reforcam reforcar 42 VERB ccomp
74 que que 80 CCONJ mark
75 o o 76 DET det
76 expresidente expresidente 80 NOUN nsubj
77 nao nao 80 ADV advmod
78 pode pode 80 AUX aux
79 ser ser 80 AUX cop
80 candidato candidato 73 NOUN ccomp
81 em em 83 ADP case
82 as o 83 DET det
83 eleicoes eleicoe 80 NOUN nmod
84 de de 85 ADP case
85 outubro outubro 83 PROPN nmod
86 lula lula 80 PROPN nsubj
87 nao nao 90 ADV advmod
88 pode pode 90 AUX aux
89 ser ser 90 AUX cop
90 candidato candidato 73 NOUN ccomp
91 e e 155 CCONJ cc
92 essa essa 93 DET det
93 decisao decisao 155 NOUN nsubj
94 de de 95 ADP mark
95 hoje hoje 93 ADV nmod
96 somente somente 97 ADV advmod
97 corrobora corroborar 155 VERB conj
98 esse esse 99 DET det
99 entendimento entendimento 97 NOUN obj
100 disse dizer 42 VERB parataxis
101 decisao decisao 155 NOUN nsubj
102 de de 104 ADP case
103 o o 104 DET det
104 trf4 trf4 101 NOUN nmod
105 torna tornar 101 VERB acl:relcl
106 lula lula 105 NOUN obj
107 fichasuja fichasujo 106 ADJ amod
108 mas mas 109 CCONJ cc
109 cabe caber 105 VERB conj
110 a a 111 ADP case
111 tse tse 109 PRON iobj
112 negar negar 109 VERB xcomp
113 candidatura candidatura 112 NOUN obj
114 marun marun 113 PROPN appos
115 afirmou afirmar 42 VERB ccomp
116 que que 120 CCONJ mark
117 o o 118 DET det
118 pt pt 120 PROPN nsubj
119 deveria dever 120 AUX aux
120 rever rever 115 VERB ccomp
121 a o 122 DET det
122 forma forma 120 NOUN obj
123 como como 125 ADV advmod
124 esta esta 125 AUX aux
125 atuando atuar 122 VERB acl:relcl
126 como como 130 CCONJ mark
127 se se 126 CCONJ fixed
128 nada nada 130 PRON nsubj
129 tivesse ter 130 AUX aux
130 acontecido acontecer 120 VERB advcl
131 e e 132 CCONJ cc
132 disse dizer 42 VERB conj
133 que que 80 CCONJ mark
134 a o 135 DET det
135 elevacao elevacao 73 NOUN nsubj
136 de de 138 ADP case
137 a o 138 DET det
138 temperatura temperatura 135 NOUN nmod
139 sobre sobre 142 ADP case
140 a o 142 DET det
141 impossivel impossivel 142 ADJ amod
142 candidatura candidatura 135 NOUN nmod
143 de de 144 ADP case
144 lula lula 142 NOUN nmod
145 e e 146 CCONJ cc
146 preocupante preocupante 135 ADJ conj
147 a a 148 ADP case
148 lei lei 146 NOUN nmod
149 e e 155 CCONJ cc
150 clara claro 155 ADJ amod
151 ele ele 155 PRON nsubj
152 nao nao 155 ADV advmod
153 pode pode 155 AUX aux
154 ser ser 155 AUX cop
155 candidato candidato 73 NOUN conj
156 em em 148 ADP case
157 as o 148 DET det
