1 pf pf 2 NOUN nsubj
2 investigara investigar 0 VERB root
3 atos ato 2 NOUN obj
4 de de 5 ADP case
5 hostilidade hostilidade 3 NOUN nmod
6 contra contra 7 ADP case
7 ministro ministro 3 NOUN nmod
8 gilmar gilmar 7 NOUN appos
9 mendes mendes 7 NOUN flat
10 gilmar gilmar 7 NOUN appos
11 mendes mendes 10 NOUN amod
12 foi foi 13 AUX aux:pass
13 xingado xingar 2 VERB conj
14 em em 16 ADP case
15 um um 16 DET det
16 voo voo 13 NOUN nmod
17 em em 19 ADP case
18 o o 19 DET det
19 fim fim 13 NOUN nmod
20 de de 21 ADP case
21 semana semana 19 NOUN nmod
22 ministro ministro 24 NOUN nsubj
23 tambem tambem 24 ADV advmod
24 pediu pedir 2 VERB conj
25 investigacao investigacao 24 NOUN obj
26 sobre sobre 27 ADP case
27 mensagem mensagem 25 NOUN nmod
28 em em 29 ADP case
29 redes rede 27 NOUN nmod
30 sociais social 29 ADJ amod
31 que que 33 PRON nsubj
32 teria ter 33 AUX aux
33 instigado instigar 27 VERB acl:relcl
34 atos ato 33 NOUN obj
35 contra contra 37 ADP case
36 a o 37 DET det
37 honra honra 34 NOUN nmod
38 e e 40 CCONJ cc
39 a o 40 DET det
40 integridade integridade 37 NOUN conj
41 fisica fisico 40 ADJ amod
42 dele dele 62 X det:poss
43 a o 44 DET det
44 policia policia 46 NOUN nsubj
45 federal federal 44 ADJ amod
46 abriu abrir 24 VERB conj
47 um um 48 DET det
48 procedimento procedimento 46 NOUN obj
49 para para 50 ADP mark
50 investigar investigar 46 VERB advcl
51 atos ato 50 NOUN obj
52 de de 53 ADP case
53 hostilidade hostilidade 51 NOUN nmod
54 contra contra 56 ADP case
55 o o 56 DET det
56 ministro ministro 51 NOUN nmod
57 gilmar gilmar 56 NOUN appos
58 mendes mendes 57 ADJ amod
59 de de 62 ADP case
60 o o 62 DET det
61 supremo supremo 62 ADJ amod
62 tribunal tribunal 37 NOUN nmod
63 federal federal 62 ADJ amod
64 stf stf 62 NOUN appos
65 em em 68 ADP case
66 o o 68 DET det
67 ultimo ultimo 68 ADJ amod
68 sabado sabado 46 PROPN nmod
69 ele ele 71 PRON nsubj:pass
70 foi foi 71 AUX aux:pass
71 xingado xingar 2 VERB parataxis
72 em em 74 ADP case
73 um um 74 DET det
74 voo voo 71 NOUN nmod
75 de de 76 ADP case
76 acordo acordo 74 NOUN nmod
77 com com 79 ADP case
78 a o 79 DET det
79 representacao representacao 76 NOUN nmod
80 em em 82 ADP case
81 outro outro 82 DET det
82 caso caso 71 NOUN nmod
83 uma um 84 DET det
84 mensagem mensagem 71 NOUN nsubj:pass
85 que que 86 PRON nsubj
86 circulou circular 84 VERB acl:relcl
87 em em 88 ADP case
88 redes rede 86 NOUN nmod
89 sociais social 88 ADJ amod
90 instigou instigar 84 VERB acl:relcl
91 a o 92 DET det
92 pratica pratica 71 NOUN nsubj:pass
93 de de 94 ADP case
94 atos ato 92 NOUN nmod
95 contra contra 97 ADP case
96 a o 97 DET det
97 honra honra 94 NOUN nmod
98 o o 99 DET det
99 patrimonio patrimonio 106 NOUN nsubj
100 e e 102 CCONJ cc
101 a o 102 DET det
102 integridade integridade 99 NOUN conj
103 fisica fisico 102 ADJ amod
104 gilmar gilmar 116 NOUN nsubj:pass
105 mendes mendes 104 NOUN flat
106 pediu pedir 71 VERB parataxis
107 para para 108 ADP mark
108 investigar investigar 106 VERB nmod
109 o o 110 DET det
110 autor autor 108 NOUN obj
111 dessa dessa 112 ADP case
112 mensagem mensagem 110 NOUN nmod
113 a o 114 DET det
114 apuracao apuracao 116 NOUN nsubj:pass
115 sera sera 116 AUX aux:pass
116 conduzida conduzir 71 VERB parataxis
117 por por 119 ADP case
118 a o 119 DET det
119 policia policia 116 NOUN nmod
120 federal federal 119 ADJ amod
121 em em 122 ADP case
122 sao sao 116 NOUN nmod
123 paulo paulo 122 NOUN flat
124 nesta nesta 125 ADP case
125 quintafeira quintafeira 116 PROPN nmod
126 1 1 125 NUM appos
127 gilmar gilmar 130 NOUN nsubj
128 mendes mendes 127 NOUN flat
129 se se 130 PRON obj
130 despediu despedir 71 VERB conj
131 de de 133 ADP case
132 a o 133 DET det
133 presidencia presidencia 130 NOUN nmod
134 de de 136 ADP case
135 o o 136 DET det
136 tribunal tribunal 133 NOUN nmod
137 superior superior 136 ADJ amod
138 eleitoral eleitoral 136 ADJ amod
139 tse tse 145 NOUN obj
140 em em 143 ADP case
141 a o 143 DET det
142 proxima proximo 143 ADJ amod
143 tercafeira tercafeira 145 NOUN nmod
144 6 6 143 NUM appos
145 assumira assumirir 71 VERB parataxis
146 a o 147 DET det
147 presidencia presidencia 145 NOUN obj
148 de de 150 ADP case
149 o o 150 DET det
150 tse tse 147 NOUN nmod
151 o o 152 DET det
152 ministro ministro 145 NOUN obj
