1 morre morrer 0 VERB root
2 a a 5 ADP case
3 os o 5 DET det
4 76 76 5 NUM nummod
5 anos ano 1 NOUN nmod
6 em em 7 ADP case
7 sao sao 1 PROPN nmod
8 paulo paulo 7 NOUN flat
9 marco marco 1 NOUN nsubj
10 aurelio aurelio 9 NOUN flat
11 garcia garcia 9 NOUN flat
12 exassessor exassessor 9 NOUN appos
13 de de 14 ADP case
14 lula lula 12 NOUN nmod
15 e e 16 CCONJ cc
16 dilma dilma 14 NOUN conj
17 assessor assessor 9 NOUN appos
18 especial especial 17 ADJ amod
19 para para 20 ADP case
20 assuntos assunto 17 NOUN nmod
21 internacionais internacional 20 ADJ amod
22 de de 24 ADP case
23 os o 24 DET det
24 governos governo 20 NOUN nmod
25 luiz luiz 24 NOUN appos
26 inacio inacio 25 ADJ amod
27 lula lula 25 NOUN flat
28 de de 30 ADP case
29 a o 30 DET det
30 silva silva 25 NOUN nmod
31 e e 32 CCONJ cc
32 dilma dilma 25 NOUN conj
33 rousseff rousseff 32 NOUN flat
34 sofreu sofrer 1 VERB conj
35 infarto infarto 34 NOUN obj
36 nesta nesta 37 ADP case
37 quintafeira quintafeira 34 NOUN nmod
38 em em 39 ADP case
39 sao sao 34 NOUN nmod
40 paulo paulo 39 NOUN flat
41 o o 42 DET det
42 assessor assessor 34 NOUN nsubj
43 especial especial 42 ADJ amod
44 para para 45 ADP case
45 assuntos assunto 42 NOUN nmod
46 internacionais internacional 45 ADJ amod
47 de de 49 ADP case
48 os o 49 DET det
49 governos governo 42 NOUN nmod
50 luiz luiz 49 NOUN appos
51 inacio inacio 50 NOUN flat
52 lula lula 50 PROPN flat
53 de de 55 ADP case
54 a o 55 DET det
55 silva silva 50 NOUN nmod
56 e e 57 CCONJ cc
57 dilma dilma 50 NOUN conj
58 rousseff rousseff 57 NOUN flat
59 marco marco 62 NOUN nsubj
60 aurelio aurelio 59 NOUN flat
61 garcia garcia 59 NOUN flat
62 morreu morrer 1 VERB conj
63 a a 66 ADP case
64 os o 66 DET det
65 76 76 66 NUM nummod
66 anos ano 62 NOUN nmod
67 nesta nesta 68 ADP case
68 quintafeira quintafeira 62 NOUN nmod
69 20 20 68 NUM appos
70 em em 71 ADP case
71 sao sao 68 NOUN nmod
72 paulo paulo 71 NOUN flat
73 vitima vitima 62 NOUN nsubj
74 de de 75 ADP case
75 infarto infarto 73 NOUN nmod
76 informou informar 1 VERB parataxis
77 o o 78 DET det
78 pt pt 83 NOUN nsubj
79 marco marco 83 NOUN nsubj
80 aurelio aurelio 79 NOUN flat
81 garcia garcia 79 NOUN flat
82 foi foi 83 AUX cop
83 um um 76 PRON parataxis
84 de de 86 ADP case
85 os o 86 DET det
86 fundadores fundador 83 NOUN nmod
87 de de 89 ADP case
88 o o 89 DET det
89 pt pt 86 NOUN nmod
90 e e 91 CCONJ cc
91 ocupou ocupar 83 VERB conj
92 a o 93 DET det
93 funcao funcao 91 NOUN obj
94 de de 95 ADP case
95 secretario secretario 93 NOUN nmod
96 de de 97 ADP case
97 relacoes relacoe 95 NOUN nmod
98 internacionais internacional 97 ADJ amod
99 de de 101 ADP case
100 o o 101 DET det
101 partido partido 95 NOUN nmod
102 era era 103 AUX cop
103 professor professor 83 NOUN parataxis
104 aposentado aposentado 103 ADJ amod
105 de de 106 ADP case
106 historia historia 103 NOUN nmod
107 de de 108 ADP case
108 universidade universidade 103 NOUN nmod
109 de de 110 ADP case
110 campinas campina 108 NOUN nmod
111 unicamp unicampr 103 VERB parataxis
112 enquanto enquanto 113 CCONJ mark
113 esteve esteve 103 VERB advcl
