1 saiba saber 0 VERB root
2 o o 1 PRON obj
3 que que 4 PRON nsubj
4 esta esta 2 VERB acl:relcl
5 em em 6 ADP case
6 jogo jogo 4 NOUN nmod
7 em em 9 ADP case
8 as o 9 DET det
9 eleicoes eleicoe 6 NOUN nmod
10 desta desta 11 ADP case
11 semana semana 9 NOUN nmod
12 em em 14 ADP case
13 a o 14 DET det
14 camara camara 9 NOUN nmod
15 e e 18 CCONJ cc
16 em em 18 ADP case
17 o o 18 DET det
18 senado senado 14 NOUN conj
19 senadores senador 18 NOUN flat
20 elegem eleger 1 VERB conj
21 presidente presidente 20 NOUN obj
22 em em 30 ADP case
23 a o 30 DET det
24 proxima proximo 25 ADJ amod
25 quarta quarta 27 ADJ amod
26 1 1 27 NUM nummod
27 deputados deputado 20 NOUN nmod
28 em em 30 ADP case
29 a o 30 DET det
30 quinta quinta 27 PROPN nmod
31 2 2 30 NUM appos
32 alem alem 20 ADV advmod
33 de de 34 ADP case
34 status status 32 NOUN nmod
35 e e 36 CCONJ cc
36 poder poder 34 NOUN conj
37 politico politico 36 ADJ amod
38 comandantes comandante 43 NOUN nsubj
39 de de 42 ADP case
40 as o 42 DET det
41 duas duas 42 NUM nummod
42 casas casa 38 NOUN nmod
43 tem ter 2 VERB acl:relcl
44 regalias regalia 43 NOUN obj
45 e e 46 CCONJ cc
46 lugar lugar 44 NOUN conj
47 em em 49 ADP case
48 a o 49 DET det
49 linha linha 46 NOUN nmod
50 sucessoria sucessoria 49 ADJ amod
51 de de 53 ADP case
52 a o 53 DET det
53 presidencia presidencia 49 NOUN nmod
54 poder poder 43 NOUN obj
55 politico politico 54 ADJ amod
56 regalias regalia 54 NOUN appos
57 e e 59 CCONJ cc
58 um um 59 DET det
59 lugar lugar 44 NOUN conj
60 em em 62 ADP case
61 a o 62 DET det
62 linha linha 59 NOUN nmod
63 de de 64 ADP case
64 sucessao sucessao 62 NOUN nmod
65 de de 67 ADP case
66 a o 67 DET det
67 presidencia presidencia 62 NOUN nmod
68 de de 70 ADP case
69 a o 70 DET det
70 republica republica 67 NOUN nmod
71 essas essas 73 PRON nsubj
72 sao sao 73 AUX cop
73 algumas algumas 1 PRON parataxis
74 de de 76 ADP case
75 as o 76 DET det
76 motivacoes motivacoe 73 NOUN nmod
77 de de 79 ADP case
78 a o 79 DET det
79 disputa disputa 76 NOUN nmod
80 que que 81 PRON nsubj
81 definira definir 79 VERB acl:relcl
82 nesta nesta 83 ADP case
83 semana semana 81 NOUN nmod
84 quem quem 85 PRON nsubj
85 comandara comandar 81 VERB ccomp
86 a o 87 DET det
87 camara camara 85 NOUN obj
88 e e 90 CCONJ cc
89 o o 90 DET det
90 senado senado 87 NOUN conj
91 por por 95 ADP case
92 os o 95 DET det
93 proximos proximo 95 ADJ amod
94 dois dois 95 NUM nummod
95 anos ano 85 NOUN nmod
96 os o 110 DET det
97 senadores senador 111 NOUN nsubj
98 escolherao escolher 111 VERB ccomp
99 o o 100 DET det
100 sucessor sucessor 98 NOUN obj
101 de de 102 ADP case
102 renan renan 100 NOUN nmod
103 calheiros calheiro 102 NOUN flat
104 pmdbal pmdbal 102 NOUN amod
105 em em 107 ADP case
106 a o 107 DET det
107 quartafeira quartafeira 100 NOUN nmod
108 1 1 107 NUM appos
109 os o 110 DET det
110 deputados deputado 111 NOUN nsubj
111 elegem eleger 73 VERB acl:relcl
112 o o 113 DET det
113 presidente presidente 111 NOUN obj
114 de de 116 ADP case
115 a o 116 DET det
116 casa casa 113 NOUN nmod
117 em em 119 ADP case
118 a o 119 DET det
119 quinta quinta 113 PROPN nmod
120 2 2 119 NUM appos
121 em em 123 ADP case
122 a o 123 DET det
123 camara camara 111 NOUN nmod
124 a o 125 DET det
125 batalha batalha 133 NOUN nsubj
126 por por 128 ADP case
127 o o 128 DET det
128 comando comando 125 NOUN nmod
129 de de 131 ADP case
130 a o 131 DET det
131 mesa mesa 128 NOUN nmod
132 diretora diretor 131 ADJ amod
133 colocou colocar 73 VERB parataxis
134 em em 135 ADP case
135 trincheiras trincheira 133 NOUN nmod
136 opostas oposto 135 ADJ amod
137 aliados aliado 133 NOUN obj
138 de de 140 ADP case
139 o o 140 DET det
140 presidente presidente 137 NOUN nmod
141 michel michel 140 ADJ appos
142 temer temer 141 NOUN flat
143 e e 144 CCONJ cc
144 ameaca ameacar 133 VERB conj
145 corroer corroer 144 VERB xcomp
146 a o 147 DET det
147 coesao coesao 145 NOUN obj
148 de de 150 ADP case
149 a o 150 DET det
150 base base 147 NOUN nmod
151 aliada aliado 150 ADJ amod
152 de de 154 ADP case
153 o o 154 DET det
154 palacio palacio 150 NOUN nmod
155 de de 157 ADP case
156 o o 157 DET det
157 planalto planalto 154 NOUN nmod
158 atual atual 159 ADJ amod
159 presidente presidente 154 NOUN appos
