1 morre morrer 0 VERB root
2 o o 3 DET det
3 jornalista jornalista 1 NOUN nsubj
4 eliakim eliakim 3 NOUN appos
5 araujo araujo 4 NOUN flat
6 a a 9 ADP case
7 os o 9 DET det
8 75 75 9 NUM nummod
9 anos ano 3 NOUN nmod
10 vitima vitima 3 NOUN appos
11 de de 13 ADP case
12 um um 13 DET det
13 cancer cancer 10 NOUN nmod
14 em em 16 ADP case
15 o o 16 DET det
16 pancreas pancreas 13 NOUN nmod
17 ele ele 18 PRON nsubj
18 formou formar 1 VERB parataxis
19 com com 21 ADP case
20 a o 21 DET det
21 mulher mulher 18 NOUN nmod
22 leila leila 21 NOUN appos
23 cordeiro cordeiro 22 NOUN flat
24 o o 26 DET det
25 primeiro primeiro 26 ADJ amod
26 casal casal 18 NOUN obj
27 de de 28 ADP case
28 apresentadores apresentador 26 NOUN nmod
29 de de 31 ADP case
30 a o 31 DET det
31 tv tv 26 NOUN nmod
32 brasileira brasileiro 31 ADJ amod
33 o o 34 DET det
34 jornalista jornalista 37 NOUN nsubj
35 eliakim eliakim 34 PROPN appos
36 araujo araujo 35 PROPN flat
37 morreu morrer 1 VERB parataxis
38 em em 40 ADP case
39 o o 40 DET det
40 domingo domingo 37 PROPN nmod
41 17 17 40 NUM appos
42 a a 45 ADP case
43 os o 45 DET det
44 75 75 45 NUM nummod
45 anos ano 40 NOUN nmod
46 em em 48 ADP case
47 fort fort 48 NOUN amod
48 lauderdale lauderdale 37 NOUN nmod
49 em em 51 ADP case
50 os o 51 DET det
51 estados estado 37 NOUN nmod
52 unidos unido 51 ADJ amod
53 onde onde 54 ADV advmod
54 estava estar 51 VERB acl:relcl
55 internado internado 54 ADJ xcomp
56 para para 58 ADP case
57 o o 58 DET det
58 tratamento tratamento 55 NOUN nmod
59 de de 61 ADP case
60 um um 61 DET det
61 cancer cancer 58 NOUN nmod
62 em em 64 ADP case
63 o o 64 DET det
64 pancreas pancreas 61 NOUN nmod
65 a o 66 DET det
66 doenca doenca 68 NOUN nsubj:pass
67 foi foi 68 AUX aux:pass
68 diagnosticada diagnosticar 1 VERB parataxis
69 ha ha 68 VERB advcl
70 um um 71 NUM nummod
71 mes mes 69 NOUN nmod
72 e e 77 CCONJ cc
73 araujo araujo 77 NOUN nsubj
74 chegou chegar 77 AUX aux
75 a a 77 ADP mark
76 se se 77 PRON obj
77 submeter submeter 68 VERB conj
78 a a 80 ADP case
79 um um 80 DET det
80 tratamento tratamento 77 NOUN nmod
81 de de 82 ADP case
82 quimioterapia quimioterapia 80 NOUN nmod
83 mas mas 85 CCONJ cc
84 nao nao 85 ADV advmod
85 resistiu resistir 182 VERB conj
86 eliakim eliakim 85 NOUN nsubj
87 araujo araujo 86 NOUN flat
88 formou formar 182 VERB conj
89 a a 91 ADP case
90 o o 91 DET det
91 lado lado 88 NOUN nmod
92 de de 94 ADP case
93 a o 94 DET det
94 mulher mulher 91 NOUN nmod
95 a o 97 DET det
96 tambem tambem 97 ADV advmod
97 jornalista jornalista 88 NOUN obj
98 leila leila 97 NOUN appos
99 cordeiro cordeiro 98 NOUN flat
100 o o 102 DET det
101 primeiro primeiro 102 ADJ amod
102 casal casal 88 NOUN obj
103 de de 104 ADP case
104 apresentadores apresentador 102 NOUN nmod
105 de de 107 ADP case
106 a o 107 DET det
107 televisao televisao 104 NOUN nmod
108 brasileira brasileiro 107 ADJ amod
109 a a 111 ADP case
110 o o 111 DET det
111 comandar comandar 88 VERB advcl
112 o o 113 DET det
113 jornal jornal 111 NOUN obj
114 de de 116 ADP case
115 a o 116 DET det
116 globo globo 113 NOUN nmod
117 em em 118 ADP case
118 1983 1983 111 NUM nmod
119 nascido nascer 214 VERB acl
120 em em 121 ADP case
121 guaxupe guaxupe 119 NOUN nmod
122 minas mina 121 NOUN appos
123 gerais geral 122 ADJ amod
124 araujo araujo 126 PROPN nsubj
125 tambem tambem 126 ADV advmod
126 comandou comandar 1 VERB conj
127 em em 129 ADP case
128 a o 129 DET det
129 emissora emissora 126 NOUN nmod
130 carioca carioca 129 ADJ amod
131 o o 132 DET det
132 globo globo 126 NOUN obj
133 reporter reporter 132 NOUN flat
134 alem alem 126 ADV advmod
135 de de 137 ADP case
136 as o 137 DET det
137 cobertura cobertura 134 NOUN nmod
138 de de 140 ADP case
139 os o 140 DET det
140 desfiles desfile 137 NOUN nmod
141 de de 142 ADP case
142 escolas escola 140 NOUN nmod
143 de de 144 ADP case
144 samba samba 142 NOUN nmod
145 de de 147 ADP case
146 o o 147 DET det
147 rio rio 140 PROPN nmod
148 de de 149 ADP case
149 janeiro janeiro 147 PROPN nmod
150 e e 152 CCONJ cc
151 a o 152 DET det
152 eleicao eleicao 140 NOUN conj
153 indireta indireto 152 ADJ amod
154 de de 155 ADP case
155 tancredo tancredo 152 PROPN nmod
156 neves neves 155 PROPN amod
157 o o 158 DET det
158 jornalista jornalista 160 NOUN nsubj
159 se se 160 PRON obj
160 transferiu transferir 37 VERB conj
161 junto junto 160 ADV advmod
162 de de 164 ADP case
