1 falsas falso 2 ADJ amod
2 noticias noticia 32 NOUN parataxis
3 o o 4 DET det
4 fracasso fracasso 32 NOUN nsubj
5 de de 7 ADP case
6 a o 7 DET det
7 verdade verdade 4 NOUN nmod
8 em em 10 ADP case
9 o o 10 DET det
10 ano ano 4 NOUN nmod
11 de de 12 ADP case
12 2016 2016 10 NUM nmod
13 a o 14 DET det
14 distopia distopia 32 NOUN nsubj
15 totalitaria totalitario 14 ADJ amod
16 de de 18 ADP case
17 1984 1984 18 NUM nummod
18 livro livro 14 NOUN nmod
19 em em 20 ADP case
20 que que 23 PRON nmod
21 um um 22 DET det
22 homem homem 23 NOUN nsubj
23 reescreve reescrever 18 VERB acl:relcl
24 a o 25 DET det
25 historia historia 23 NOUN obj
26 para para 31 ADP mark
27 que que 26 CCONJ fixed
28 a o 29 DET det
29 memoria memoria 31 NOUN nsubj:pass
30 seja ser 31 AUX aux:pass
31 derrotada derrotar 23 VERB advcl
32 revelase revelar 0 VERB root
33 atual atual 32 ADJ xcomp
34 em em 35 ADP case
35 2016 2016 32 NUM nmod
36 quando quando 39 ADV advmod
37 a o 38 DET det
38 verdade verdade 39 NOUN nsubj
39 fracassou fracassar 35 VERB acl:relcl
40 em em 42 ADP case
41 a o 42 DET det
42 urna urna 39 NOUN nmod
43 de de 45 ADP case
44 dois dois 45 NUM nummod
45 farois faroi 42 NOUN nmod
46 de de 48 ADP case
47 a o 48 DET det
48 democracia democracia 42 NOUN nmod
49 a o 50 DET det
50 grabretanha grabretanha 39 NOUN nsubj
51 e e 53 CCONJ cc
52 os o 53 DET det
53 eua eua 50 PROPN conj
54 posverdade posverdade 32 NOUN conj
55 fazer fazer 54 VERB acl:inf
56 referencia referencia 55 NOUN obj
57 ou ou 58 CCONJ cc
58 denotar denotar 55 VERB conj
59 circunstancias circunstancia 58 NOUN obj
60 em em 61 ADP case
61 que que 64 PRON nmod
62 fatos fato 299 NOUN nsubj
63 objetivos objetivo 62 ADJ amod
64 tem ter 59 VERB acl:relcl
65 menos menos 66 DET det
66 influencia influencia 64 NOUN obj
67 em em 69 ADP case
68 a o 69 DET det
69 formacao formacao 473 NOUN nmod
70 de de 72 ADP case
71 a o 72 DET det
72 opiniao opiniao 69 NOUN nmod
73 publica publico 72 ADJ amod
74 de de 77 ADP case
75 o o 77 DET det
76 que que 74 CCONJ fixed
77 apelos apelo 228 VERB advcl
78 a a 79 ADP case
