1 video video 3 NOUN nsubj
2 palocci palocci 1 NOUN appos
3 descreve descrever 0 VERB root
4 passo passo 3 NOUN nmod
5 a a 6 ADP case
6 passo passo 4 NOUN nmod
7 esquema esquema 3 NOUN obj
8 de de 9 ADP case
9 propinas propina 7 NOUN nmod
10 de de 12 ADP case
11 a o 12 DET det
12 odebrecht odebrecht 9 PROPN nmod
13 para para 15 ADP case
14 o o 15 DET det
15 pt pt 7 NOUN nmod
16 exministro exministro 15 NOUN appos
17 de de 18 ADP case
18 lula lula 16 NOUN nmod
19 e e 20 CCONJ cc
20 dilma dilma 21 NOUN nsubj
21 disse dizer 3 VERB conj
22 em em 23 ADP case
23 depoimento depoimento 21 NOUN nmod
24 a a 26 ADP case
25 o o 26 DET det
26 juiz juiz 21 NOUN iobj
27 sergio sergio 26 ADJ amod
28 moro moro 26 NOUN appos
29 que que 31 CCONJ mark
30 lula lula 31 NOUN nsubj
31 fez fazer 21 VERB ccomp
32 um um 33 DET det
33 pacto pacto 31 NOUN obj
34 de de 35 ADP case
35 sangue sangue 33 NOUN nmod
36 com com 37 ADP case
37 emilio emilio 31 NOUN nmod
38 odebrecht odebrecht 37 PROPN flat
39 e e 40 CCONJ cc
40 acertou acertar 31 VERB conj
41 propina propina 40 NOUN obj
42 de de 43 ADP case
43 r r 41 NOUN nmod
44 300 300 45 NUM nummod
45 milhoes milhoes 43 NUM nummod
46 segundo segundo 47 ADP case
47 palocci palocci 40 NOUN nmod
48 relacionamento relacionamento 40 NOUN nsubj
49 de de 51 ADP case
50 a o 51 DET det
51 odebrecht odebrecht 48 NOUN nmod
52 com com 53 ADP case
53 governos governo 48 NOUN nmod
54 lula lula 53 NOUN appos
55 e e 56 CCONJ cc
56 dilma dilma 54 NOUN conj
57 foi foi 58 AUX aux:pass
58 movido mover 3 VERB conj
59 a a 60 ADP case
60 vantagens vantagem 58 NOUN nmod
61 dirigidas dirigir 60 VERB acl
62 a a 63 ADP case
63 empresas empresa 61 NOUN nmod
64 a a 65 ADP case
65 propinas propina 63 NOUN nmod
66 antonio antonio 65 ADJ appos
67 palocci palocci 66 NOUN flat
68 exministro exministro 66 NOUN flat
69 de de 71 ADP case
70 os o 71 DET det
71 governos governo 68 NOUN nmod
72 lula lula 53 NOUN appos
73 e e 74 CCONJ cc
74 dilma dilma 72 NOUN conj
75 detalhou detalhar 3 VERB conj
76 em em 77 ADP case
77 depoimento depoimento 75 NOUN nmod
78 a a 80 ADP case
79 o o 80 DET det
80 juiz juiz 77 NOUN nmod
81 sergio sergio 80 ADJ amod
82 moro moro 80 NOUN flat
83 como como 86 CCONJ mark
84 a o 85 DET det
85 odebrecht odebrecht 86 NOUN nsubj
86 pagava pagar 75 VERB advcl
87 propina propina 86 NOUN obj
88 a a 90 ADP case
89 o o 90 DET det
90 partido partido 86 NOUN iobj
91 de de 93 ADP case
92 os o 93 DET det
93 trabalhadores trabalhador 90 NOUN nmod
94 pt pt 93 PROPN appos
95 segundo segundo 96 ADP case
96 ele ele 98 PRON nmod
97 lula lula 98 NOUN nsubj
98 fez fazer 86 VERB advcl
99 um um 100 DET det
100 pacto pacto 98 NOUN obj
101 de de 102 ADP case
102 sangue sangue 100 NOUN nmod
103 com com 104 ADP case
104 emilio emilio 100 NOUN nmod
105 odebrecht odebrecht 104 PROPN flat
106 e e 107 CCONJ cc
107 acertou acertar 98 VERB conj
108 propina propina 107 NOUN obj
109 de de 110 ADP case
110 r r 108 NOUN nmod
111 300 300 112 NUM nummod
112 milhoes milhoes 110 NUM nummod
113 a a 115 ADP case
114 o o 115 DET det
115 partido partido 107 NOUN nmod
116 veja ver 3 VERB parataxis
117 abaixo abaixo 116 ADV advmod
118 os o 119 DET det
119 trechos trecho 116 NOUN obj
120 de de 122 ADP case
121 o o 122 DET det
122 depoimento depoimento 119 NOUN nmod
123 que que 124 PRON nsubj
124 mostram mostrar 122 VERB acl:relcl
125 como como 126 ADV advmod
126 funcionou funcionar 124 VERB ccomp
127 o o 128 DET det
128 esquema esquema 126 NOUN nsubj
