1 veja ver 0 VERB root
2 a o 3 DET det
3 repercussao repercussao 1 NOUN obj
4 de de 6 ADP case
5 a o 6 DET det
6 condenacao condenacao 3 NOUN nmod
7 de de 8 ADP case
8 lula lula 6 NOUN nmod
9 em em 11 ADP case
10 2 2 11 NUM nummod
11 instancia instancia 1 NOUN nmod
12 desembargadores desembargador 13 NOUN nsubj
13 votaram votar 1 VERB parataxis
14 por por 15 ADP case
15 unanimidade unanimidade 13 NOUN nmod
16 por por 18 ADP case
17 a o 18 DET det
18 manutencao manutencao 13 NOUN nmod
19 de de 21 ADP case
20 a o 21 DET det
21 condenacao condenacao 18 NOUN nmod
22 de de 24 ADP case
23 o o 24 DET det
24 expresidente expresidente 21 NOUN nmod
25 e e 38 CCONJ cc
26 por por 28 ADP case
27 o o 28 DET det
28 aumento aumento 13 NOUN nmod
29 de de 31 ADP case
30 a o 31 DET det
31 pena pena 28 NOUN nmod
32 defesa defesa 31 NOUN appos
33 de de 35 ADP case
34 o o 35 DET det
35 petista petista 31 NOUN nmod
36 ainda ainda 38 ADV advmod
37 pode pode 38 AUX aux
38 entrar entrar 13 VERB conj
39 com com 40 ADP case
40 recursos recurso 38 NOUN nmod
41 o o 42 DET det
42 expresidente expresidente 50 NOUN nsubj:pass
43 luiz luiz 42 ADJ appos
44 inacio inacio 43 NOUN flat
45 lula lula 43 NOUN flat
46 de de 48 ADP case
47 a o 48 DET det
48 silva silva 43 NOUN nmod
49 foi foi 50 AUX aux:pass
50 condenado condenar 13 VERB conj
51 nesta nesta 52 ADP case
52 quartafeira quartafeira 50 NOUN nmod
53 24 24 52 NUM nmod
54 em em 56 ADP case
55 segunda segundo 56 ADJ amod
56 instancia instancia 50 NOUN nmod
57 por por 60 ADP case
58 a o 60 DET det
59 8 8 60 NUM nummod
60 turma turma 50 NOUN nmod
61 de de 63 ADP case
62 o o 63 DET det
63 tribunal tribunal 60 NOUN nmod
64 regional regional 63 ADJ amod
65 federal federal 63 ADJ amod
66 de de 69 ADP case
67 a o 69 DET det
68 4 4 69 NUM nummod
69 regiao regiao 63 NOUN nmod
70 trf4 trf4 69 NOUN appos
71 em em 72 ADP case
72 porto porto 50 PROPN nmod
73 alegre alegre 72 ADJ amod
74 todos todos 77 DET det
75 os o 77 DET det
76 tres tres 77 NUM nummod
77 desembargadores desembargador 147 NOUN nsubj
78 de de 99 ADP case
79 o o 99 DET det
80 trf4 trf4 77 NOUN nmod
81 votaram votar 1 VERB parataxis
82 por por 83 ADP mark
83 manter manter 81 VERB nmod
84 a o 85 DET det
85 condenacao condenacao 83 NOUN obj
86 de de 87 ADP case
87 lula lula 85 NOUN nmod
88 por por 89 ADP case
89 corrupcao corrupcao 83 NOUN nmod
90 passiva passivo 89 ADJ amod
91 e e 92 CCONJ cc
92 lavagem lavagem 89 NOUN conj
93 de de 94 ADP case
94 dinheiro dinheiro 92 NOUN nmod
95 a o 96 DET det
96 defesa defesa 50 NOUN nsubj:pass
97 de de 99 ADP case
98 o o 99 DET det
99 petista petista 96 NOUN nmod
100 pode pode 101 AUX aux
101 entrar entrar 50 VERB parataxis
102 com com 103 ADP case
103 recursos recurso 101 NOUN nmod
104 em em 107 ADP case
105 o o 107 DET det
106 proprio proprio 107 ADJ amod
107 tribunal tribunal 101 NOUN nmod
108 ou ou 110 CCONJ cc
109 em em 110 ADP case
110 instancias instancia 107 NOUN conj
111 superiores superior 110 ADJ amod
112 stj stj 110 NOUN appos
113 e e 114 CCONJ cc
114 stf stf 112 NOUN conj
115 o o 116 DET det
116 expresidente expresidente 119 NOUN nsubj:pass
117 nao nao 119 ADV advmod
118 sera sera 119 AUX aux:pass
119 preso preso 124 VERB conj
120 de de 121 ADP mark
121 imediato imediato 119 ADJ nmod
122 lula lula 124 NOUN nsubj
123 pode pode 124 AUX aux
124 manter manter 50 VERB conj
125 uma um 127 DET det
126 eventual eventual 127 ADJ amod
127 candidatura candidatura 124 NOUN obj
128 a a 129 ADP case
129 presidencia presidencia 127 NOUN nmod
130 enquanto enquanto 131 CCONJ mark
131 houver haver 124 VERB advcl
132 recursos recurso 131 NOUN obj
133 pendentes pendente 132 ADJ amod
134 contra contra 136 ADP case
135 a o 136 DET det
136 condenacao condenacao 132 NOUN nmod
137 o o 138 DET det
138 relator relator 147 NOUN nsubj
139 de de 141 ADP case
140 o o 141 DET det
141 processo processo 138 NOUN nmod
142 desembargador desembargador 141 NOUN appos
143 joao joao 138 NOUN appos
144 pedro pedro 143 NOUN flat
145 gebran gebran 143 NOUN flat
146 neto neto 143 ADJ flat
147 determinou determinar 124 VERB parataxis
148 ainda ainda 147 ADV advmod
149 o o 150 DET det
150 aumento aumento 147 NOUN obj
151 de de 153 ADP case
152 a o 153 DET det
153 pena pena 150 NOUN nmod
154 de de 156 ADP case
155 o o 156 DET det
156 petista petista 153 NOUN nmod
157 para para 159 ADP case
158 12 12 159 NUM nummod
159 anos ano 150 NOUN nmod
