1 conheca conhecar 0 VERB root
2 o o 3 DET det
3 plano plano 1 NOUN obj
4 de de 6 ADP case
5 a o 6 DET det
6 coreia coreia 3 NOUN nmod
7 de de 9 ADP case
8 o o 9 DET det
9 norte norte 6 NOUN nmod
10 para para 11 ADP mark
11 criar criar 1 VERB advcl
12 um um 14 DET det
13 grande grande 14 ADJ amod
14 polo polo 11 NOUN obj
15 turistico turistico 14 ADJ amod
16 com com 17 ADP case
17 investimento investimento 3 NOUN nmod
18 estrangeiro estrangeiro 17 ADJ amod
19 setor setor 147 NOUN nsubj
20 de de 21 ADP case
21 turismo turismo 19 NOUN nmod
22 nao nao 24 ADV advmod
23 e e 24 CCONJ cc
24 afetado afetar 11 VERB conj
25 por por 26 ADP case
26 sancoes sancoe 24 NOUN nmod
27 impostas impostas 26 VERB acl
28 a a 30 ADP case
29 o o 30 DET det
30 pais pais 27 NOUN nmod
31 por por 33 ADP case
32 a o 33 DET det
33 onu onu 27 NOUN nmod
34 planos plano 35 NOUN nsubj
35 incluem incluir 147 VERB parataxis
36 reconstrucao reconstrucao 35 NOUN obj
37 de de 39 ADP case
38 a o 39 DET det
39 cidade cidade 36 NOUN nmod
40 de de 41 ADP case
41 wonsan wonsan 39 NOUN nmod
42 como como 43 ADP case
43 resort resort 36 NOUN nmod
44 de de 45 ADP case
45 esqui esqui 43 NOUN nmod
46 com com 47 ADP case
47 lojas loja 399 NOUN nmod
48 milionarias milionario 47 ADJ amod
49 campo campo 47 NOUN appos
50 de de 51 ADP case
51 golfe golfe 49 NOUN nmod
52 e e 53 CCONJ cc
53 investimentos investimento 399 NOUN conj
54 de de 55 ADP case
55 us us 53 NOUN nmod
56 15 15 57 NUM nummod
57 bilhao bilhao 55 NUM nummod
58 em em 60 ADP case
59 a o 60 DET det
60 cidade cidade 53 NOUN nmod
61 litoranea litoraneo 60 ADJ amod
62 de de 63 ADP case
63 wonsan wonsan 60 NOUN nmod
64 familias familia 66 NOUN nsubj
65 nortecoreanas nortecoreano 64 ADJ amod
66 assam assar 399 VERB acl:relcl
67 churrasco churrasco 66 NOUN obj
68 em em 70 ADP case
69 a o 70 DET det
70 praia praia 66 NOUN nmod
71 vao ir 72 AUX aux
72 pescar pescar 399 VERB acl:relcl
73 e e 74 CCONJ cc
74 tomam tomar 72 VERB conj
75 sorvetes sorvete 74 NOUN obj
76 em em 78 ADP case
77 o o 78 DET det
78 verao verao 448 PROPN nmod
79 para para 81 ADP case
80 seu seu 81 DET det:poss
81 lider lider 448 NOUN nmod
82 kim kim 81 PROPN appos
83 jongun jongun 82 PROPN flat
84 o o 85 DET det
85 resort resort 346 NOUN nsubj
86 e e 88 CCONJ cc
87 um um 88 DET det
88 refugio refugio 349 NOUN conj
89 de de 90 ADP case
90 verao verao 88 NOUN nmod
91 um um 93 DET det
92 futuro futuro 93 ADJ amod
93 templo templo 88 NOUN appos
94 turistico turistico 93 ADJ amod
95 e e 98 CCONJ cc
96 um um 98 DET det
97 bom bom 98 ADJ amod
98 lugar lugar 349 NOUN conj
99 para para 100 ADP mark
100 testar testar 98 VERB nmod
101 misseis missil 100 NOUN obj
102 ele ele 104 PRON nsubj
103 esta esta 104 AUX aux
104 reconstruindo reconstruir 356 VERB acl:relcl
105 a o 106 DET det
106 cidade cidade 104 NOUN obj
107 de de 110 ADP case
108 360 360 109 NUM nummod
109 mil mil 110 NUM nummod
110 habitantes habitante 106 NOUN nmod
111 e e 112 CCONJ cc
112 quer querer 104 VERB conj
113 transformala transformala 112 NOUN obj
114 em em 116 ADP case
115 um um 116 DET det
116 polo polo 113 NOUN nmod
