1 proposta proposta 11 NOUN nsubj
2 que que 3 PRON nsubj
3 preve prever 1 VERB acl:relcl
4 melhor melhor 5 ADJ amod
5 gestao gestao 3 NOUN obj
6 em em 8 ADP case
7 os o 8 DET det
8 fundos fundos 5 NOUN nmod
9 de de 10 ADP case
10 pensao pensao 8 NOUN nmod
11 esta esta 0 DET root
12 parada parada 11 NOUN xcomp
13 em em 15 ADP case
14 o o 15 DET det
15 congresso congresso 12 NOUN nmod
16 apesar apesar 20 ADV case
17 de de 16 ADP case
18 as o 16 DET det
19 recorrentes recorrente 20 ADJ amod
20 investigacoes investigacoe 26 NOUN nmod
21 sobre sobre 22 ADP case
22 gestao gestao 20 NOUN nmod
23 fraudulenta fraudulento 22 ADJ amod
24 projeto projeto 26 NOUN nsubj
25 nao nao 26 ADV advmod
26 avanca avancar 11 VERB advcl
27 em em 29 ADP case
28 a o 29 DET det
29 camara camara 26 NOUN nmod
30 de de 32 ADP case
31 os o 32 DET det
32 deputados deputado 29 NOUN nmod
33 desde desde 34 ADP case
34 julho julho 26 PROPN nmod
35 a o 36 DET det
36 operacao operacao 26 NOUN nsubj
37 greenfield greenfield 36 NOUN appos
38 deflagrada deflagrar 36 VERB acl
39 nesta nesta 40 ADP case
40 segundafeira segundafeira 38 NOUN nmod
41 5 5 40 NUM appos
42 por por 44 ADP case
43 a o 44 DET det
44 policia policia 38 NOUN nmod
45 federal federal 44 ADJ amod
46 e e 49 CCONJ cc
47 mais mais 48 ADV advmod
48 um um 49 NUM nummod
49 capitulo capitulo 36 NOUN conj
50 em em 52 ADP case
51 a o 52 DET det
52 trajetoria trajetoria 49 NOUN nmod
53 de de 54 ADP case
54 perdas perda 52 NOUN nmod
55 bilionarias bilionario 54 ADJ amod
56 de de 58 ADP case
57 os o 58 DET det
58 fundos fundos 54 NOUN nmod
59 de de 60 ADP case
60 pensao pensao 58 NOUN nmod
61 de de 63 ADP case
62 as o 63 DET det
63 estatais estatal 58 NOUN nmod
64 as o 65 DET det
65 fraudes fraude 123 NOUN nsubj
66 que que 67 PRON nsubj
67 chegam chegar 65 VERB acl:relcl
68 a a 69 ADP case
69 r r 67 NOUN nmod
70 8 8 71 NUM nummod
71 bilhoes bilhoes 69 NOUN nummod
72 segundo segundo 74 ADP case
73 a o 74 DET det
74 pf pf 67 NOUN nmod
75 em em 79 ADP case
76 os o 79 DET det
77 quatro quatro 79 NUM nummod
78 maiores maior 79 ADJ amod
79 fundos fundos 192 NOUN nmod
80 de de 81 ADP case
81 pensao pensao 79 NOUN nmod
82 de de 84 ADP case
83 o o 84 DET det
84 pais pais 79 NOUN nmod
85 funcef funcef 192 NOUN nsubj
86 de de 88 ADP case
87 a o 88 DET det
88 caixa caixa 85 NOUN nmod
89 petros petro 88 NOUN amod
90 de de 92 ADP case
91 a o 92 DET det
92 petrobras petrobra 88 NOUN nmod
93 previ previ 92 NOUN appos
94 de de 96 ADP case
95 o o 96 DET det
96 banco banco 93 NOUN nmod
97 de de 99 ADP case
98 o o 99 DET det
99 brasil brasil 96 NOUN nmod
100 e e 101 CCONJ cc
101 postalis postalis 36 NOUN conj
102 de de 104 ADP case
103 os o 104 DET det
104 correios correio 101 NOUN nmod
105 alvos alvo 104 NOUN amod
106 de de 108 ADP case
107 a o 108 DET det
108 operacao operacao 101 NOUN nmod
109 ja ja 112 ADV advmod
110 haviam haver 112 AUX aux
111 sido ser 112 AUX aux:pass
112 expostas expor 26 VERB parataxis
113 em em 114 ADP case
114 cpi cpi 112 NOUN nmod
115 de de 117 ADP case
116 a o 117 DET det
117 camara camara 114 NOUN nmod
118 de de 120 ADP case
119 os o 120 DET det
120 deputados deputado 117 NOUN nmod
121 a o 122 DET det
122 comissao comissao 123 NOUN nsubj
123 terminou terminar 11 VERB parataxis
124 em em 125 ADP case
125 abril abril 123 PROPN nmod
126 deste deste 127 ADP case
127 ano ano 125 NOUN nmod
128 com com 132 ADP case
129 mais mais 131 ADV advmod
130 de de 129 ADP case
131 200 200 132 NUM nummod
132 indiciados indiciado 123 NOUN nmod
133 e e 135 CCONJ cc
134 a o 135 DET det
135 conclusao conclusao 132 NOUN conj
136 de de 137 ADP case
137 desvios desvio 135 NOUN nmod
138 em em 140 ADP case
139 a o 140 DET det
140 ordem ordem 137 NOUN nmod
141 de de 142 ADP case
142 r r 140 NOUN nmod
143 3 3 144 NUM nummod
144 bilhoes bilhoes 142 NUM nummod
145 de de 147 ADP case
146 os o 147 DET det
147 recursos recurso 140 NOUN nmod
148 de de 150 ADP case
149 as o 150 DET det
150 aposentadorias aposentadoria 147 NOUN nmod
151 de de 153 ADP case
152 os o 153 DET det
153 servidores servidor 150 NOUN nmod
154 mas mas 161 CCONJ cc
155 a o 157 DET det
156 possivel possivel 157 ADJ amod
157 solucao solucao 161 NOUN nsubj
158 para para 160 ADP case
159 esse esse 160 DET det
160 problema problema 157 NOUN nmod
161 esta esta 67 VERB conj
162 travada travada 161 ADJ xcomp
163 em em 165 ADP case
