1 sete sete 2 NUM nummod
2 perguntas pergunta 19 NOUN nsubj
3 sobre sobre 5 ADP case
4 a o 5 DET det
5 crise crise 2 NOUN nmod
6 com com 8 ADP case
7 a o 8 DET det
8 coreia coreia 5 NOUN nmod
9 de de 11 ADP case
10 o o 11 DET det
11 norte norte 8 NOUN nmod
12 e e 14 CCONJ cc
13 as o 14 DET det
14 possibilidades possibilidade 2 NOUN conj
15 de de 17 ADP case
16 uma um 17 DET det
17 guerra guerra 14 NOUN nmod
18 trump trump 17 ADJ amod
19 diz dizer 0 VERB root
20 que que 136 CCONJ mark
21 grande grande 22 ADJ amod
22 confronto confronto 136 NOUN nsubj
23 e e 24 CCONJ cc
24 possivel possivel 22 ADJ amod
25 enquanto enquanto 27 CCONJ mark
26 china china 27 NOUN nsubj
27 pede pedir 40 VERB advcl
28 diplomacia diplomacia 27 NOUN obj
29 e e 30 CCONJ cc
30 regime regime 28 NOUN conj
31 de de 32 ADP case
32 kim kim 30 NOUN nmod
33 jongun jongun 32 NOUN flat
34 ameaca ameacar 19 VERB ccomp
35 afundar afundar 34 VERB xcomp
36 navio navio 35 NOUN obj
37 americano americano 36 ADJ amod
38 o o 39 DET det
39 japao japao 40 NOUN nsubj
40 mobilizou mobilizar 19 VERB parataxis
41 seu seu 43 DET det:poss
42 maior maior 43 ADJ amod
43 navio navio 40 NOUN obj
44 de de 45 ADP case
45 guerra guerra 43 NOUN nmod
46 em em 49 ADP case
47 a o 49 DET det
48 primeira primeiro 49 ADJ amod
49 operacao operacao 40 NOUN nmod
50 de de 52 ADP case
51 o o 52 DET det
52 tipo tipo 49 NOUN nmod
53 desde desde 57 ADP mark
54 que que 53 CCONJ fixed
55 o o 56 DET det
56 pais pais 57 NOUN nsubj
57 aprovou aprovar 40 VERB advcl
58 uma um 60 DET det
59 polemica polemico 60 ADJ amod
60 legislacao legislacao 57 NOUN obj
61 ampliando ampliar 57 VERB acl
62 o o 63 DET det
63 papel papel 61 NOUN obj
64 de de 66 ADP case
65 sua sua 66 DET det:poss
66 forca forca 63 NOUN nmod
67 militar militar 66 ADJ amod
68 em em 70 ADP case
69 o o 70 DET det
70 momento momento 61 NOUN nmod
71 em em 72 ADP case
72 que que 75 PRON nmod
73 a o 74 DET det
74 regiao regiao 75 NOUN nsubj
75 passa passar 70 VERB acl:relcl
76 por por 78 ADP case
77 uma um 78 DET det
78 escalada escalada 75 NOUN nmod
79 em em 82 ADP case
80 a o 82 DET det
81 tensa tenso 82 ADJ amod
82 relacao relacao 61 NOUN nmod
83 entre entre 85 ADP case
84 os o 85 DET det
85 estados estado 82 NOUN nmod
86 unidos unido 85 ADJ amod
87 e e 89 CCONJ cc
88 a o 89 DET det
89 coreia coreia 85 NOUN conj
90 de de 92 ADP case
91 o o 92 DET det
92 norte norte 89 NOUN nmod
93 o o 94 DET det
94 portahelicopteros portahelicopteros 97 NOUN nsubj
95 izumo izumo 94 NOUN appos
96 esta esta 97 AUX aux
97 escoltando escoltar 136 VERB ccomp
98 um um 99 DET det
99 navio navio 97 NOUN obj
100 americano americano 99 ADJ amod
101 de de 102 ADP case
102 abastecimento abastecimento 99 NOUN nmod
103 que que 104 PRON nsubj
104 cruza cruzar 159 VERB acl:relcl
105 as o 106 DET det
106 aguas agua 104 NOUN obj
107 japonesas japonês 106 ADJ amod
108 rumo rumo 164 ADP nmod
109 a o 110 DET det
110 frota frota 108 NOUN nmod
111 naval naval 110 ADJ amod
112 de de 114 ADP case
113 os o 114 DET det
114 eua eua 110 NOUN nmod
115 em em 117 ADP case
116 a o 117 DET det
117 regiao regiao 104 NOUN nmod
118 onde onde 119 ADV advmod
119 esta esta 117 VERB acl:relcl
120 o o 121 DET det
121 portaavioes portaavioes 119 NOUN nsubj
122 carl carl 121 NOUN appos
123 vinson vinson 122 NOUN flat
124 enviado enviar 121 VERB acl
125 por por 127 ADP case
126 o o 127 DET det
127 presidente presidente 124 NOUN nmod
128 donald donald 127 ADJ appos
129 trump trump 128 PROPN flat
130 em em 132 ADP case
131 o o 132 DET det
132 fim fim 124 NOUN nmod
133 de de 134 ADP case
134 semana semana 132 NOUN nmod
135 trump trump 136 NOUN nsubj
136 disse dizer 19 VERB ccomp
137 que que 138 CCONJ mark
138 gostaria gostar 136 VERB ccomp
139 de de 140 ADP mark
140 resolver resolver 138 VERB nmod
141 a o 142 DET det
142 crise crise 140 NOUN obj
143 diplomaticamente diplomaticamente 140 ADV advmod
144 mas mas 145 CCONJ cc
145 reconheceu reconhecer 136 VERB conj
146 que que 153 CCONJ mark
147 um um 148 DET det
148 conflito conflito 153 NOUN nsubj
149 muito muito 150 ADV advmod
150 grande grande 148 ADJ amod
151 seria seria 153 AUX cop
152 uma um 153 DET det
153 possibilidade possibilidade 145 NOUN ccomp
154 a a 156 ADP case
155 grande grande 156 ADJ amod
156 preocupacao preocupacao 153 NOUN nmod
157 de de 159 ADP case
158 os o 159 DET det
159 eua eua 156 NOUN nmod
160 e e 161 CCONJ cc
161 paises paise 159 NOUN conj
162 vizinhos vizinho 161 ADJ amod
163 a a 164 ADP case
164 coreia coreia 162 NOUN nmod
165 de de 167 ADP case
166 o o 167 DET det
167 norte norte 164 NOUN nmod
168 como como 169 ADP case
169 coreia coreia 335 NOUN nmod
170 de de 172 ADP case
171 o o 172 DET det
172 sul sul 169 NOUN nmod
173 e e 174 CCONJ cc
174 japao japao 169 NOUN conj
175 e e 178 CCONJ cc
176 com com 178 ADP case
177 o o 178 DET det
178 poderio poderio 159 NOUN conj
179 nuclear nuclear 178 ADJ amod
180 e e 181 CCONJ cc
181 militar militar 179 ADJ conj
182 de de 184 ADP case
183 o o 184 DET det
184 pais pais 178 NOUN nmod
185 comunista comunista 184 ADJ amod
186 quem quem 193 PRON nsubj
187 apesar apesar 189 ADV case
188 de de 187 ADP fixed
189 ameacas ameaca 193 NOUN nmod
190 de de 191 ADP case
191 sancoes sancoe 189 NOUN nmod
192 segue segue 193 AUX aux
193 realizando realizar 40 VERB advcl
194 testes teste 193 NOUN obj
195 de de 196 ADP case
196 misseis missil 194 NOUN nmod
197 o o 198 DET det
198 governo governo 230 NOUN nsubj
199 americano americano 198 ADJ amod
200 diz dizer 19 VERB parataxis
201 que que 202 CCONJ mark
202 endurecera endurecer 200 VERB ccomp
203 as o 204 DET det
204 sancoes sancoe 202 NOUN obj
205 economicas economico 204 ADJ amod
206 contra contra 207 ADP case
207 pyongyang pyongyang 204 NOUN nmod
