1 essa essa 2 DET det
2 dor dor 4 NOUN nsubj
3 vai ir 4 AUX aux
4 ficar ficar 0 VERB root
5 para para 7 ADP case
6 o o 7 DET det
7 resto resto 4 NOUN nmod
8 de de 10 ADP case
9 a o 10 DET det
10 vida vida 7 NOUN nmod
11 desabafa desabafo 4 ADJ xcomp
12 pai pai 29 NOUN nsubj
13 de de 14 ADP case
14 uma uma 12 PRON nmod
15 de de 17 ADP case
16 as o 17 DET det
17 jovens jovem 14 NOUN nmod
18 morta morto 17 ADJ amod
19 durante durante 20 ADP case
20 tiroteio tiroteio 4 NOUN nmod
21 em em 23 ADP case
22 o o 23 DET det
23 ac ac 20 NOUN nmod
24 luana luana 29 NOUN nsubj
25 aragao aragao 24 NOUN flat
26 de de 28 ADP case
27 21 21 28 NUM nummod
28 anos ano 24 NOUN nmod
29 trabalhava trabalhar 4 VERB parataxis
30 com com 32 ADP case
31 o o 32 DET det
32 pai pai 29 NOUN nmod
33 e e 35 CCONJ cc
34 nao nao 35 ADV advmod
35 fazia fazer 29 VERB conj
36 parte parte 35 NOUN obj
37 de de 38 ADP case
38 faccao faccao 36 NOUN nmod
39 segundo segundo 43 ADP mark
40 a o 41 DET det
41 familia familia 43 NOUN nsubj
42 atirador atirador 41 NOUN flat
43 matou matar 128 VERB advcl
44 tres tres 45 NUM nummod
45 jovens jovem 43 NOUN obj
46 em em 48 ADP case
47 uma um 48 DET det
48 casa casa 43 NOUN nmod
49 em em 51 ADP case
50 o o 51 DET det
51 bairro bairro 48 NOUN nmod
52 novo novo 51 ADJ amod
53 horizonte horizonte 51 NOUN appos
54 ainda ainda 55 ADV advmod
55 abalados abalar 43 VERB acl
56 com com 58 ADP case
57 a o 58 DET det
58 morte morte 55 NOUN nmod
59 de de 61 ADP case
60 a o 61 DET det
61 filha filho 58 NOUN nmod
62 mais mais 63 ADV advmod
63 nova novo 61 ADJ amod
64 os o 65 DET det
65 pais pais 72 NOUN nsubj
66 de de 67 ADP case
67 luana luano 65 NOUN nmod
68 aragao aragao 67 NOUN flat
69 de de 71 ADP case
70 21 21 71 NUM nummod
71 anos ano 67 NOUN nmod
72 falaram falar 128 VERB ccomp
73 com com 75 ADP case
74 o o 75 DET det
75 g1 g1 72 NOUN nmod
76 sobre sobre 78 ADP case
77 o o 78 DET det
78 dia dia 176 NOUN nmod
79 de de 81 ADP case
80 o o 81 DET det
81 crime crime 78 NOUN nmod
82 que que 83 PRON nsubj
83 vitimou vitimar 78 VERB acl:relcl
84 tres tres 85 NUM nummod
85 jovens jovem 83 NOUN obj
86 em em 88 ADP case
87 o o 88 DET det
88 bairro bairro 83 NOUN nmod
89 novo novo 88 ADJ amod
90 horizonte horizonte 88 NOUN appos
91 em em 92 ADP case
92 rio rio 178 NOUN nmod
93 branco branco 92 ADJ amod
94 a o 95 DET det
95 familia familia 72 NOUN nsubj
96 conta contar 4 VERB parataxis
97 que que 100 CCONJ mark
98 tem ter 100 AUX aux
99 se se 100 PRON expl:pv
100 sentido sentir 96 VERB ccomp
101 incomodada incomodado 100 ADJ xcomp
102 e e 103 CCONJ cc
103 agredida agredido 101 ADJ conj
104 com com 105 ADP case
105 apontamentos apontamento 101 NOUN nmod
106 de de 111 ADP mark
107 que que 111 CCONJ mark
108 o o 109 DET det
109 crime crime 111 NOUN nsubj
110 tenha ter 111 AUX aux
111 tido ter 105 VERB nmod
112 ligacao ligacao 111 NOUN obj
113 com com 114 ADP case
114 faccoes faccoe 112 NOUN nmod
115 criminosas criminoso 114 ADJ amod
116 o o 117 DET det
117 pai pai 111 NOUN nsubj
118 de de 120 ADP case
119 a o 120 DET det
120 garota garoto 117 NOUN nmod
121 jucelino jucelino 120 ADJ appos
122 de de 124 ADP case
123 a o 124 DET det
124 silva silva 121 NOUN nmod
125 de de 127 ADP case
126 42 42 127 NUM nummod
127 anos ano 117 NOUN nmod
128 disse dizer 4 VERB parataxis
129 que que 132 CCONJ mark
130 a o 131 DET det
131 filha filho 132 NOUN nsubj
132 trabalhava trabalhar 128 VERB ccomp
133 com com 134 ADP case
134 ele ele 132 PRON nmod
135 em em 137 ADP case
136 uma um 137 DET det
137 casa casa 132 NOUN nmod
138 de de 139 ADP case
139 carne carne 137 NOUN nmod
140 em em 141 ADP case
141 que que 111 PRON nmod
142 ele ele 111 PRON nsubj
143 e e 145 CCONJ cc
144 o o 145 DET det
145 dono dono 137 NOUN conj
146 em em 148 ADP case
147 o o 148 DET det
148 dia dia 145 NOUN nmod
149 de de 151 ADP case
150 o o 151 DET det
151 crime crime 148 NOUN nmod
152 ele ele 153 PRON nsubj
153 falou falar 128 VERB ccomp
154 que que 157 CCONJ mark
155 a o 156 DET det
156 filha filho 157 NOUN nsubj
157 estava estar 153 VERB ccomp
158 em em 160 ADP case
159 a o 160 DET det
160 casa casa 157 NOUN nmod
161 de de 163 ADP case
162 a o 163 DET det
163 frente frente 160 NOUN nmod
164 porque porque 167 CCONJ mark
165 tinha ter 167 AUX aux
166 ido ir 167 AUX aux
167 tomar tomar 157 VERB advcl
168 terere terere 167 NOUN obj
169 com com 170 ADP case
170 amigos amigo 167 NOUN nmod
171 ele ele 172 PRON nsubj
172 conta contar 153 VERB parataxis
173 ainda ainda 172 ADV advmod
174 que que 176 CCONJ mark
175 estava estar 176 AUX aux
176 dormindo dormir 172 VERB ccomp
177 quando quando 178 CCONJ mark
178 ouviu ouvir 176 VERB advcl
179 os o 180 DET det
180 disparos disparo 178 NOUN obj
181 alem alem 178 ADV advmod
182 de de 183 ADP case
183 luana luana 181 NOUN nmod
184 rafaella rafaella 183 NOUN flat
