1 genebra genebrar 0 VERB root
2 documentos documento 1 NOUN obj
3 em em 4 ADP case
4 poder poder 2 NOUN nmod
5 de de 6 ADP case
6 promotores promotor 4 NOUN nmod
7 de de 9 ADP case
8 o o 9 DET det
9 brasil brasil 6 NOUN nmod
10 e e 13 CCONJ cc
11 de de 13 ADP case
12 a o 13 DET det
13 venezuela venezuela 9 NOUN conj
14 a a 16 ADP case
15 os o 16 DET det
16 quais quais 19 PRON nmod
17 o o 18 DET det
18 estado estado 19 NOUN nsubj
19 teve ter 6 VERB acl:relcl
20 acesso acesso 19 NOUN obj
21 com com 22 ADP case
22 exclusividade exclusividade 20 NOUN nmod
23 mostram mostrar 1 VERB parataxis
24 que que 32 CCONJ mark
25 o o 26 DET det
26 presidente presidente 32 NOUN nsubj
27 de de 29 ADP case
28 a o 29 DET det
29 venezuela venezuela 26 NOUN nmod
30 nicolas nicola 26 ADJ appos
31 maduro maduro 30 NOUN flat
32 liberou liberar 23 VERB ccomp
33 mais mais 37 ADV advmod
34 de de 33 ADP case
35 us us 32 NOUN obj
36 4 4 37 NUM nummod
37 bilhoes bilhoes 35 NUM nummod
38 para para 39 ADP case
39 obras obra 32 NOUN nmod
40 de de 42 ADP case
41 a o 42 DET det
42 odebrecht odebrecht 39 NOUN nmod
43 em em 44 ADP case
44 projetos projeto 32 NOUN nmod
45 financiados financiar 44 VERB acl
46 em em 47 ADP case
47 parte parte 45 NOUN nmod
48 com com 49 ADP case
49 dinheiro dinheiro 47 NOUN nmod
50 de de 52 ADP case
51 o o 52 DET det
52 bndes bndes 49 NOUN nmod
53 o o 54 DET det
54 pagamento pagamento 56 NOUN nsubj:pass
55 foi foi 56 AUX aux:pass
56 ordenado ordenar 23 VERB ccomp
57 dias dia 56 NOUN nmod
58 apos apos 60 ADP case
59 a o 60 DET det
60 eleicao eleicao 57 NOUN nmod
61 de de 62 ADP case
62 maduro maduro 60 NOUN nmod
63 em em 64 ADP case
64 2013 2013 60 NUM nmod
65 cuja cuja 66 DET det
66 campanha campanha 69 NOUN nsubj
67 a o 68 DET det
68 construtora construtor 69 NOUN nsubj
69 admitiu admitir 202 VERB ccomp
70 ter ter 71 AUX aux
71 financiado financiar 69 VERB xcomp
72 com com 73 ADP case
73 caixa caixa 71 NOUN nmod
74 2 2 73 NUM appos
75 em em 77 ADP case
76 os o 77 DET det
77 documentos documento 71 NOUN nmod
78 o o 79 DET det
79 presidente presidente 260 NOUN nsubj
80 frisava frisar 56 VERB parataxis
81 em em 82 ADP case
82 letra letra 80 NOUN nmod
83 cursiva cursivo 82 ADJ amod
84 que que 208 CCONJ mark
85 realizar realizar 297 VERB csubj
86 os o 87 DET det
87 pagamentos pagamento 85 NOUN obj
88 que que 90 PRON nsubj
89 se se 90 PRON expl:pv
90 estenderam estender 87 VERB acl:relcl
91 ate ate 92 ADP case
92 2015 2015 90 NUM nmod
93 era era 80 VERB ccomp
94 muy muy 95 ADV advmod
95 urgente urgente 93 ADJ xcomp
96 os o 97 DET det
97 recursos recurso 260 NOUN nsubj
98 nao nao 99 ADV advmod
99 estavam estar 202 VERB ccomp
100 em em 102 ADP case
101 o o 102 DET det
102 orcamento orcamento 99 NOUN nmod
103 aprovado aprovar 102 VERB acl
104 por por 106 ADP case
105 o o 106 DET det
106 legislativo legislativo 103 NOUN nmod
107 e e 109 CCONJ cc
108 parte parte 208 NOUN nsubj
109 vinha vir 69 VERB conj
110 de de 111 ADP case
111 linhas linhas 109 NOUN nmod
112 de de 113 ADP case
113 credito credito 111 NOUN nmod
114 de de 116 ADP case
115 o o 116 DET det
116 bndes bndes 111 NOUN nmod
117 segundo segundo 119 ADP case
118 a o 119 DET det
119 investigacao investigacao 109 NOUN nmod
120 a o 121 DET det
121 liberacao liberacao 260 NOUN nsubj
122 de de 123 ADP case
123 recursos recurso 121 NOUN nmod
124 fazia fazer 202 VERB ccomp
125 parte parte 260 NOUN obj
126 de de 128 ADP case
127 um um 128 DET det
128 acerto acerto 125 NOUN nmod
129 entre entre 130 ADP case
130 maduro maduro 128 NOUN nmod
131 e e 133 CCONJ cc
132 a o 133 DET det
133 construtora construtor 130 NOUN conj
134 em em 135 ADP case
135 troca troca 229 NOUN nmod
136 de de 137 ADP case
137 us us 135 NOUN nmod
138 35 35 139 NUM nummod
139 milhoes milhoes 137 NUM nummod
140 para para 142 ADP case
141 a o 142 DET det
142 campanha campanha 244 NOUN nmod
143 de de 144 ADP case
144 2013 2013 142 NUM nmod
145 o o 146 DET det
146 presidente presidente 260 NOUN nsubj
147 daria dar 56 VERB conj
148 prioridade prioridade 260 NOUN obj
149 para para 153 ADP mark
150 que que 153 CCONJ mark
151 recursos recurso 153 NOUN nsubj
152 extraorcamentarios extraorcamentario 151 ADJ amod
153 bancassem bancar 148 VERB nmod
154 obras obra 153 NOUN obj
155 de de 157 ADP case
156 a o 157 DET det
157 odebrecht odebrecht 154 NOUN nmod
158 odebrecht odebrecht 291 PROPN appos
159 derruba derrubar 154 VERB acl:relcl
160 primeiro primeiro 161 ADJ amod
161 presidente presidente 159 NOUN obj
162 em em 164 ADP case
163 a o 164 DET det
164 america america 279 NOUN nmod
165 latina latino 164 ADJ amod
166 parte parte 297 NOUN nsubj
167 de de 169 ADP case
168 as o 169 DET det
169 informacoes informacoe 166 NOUN nmod
170 esta esta 202 VERB ccomp
171 em em 173 ADP case
172 a o 173 DET det
173 delacao delacao 170 NOUN nmod
174 de de 175 ADP case
175 euzenando euzenando 173 NOUN nmod
176 azevedo azevedo 175 ADJ amod
177 exdiretor exdiretor 175 NOUN appos
178 de de 180 ADP case
179 a o 180 DET det
180 odebrecht odebrecht 177 NOUN nmod
181 que que 182 PRON nsubj
