1 prefeito prefeito 5 NOUN nsubj
2 de de 3 ADP case
3 porto porto 1 NOUN nmod
4 alegre alegre 3 ADJ amod
5 pede pedir 0 VERB root
6 a a 8 ADP case
7 o o 8 DET det
8 governo governo 5 NOUN iobj
9 federal federal 8 ADJ amod
10 reforco reforco 5 NOUN obj
11 em em 13 ADP case
12 a o 13 DET det
13 seguranca seguranca 10 NOUN nmod
14 para para 15 ADP case
15 julgamento julgamento 5 NOUN nmod
16 de de 17 ADP case
17 lula lula 15 NOUN nmod
18 oficios oficio 20 NOUN nsubj:pass
19 foram foram 20 AUX aux:pass
20 enviados enviar 5 VERB parataxis
21 a a 23 ADP case
22 o o 23 DET det
23 presidente presidente 20 NOUN iobj
24 michel michel 23 ADJ amod
25 temer temer 23 NOUN appos
26 pmdb pmdb 23 NOUN appos
27 a a 29 ADP case
28 o o 29 DET det
29 ministro ministro 20 NOUN iobj
30 de de 32 ADP case
31 a o 32 DET det
32 defesa defesa 29 NOUN nmod
33 raul raul 29 NOUN appos
34 jungmann jungmann 33 NOUN flat
35 e e 39 CCONJ cc
36 tambem tambem 39 ADV advmod
37 a a 39 ADP case
38 o o 39 DET det
39 governador governador 29 NOUN conj
40 jose jose 39 NOUN appos
41 ivo ivo 40 NOUN flat
42 sartori sartori 40 NOUN flat
43 pmdb pmdb 40 NOUN flat
44 e e 47 CCONJ cc
45 a a 47 ADP case
46 o o 47 DET det
47 secretario secretario 23 NOUN conj
48 de de 50 ADP case
49 a o 50 DET det
50 seguranca seguranca 47 NOUN nmod
51 publica publico 50 ADJ amod
52 de de 54 ADP case
53 o o 54 DET det
54 rio rio 47 NOUN nmod
55 grande grande 54 ADJ amod
56 de de 58 ADP case
57 o o 58 DET det
58 sul sul 54 NOUN nmod
59 cezar cezar 47 VERB appos
60 schirmer schirmer 59 NOUN flat
61 a o 62 DET det
62 prefeitura prefeitura 166 NOUN nsubj
63 de de 64 ADP case
64 porto porto 62 NOUN nmod
65 alegre alegre 64 ADJ amod
66 pediu pedir 5 VERB parataxis
67 a a 69 ADP case
68 o o 69 DET det
69 governo governo 66 NOUN iobj
70 federal federal 69 ADJ amod
71 que que 75 CCONJ mark
72 a o 73 DET det
73 seguranca seguranca 75 NOUN nsubj:pass
74 seja ser 75 AUX aux:pass
75 reforcada reforcar 66 VERB ccomp
76 para para 78 ADP case
77 o o 78 DET det
78 julgamento julgamento 75 NOUN nmod
79 de de 81 ADP case
80 o o 81 DET det
81 expresidente expresidente 78 NOUN nmod
82 luiz luiz 81 NOUN appos
83 inacio inacio 82 NOUN flat
84 lula lula 82 NOUN flat
85 de de 87 ADP case
86 a o 87 DET det
87 silva silva 82 NOUN nmod
88 marcado marcar 81 VERB acl
89 para para 90 ADP case
90 24 24 88 NUM nmod
91 de de 92 ADP case
92 janeiro janeiro 90 PROPN nmod
93 em em 95 ADP case
94 o o 95 DET det
95 tribunal tribunal 118 NOUN nmod
96 regional regional 95 ADJ amod
97 federal federal 95 ADJ amod
98 de de 101 ADP case
99 a o 101 DET det
100 4 4 101 NUM nummod
101 regiao regiao 95 NOUN nmod
102 trf4 trf4 95 NOUN appos
103 que que 104 PRON nsubj
