1 fechada fechado 14 ADJ amod
2 para para 3 ADP case
3 manutencao manutencao 1 NOUN nmod
4 pf pf 3 NOUN appos
5 em em 6 ADP case
6 curitiba curitiba 1 NOUN nmod
7 e e 8 CCONJ cc
8 palco palco 1 NOUN conj
9 de de 10 ADP case
10 filmagens filmagem 8 NOUN nmod
11 cerca cerca 13 ADV advmod
12 de de 11 ADP case
13 250 250 14 NUM nummod
14 pessoas pessoa 15 NOUN nsubj
15 participaram participar 0 VERB root
16 de de 18 ADP case
17 a o 18 DET det
18 gravacao gravacao 15 NOUN nmod
19 de de 21 ADP case
20 as o 21 DET det
21 cenas cena 18 NOUN nmod
22 de de 23 ADP case
23 policia policia 21 NOUN nmod
24 federal federal 23 ADJ amod
25 a o 26 DET det
26 lei lei 23 NOUN appos
27 e e 29 CCONJ cc
28 para para 29 ADP case
29 todos todos 23 PRON conj
30 previsto prever 29 VERB acl
31 para para 33 ADP mark
32 ser ser 33 AUX aux:pass
33 lancado lancar 30 VERB nmod
34 em em 35 ADP case
35 2017 2017 33 NUM nmod
36 curitiba curitiba 15 NOUN parataxis
37 a o 38 DET det
38 sede sede 51 NOUN nsubj
39 de de 41 ADP case
40 a o 41 DET det
41 policia policia 38 NOUN nmod
42 federal federal 41 ADJ amod
43 em em 44 ADP case
44 curitiba curitiba 38 NOUN nmod
45 centro centro 51 NOUN nsubj
46 de de 48 ADP case
47 a o 48 DET det
48 operacao operacao 45 NOUN nmod
49 lava lava 48 NOUN appos
50 jato jato 49 NOUN flat
51 recebeu receber 15 VERB parataxis
52 nesta nesta 53 ADP case
53 sextafeira sextafeira 51 NOUN nmod
54 18 18 55 NUM nummod
55 equipe equipe 51 NOUN obj
56 de de 57 ADP case
57 gravacao gravacao 55 NOUN nmod
58 de de 61 ADP case
59 o o 61 DET det
60 longa longo 61 ADJ amod
61 policia policia 57 NOUN nmod
62 federal federal 61 ADJ amod
63 a o 64 DET det
64 lei lei 61 NOUN appos
65 e e 67 CCONJ cc
66 para para 67 ADP case
67 todos todos 61 PRON conj
68 previsto prever 55 VERB acl
69 para para 70 ADP mark
70 chegar chegar 68 VERB nmod
71 a a 73 ADP case
72 os o 73 DET det
73 cinemas cinema 70 NOUN nmod
74 em em 76 ADP case
75 o o 76 DET det
76 inicio inicio 70 NOUN nmod
77 de de 78 ADP case
78 2017 2017 76 NUM nmod
79 as o 80 DET det
80 filmagens filmagem 81 NOUN nsubj
81 coincidiram coincidir 15 VERB conj
82 com com 84 ADP case
83 o o 84 DET det
84 fechamento fechamento 81 NOUN nmod
85 de de 87 ADP case
86 o o 87 DET det
87 predio predio 84 NOUN nmod
88 e e 89 CCONJ cc
89 interrupcao interrupcao 84 NOUN conj
90 de de 92 ADP case
91 os o 92 DET det
92 servicos servico 89 NOUN nmod
93 para para 94 ADP case
94 manutencao manutencao 92 NOUN nmod
95 de de 96 ADP case
96 sistemas sistema 94 NOUN nmod
97 avisada avisar 81 VERB acl
98 a a 99 ADP case
99 imprensa imprensa 97 NOUN nmod
100 as o 102 DET det
101 23 23 102 NUM nummod
102 horas hora 97 NOUN nmod
103 de de 104 ADP case
104 quintafeira quintafeira 102 NOUN nmod
105 cerca cerca 107 ADV advmod
106 de de 105 ADP case
107 250 250 108 NUM nummod
108 pessoas pessoa 109 NOUN nsubj
109 participaram participar 81 VERB parataxis
110 de de 112 ADP case
111 a o 112 DET det
112 gravacao gravacao 109 NOUN nmod
113 de de 115 ADP case
114 as o 115 DET det
115 cenas cena 112 NOUN nmod
116 de de 118 ADP case
117 o o 118 DET det
118 filme filme 115 NOUN nmod
