1 quartafeira quartafeira 10 NOUN parataxis
2 2 2 1 NUM nmod
3 de de 4 ADP case
4 agosto agosto 2 PROPN nmod
5 de de 6 ADP case
6 2017 2017 4 NUM nmod
7 boa bom 8 ADJ amod
8 noite noite 10 NOUN nsubj
9 aqui aqui 10 ADV advmod
10 estao estao 0 VERB root
11 as o 13 DET det
12 principais principal 13 ADJ amod
13 noticias noticia 10 NOUN nsubj
14 para para 16 ADP mark
15 voce voce 16 PRON nsubj
16 terminar terminar 13 VERB nmod
17 o o 18 DET det
18 dia dia 16 NOUN obj
19 beminformado beminformado 18 ADJ amod
20 temer temer 18 NOUN appos
21 nao nao 23 ADV advmod
22 sera sera 23 AUX aux:pass
23 investigado investigar 10 VERB parataxis
24 por por 26 ADP case
25 a o 26 DET det
26 denuncia denuncia 23 NOUN nmod
27 de de 28 ADP case
28 corrupcao corrupcao 26 NOUN nmod
29 passiva passivo 28 ADJ amod
30 apresentada apresentar 26 VERB acl
31 por por 33 ADP case
32 o o 33 DET det
33 procurador procurador 30 NOUN nmod
34 rodrigo rodrigo 33 NOUN appos
35 janot janot 34 NOUN flat
36 o o 37 DET det
37 relatorio relatorio 23 NOUN nsubj:pass
38 que que 39 PRON nsubj
39 pedia pedir 37 VERB acl:relcl
40 o o 41 DET det
41 arquivamento arquivamento 39 NOUN obj
42 de de 44 ADP case
43 a o 44 DET det
44 denuncia denuncia 41 NOUN nmod
45 teve ter 23 VERB parataxis
46 263 263 47 NUM nummod
47 votos voto 45 NOUN obj
48 em em 50 ADP case
49 a o 50 DET det
50 camara camara 45 NOUN nmod
51 e e 54 CCONJ cc
52 assim assim 54 ADV advmod
53 foi foi 54 AUX aux:pass
54 barrado barrar 45 VERB conj
55 o o 56 DET det
56 encaminhamento encaminhamento 54 NOUN nsubj:pass
57 de de 59 ADP case
58 a o 59 DET det
59 denuncia denuncia 56 NOUN nmod
60 para para 62 ADP case
61 o o 62 DET det
62 stf stf 56 NOUN nmod
63 e e 169 CCONJ cc
64 o o 66 DET det
65 eventual eventual 169 ADJ amod
66 afastamento afastamento 163 NOUN conj
67 de de 69 ADP case
68 o o 69 DET det
69 presidente presidente 66 NOUN nmod
70 desde desde 72 ADP case
71 o o 72 DET det
72 comeco comeco 267 NOUN nmod
73 de de 75 ADP case
74 o o 75 DET det
75 dia dia 72 NOUN nmod
76 o o 77 DET det
77 planalto planalto 78 NOUN nsubj
78 dava dar 45 VERB conj
79 demonstracoes demonstracoe 220 NOUN obj
80 de de 81 ADP case
81 confianca confianca 79 NOUN nmod
82 por por 84 ADP case
83 um um 84 DET det
84 resultado resultado 267 NOUN nmod
85 favoravel favoravel 84 ADJ amod
86 houve haver 45 VERB parataxis
87 tensao tensao 317 NOUN obj
88 e e 89 CCONJ cc
89 tumulto tumulto 87 NOUN conj
90 entre entre 92 ADP case
91 os o 92 DET det
92 deputados deputado 243 NOUN nmod
93 federais federal 92 ADJ amod
94 mas mas 185 CCONJ cc
95 o o 96 DET det
96 clima clima 317 NOUN nsubj
97 em em 99 ADP case
98 as o 99 DET det
99 ruas rua 96 NOUN nmod
100 foi foi 317 VERB conj
101 morno morno 100 ADJ xcomp
102 o o 103 DET det
103 presidente presidente 334 NOUN nsubj
104 fez fazer 317 VERB conj
105 um um 106 DET det
106 pronunciamento pronunciamento 104 NOUN obj
107 logo logo 108 ADV advmod
