1 ex ex 46 PART nsubj
2 de de 3 ADP case
3 luiza luiza 1 NOUN nmod
4 brunet brunet 3 ADJ amod
5 e e 6 CCONJ cc
6 ouvido ouvir 1 VERB conj
7 em em 8 ADP case
8 audiencia audiencia 6 NOUN nmod
9 de de 11 ADP case
10 o o 11 DET det
11 caso caso 8 NOUN nmod
12 em em 14 ADP case
13 o o 14 DET det
14 qual qual 16 PRON nmod
15 e e 16 CCONJ cc
16 acusado acusar 11 VERB acl:relcl
17 de de 18 ADP case
18 agressao agressao 16 NOUN nmod
19 lirio lirio 1 ADJ appos
20 parisotto parisotto 19 NOUN flat
21 e e 22 CCONJ cc
22 acusado acusar 60 VERB conj
23 de de 25 ADP case
24 duas duas 25 NUM nummod
25 lesoes lesoe 22 NOUN nmod
26 corporais corporal 25 ADJ amod
27 contra contra 29 ADP case
28 a o 29 DET det
29 modelo modelo 25 NOUN nmod
30 em em 31 ADP case
31 2015 2015 60 NUM nmod
32 e e 33 CCONJ cc
33 2016 2016 31 NUM conj
34 outras outras 36 DET det
35 duas duas 36 NUM nummod
36 testemunhas testemunha 60 NOUN nsubj:pass
37 que que 38 PRON nsubj
38 faltaram faltar 36 VERB acl:relcl
39 em em 40 ADP case
40 audiencia audiencia 38 NOUN nmod
41 de de 43 ADP case
42 o o 43 DET det
43 ano ano 40 NOUN nmod
44 passado passado 43 ADJ amod
45 tambem tambem 46 ADV advmod
46 prestaram prestar 0 VERB root
47 depoimento depoimento 46 NOUN obj
48 em em 50 ADP case
49 o o 50 DET det
50 forum forum 46 NOUN nmod
51 de de 53 ADP case
52 a o 53 DET det
53 barra barra 50 NOUN nmod
54 funda fundo 53 ADJ amod
55 o o 56 DET det
56 empresario empresario 60 NOUN nsubj:pass
57 lirio lirio 56 ADJ amod
58 parisotto parisotto 56 ADJ amod
59 foi foi 60 AUX aux:pass
60 ouvido ouvir 46 VERB parataxis
61 nesta nesta 62 ADP case
62 segundafeira segundafeira 60 NOUN nmod
63 13 13 62 NUM appos
64 a a 66 ADP case
65 o o 66 DET det
66 forum forum 60 NOUN nmod
67 criminal criminal 66 ADJ amod
68 de de 70 ADP case
69 a o 70 DET det
70 barra barra 66 NOUN nmod
71 funda fundo 70 ADJ amod
72 em em 74 ADP case
73 a o 74 DET det
74 zona zona 60 NOUN nmod
75 oeste oeste 74 ADJ amod
76 de de 77 ADP case
77 sao sao 74 NOUN nmod
78 paulo paulo 77 ADJ flat
79 em em 81 ADP case
80 nova novo 81 ADJ amod
81 audiencia audiencia 60 NOUN nmod
82 de de 84 ADP case
83 o o 84 DET det
84 caso caso 81 NOUN nmod
85 em em 87 ADP case
86 o o 87 DET det
87 qual qual 90 PRON nmod
88 ele ele 90 PRON nsubj:pass
89 e e 90 CCONJ aux:pass
90 julgado julgar 84 VERB acl:relcl
91 por por 93 ADP case
92 a o 93 DET det
93 acusacao acusacao 90 NOUN nmod
94 de de 95 ADP mark
95 agredir agredir 93 VERB nmod
96 a a 97 ADP case
97 exmulher exmulher 95 NOUN nmod
98 a o 99 DET det
99 atriz atriz 95 NOUN obj
100 luiza luiza 99 NOUN appos
101 brunet brunet 100 NOUN flat
102 parisotto parisotto 100 NOUN flat
103 nao nao 104 ADV advmod
104 quis querer 84 VERB acl:relcl
105 falar falar 104 VERB xcomp
106 com com 108 ADP case
107 a o 108 DET det
108 imprensa imprensa 105 NOUN nmod
109 a o 111 DET det
110 segunda segundo 111 ADJ amod
111 audiencia audiencia 185 NOUN nsubj
112 de de 113 ADP case
113 instrucao instrucao 111 NOUN nmod
114 durou durar 46 VERB parataxis
115 cerca cerca 117 ADV advmod
116 de de 115 ADP case
117 duas duas 118 NUM nummod
118 horas hora 114 NOUN nmod
119 alem alem 123 ADV mark
120 de de 119 ADP case
121 o o 122 DET det
122 empresario empresario 123 NOUN nsubj
123 prestaram prestar 185 VERB advcl
124 depoimento depoimento 123 NOUN obj
125 um um 126 DET det
126 perito perito 105 NOUN obj
127 e e 129 CCONJ cc
128 uma um 129 DET det
129 mulher mulher 126 NOUN conj
