1 depois depois 4 ADV case
2 de de 1 ADP case
3 a o 1 DET det
4 execucao execucao 57 NOUN nmod
5 de de 7 ADP case
6 a o 7 DET det
7 vereadora vereador 4 NOUN nmod
8 marielle marielle 7 ADJ appos
9 franco franco 7 ADJ amod
10 o o 57 PRON nsubj
11 que que 13 PRON nsubj
12 mais mais 13 ADV advmod
13 mobilizou mobilizar 10 VERB acl:relcl
14 as o 15 DET det
15 redes rede 13 NOUN obj
16 sociais social 15 ADJ amod
17 de de 19 ADP case
18 as o 19 DET det
19 quais quais 20 PRON nmod
20 participo participar 15 VERB acl:relcl
21 foi foi 10 AUX cop
22 a o 23 DET det
23 possibilidade possibilidade 57 NOUN nsubj
24 de de 25 ADP case
25 prisao prisao 23 NOUN nmod
26 de de 27 ADP case
27 benki benki 25 NOUN nmod
28 piyako piyako 27 NOUN flat
29 lideranca lideranca 27 NOUN appos
30 indigena indigena 29 ADJ amod
31 de de 33 ADP case
32 o o 33 DET det
33 povo povo 29 NOUN nmod
34 ashaninka ashaninka 33 ADJ amod
35 e e 36 CCONJ cc
36 respeitado respeitar 29 VERB conj
37 internacionalmente internacionalmente 36 ADV advmod
38 por por 41 ADP case
39 o o 41 DET det
40 seu seu 41 DET det:poss
41 trabalho trabalho 36 NOUN nmod
42 e e 43 CCONJ cc
43 luta luta 41 NOUN conj
44 incessante incessante 43 ADJ amod
45 por por 47 ADP case
46 a o 47 DET det
47 protecao protecao 43 NOUN nmod
48 de de 50 ADP case
49 a o 50 DET det
50 amazonia amazonia 47 NOUN nmod
51 as o 52 DET det
52 mensagens mensagem 57 NOUN nsubj
53 de de 54 ADP case
54 apoio apoio 52 NOUN nmod
55 a a 56 ADP case
56 benki benki 54 NOUN nmod
57 chegaram chegar 0 VERB root
58 por por 61 ADP case
59 todos todos 61 DET det
60 os o 61 DET det
61 lados lado 57 NOUN nmod
62 e e 66 CCONJ cc
63 um um 64 DET det
64 abaixoassinado abaixoassinado 66 NOUN nsubj
65 esta esta 66 AUX aux
66 circulando circular 57 VERB conj
67 em em 69 ADP case
68 a o 69 DET det
69 internet internet 66 PROPN nmod
70 para para 76 ADP mark
71 que que 70 CCONJ fixed
72 o o 73 DET det
73 caso caso 76 NOUN nsubj:pass
74 possa possa 76 AUX aux
75 ser ser 76 AUX aux:pass
76 revertido reverter 227 VERB advcl
77 benki benki 76 NOUN nsubj:pass
78 que que 79 PRON nsubj
79 fala fala 77 VERB acl:relcl
80 para para 82 ADP case
81 o o 82 DET det
82 mundo mundo 79 NOUN nmod
83 sobre sobre 85 ADP case
84 a o 85 DET det
85 importancia importancia 79 NOUN nmod
86 de de 88 ADP case
87 a o 88 DET det
88 preservacao preservacao 85 NOUN nmod
89 de de 91 ADP case
90 a o 91 DET det
91 floresta floresta 88 NOUN nmod
92 e e 94 CCONJ cc
93 e e 94 CCONJ cc
94 escutado escutar 79 VERB conj
95 por por 96 ADP case
96 ele ele 94 PRON nmod
97 passou passar 79 VERB conj
98 de de 99 ADP case
99 vitima vitima 97 NOUN nmod
100 a a 101 ADP case
101 acusado acusado 99 NOUN nmod
102 apos apos 104 ADP case
103 algumas algumas 104 DET det
104 trapalhadas trapalhada 97 NOUN nmod
105 juridicas juridico 104 ADJ amod
106 que que 109 PRON nsubj
107 agora agora 109 ADV advmod
108 podem podem 109 AUX aux
109 condenalo condenalo 311 VERB acl:relcl
110 criminalmente criminalmente 109 ADV advmod
111 por por 112 ADP case
112 denuncia denuncia 109 NOUN nmod
113 caluniosa calunioso 112 ADJ amod
114 a o 115 DET det
115 lideranca lideranca 346 NOUN nsubj
116 junto junto 122 ADV advmod
117 com com 119 ADP case
118 seus seus 119 DET det:poss
119 irmaos irmao 116 NOUN nmod
120 e e 121 CCONJ cc
121 irmas irma 119 NOUN conj
122 desenvolvem desenvolver 104 VERB acl:relcl
123 um um 124 DET det
124 trabalho trabalho 122 NOUN obj
125 de de 126 ADP case
126 reflorestamento reflorestamento 124 NOUN nmod
127 junto junto 124 ADV advmod
128 as as 129 ADP case
129 comunidades comunidade 127 NOUN nmod
130 de de 132 ADP case
131 a o 132 DET det
132 reserva reserva 129 NOUN nmod
133 extrativista extrativista 132 ADJ amod
134 resex resex 132 PROPN appos
135 alto alto 136 ADJ amod
136 jurua jurua 132 NOUN appos
137 a o 138 DET det
138 primeira primeiro 346 NOUN nsubj
139 criada criar 138 VERB acl
140 em em 142 ADP case
141 o o 142 DET det
142 brasil brasil 139 NOUN nmod
143 apos apos 145 ADP case
144 o o 145 DET det
145 assassinato assassinato 139 NOUN nmod
146 de de 148 ADP case
147 o o 148 DET det
148 lider lider 145 NOUN nmod
149 seringueiro seringueiro 148 NOUN flat
150 chico chico 148 NOUN appos
151 mendes mendes 150 NOUN flat
152 localizada localizar 138 VERB acl
153 em em 155 ADP case
154 o o 155 DET det
155 municipio municipio 152 NOUN nmod
