1 maioria maioria 5 NOUN nsubj
2 de de 4 ADP case
3 os o 4 DET det
4 senadores senador 1 NOUN nmod
5 discursa discursar 0 VERB root
6 a a 7 ADP case
7 favor favor 5 NOUN nmod
8 de de 10 ADP case
9 o o 10 DET det
10 impeachment impeachment 7 NOUN nmod
11 votacao votacao 5 NOUN obj
12 sera sera 14 AUX cop
13 as o 14 DET det
14 11h 11h 5 NUM nsubj
15 de de 18 ADP case
16 os o 18 DET det
17 63 63 18 NUM nummod
18 parlamentares parlamentar 14 NOUN nmod
19 que que 21 PRON nsubj
20 se se 21 PRON obj
21 pronunciaram pronunciar 18 VERB acl:relcl
22 em em 25 ADP case
23 as o 25 DET det
24 12 12 25 NUM nummod
25 horas hora 21 NOUN nmod
26 de de 27 ADP case
27 sessao sessao 25 NOUN nmod
28 43 43 25 NUM appos
29 defenderam defender 14 VERB acl:relcl
30 o o 31 DET det
31 afastamento afastamento 29 NOUN obj
32 definitivo definitivo 31 ADJ amod
33 de de 35 ADP case
34 a o 35 DET det
35 presidente presidente 31 NOUN nmod
36 afastada afastado 35 ADJ amod
37 enquanto enquanto 39 CCONJ mark
38 18 18 39 NUM nsubj
39 foram foram 29 VERB advcl
40 contrarios contrario 39 ADJ xcomp
41 brasilia brasilia 39 NOUN nsubj
42 de de 45 ADP case
43 os o 45 DET det
44 63 63 45 NUM nummod
45 senadores senador 41 NOUN nmod
46 que que 47 PRON nsubj
47 discursaram discursar 45 VERB acl:relcl
48 em em 50 ADP case
49 a o 50 DET det
50 sessao sessao 47 NOUN nmod
51 que que 52 PRON nsubj
52 comecou comecar 50 VERB acl:relcl
53 em em 55 ADP case
54 o o 55 DET det
55 inicio inicio 52 NOUN nmod
56 de de 58 ADP case
57 a o 58 DET det
58 tarde tarde 55 NOUN nmod
59 desta desta 60 ADP case
60 tercafeira tercafeira 58 NOUN nmod
61 e e 62 CCONJ cc
62 encerrou encerrar 47 VERB conj
63 as o 64 DET det
64 2h36 2h36 62 NUM obj
65 de de 67 ADP case
66 a o 67 DET det
67 madrugada madrugada 64 NOUN nmod
68 desta desta 69 ADP case
69 quartafeira quartafeira 67 NOUN nmod
70 43 43 69 NUM appos
71 se se 72 PRON expl:pv
72 declararam declarar 155 VERB conj
73 favoraveis favoravel 72 ADJ xcomp
74 a a 76 ADP case
75 o o 76 DET det
76 impeachment impeachment 73 NOUN nmod
77 de de 79 ADP case
78 a o 79 DET det
79 presidente presidente 76 NOUN nmod
80 afastada afastado 79 ADJ amod
81 dilma dilma 79 NOUN appos
82 rousseff rousseff 81 NOUN flat
83 embora embora 86 CCONJ mark
84 nao nao 86 ADV advmod
85 tenha ter 86 AUX aux
86 havido haver 72 VERB advcl
87 em em 89 ADP case
88 os o 89 DET det
89 pronunciamentos pronunciamento 86 NOUN nmod
90 um um 93 DET det
91 minimo minimo 92 NOUN amod
92 54 54 93 NUM nummod
93 apoios apoio 86 NOUN obj
94 para para 95 ADP mark
95 condenar condenar 93 VERB nmod
96 dilma dilma 95 NOUN obj
97 por por 98 ADP case
98 crime crime 95 NOUN nmod
99 de de 100 ADP case
100 responsabilidade responsabilidade 98 NOUN nmod
101 proporcionalmente proporcionalmente 174 ADV advmod
102 houve haver 29 VERB advcl
103 manifestacoes manifestacoe 102 NOUN obj
104 entre entre 106 ADP case
105 os o 106 DET det
106 senadores senador 103 NOUN nmod
107 para para 108 ADP mark
108 considerala consideraar 102 VERB advcl
109 culpada culpado 108 ADJ xcomp
110 o o 111 DET det
111 quorum quorum 47 NOUN nsubj
112 para para 113 ADP mark
113 retirar retirar 139 VERB nmod
114 dilma dilma 113 NOUN obj
115 de de 117 ADP case
116 o o 117 DET det
117 cargo cargo 113 NOUN nmod
118 o o 119 DET det
119 maior maior 52 NOUN nsubj
120 de de 121 ADP case
121 votacoes votacoe 119 NOUN nmod
122 de de 124 ADP case
123 o o 124 DET det
124 congresso congresso 121 NOUN nmod
125 e e 128 CCONJ cc
126 de de 128 ADP case
127 dois dois 128 NUM nummod
128 tercos terco 45 NOUN conj
129 ou ou 130 CCONJ cc
130 6666 6666 128 NUM conj
131 de de 133 ADP case
132 os o 133 DET det
133 votos voto 128 NOUN nmod
134 em em 136 ADP case
135 os o 136 DET det
136 discursos discurso 47 NOUN nmod
137 houve haver 39 VERB conj
138 um um 139 DET det
139 aval aval 137 NOUN obj
140 a a 142 ADP case
141 o o 142 DET det
142 afastamento afastamento 139 NOUN nmod
143 definitivo definitivo 142 ADJ amod
144 de de 145 ADP case
145 dilma dilma 142 NOUN nmod
146 de de 147 ADP case
147 6825 6825 142 NUM nmod
148 de de 150 ADP case
149 os o 150 DET det
150 senadores senador 147 NOUN nmod
151 a o 152 DET det
152 sessao sessao 155 NOUN nsubj
153 de de 154 ADP case
154 pronunciamentos pronunciamento 152 NOUN nmod
155 durou durar 14 VERB acl:relcl
156 12 12 157 NUM nummod
157 horas hora 155 NOUN nmod
158 e e 159 CCONJ cc
159 encerrou encerrar 155 VERB conj
160 com com 162 ADP case
161 43 43 162 NUM nummod
162 manifestacoes manifestacoe 159 NOUN nmod
163 favoraveis favoravel 162 ADJ amod
164 de de 165 ADP case
165 senadores senador 162 NOUN nmod
166 a a 168 ADP case
167 o o 168 DET det
168 impedimento impedimento 162 NOUN nmod
169 18 18 170 NUM nummod
170 contrarias contraria 174 NOUN obj
171 e e 174 CCONJ cc
172 dois dois 174 NUM nsubj
173 nao nao 174 ADV advmod
174 declararam declarar 155 VERB conj
