1 combater combater 4 VERB csubj
2 a o 3 DET det
3 corrupcao corrupcao 1 NOUN obj
4 requer requerer 0 VERB root
5 um um 6 DET det
6 trabalho trabalho 4 NOUN obj
7 de de 8 ADP case
8 inteligencia inteligencia 6 NOUN nmod
9 com com 10 ADP case
10 uso uso 6 NOUN nmod
11 de de 12 ADP case
12 ferramentas ferramenta 10 NOUN nmod
13 como como 14 ADP case
14 delacao delacao 12 NOUN nmod
15 premiada premiado 14 ADJ amod
16 e e 17 CCONJ cc
17 quebra quebra 14 NOUN conj
18 de de 19 ADP case
19 sigilo sigilo 17 NOUN nmod
20 fiscal fiscal 19 ADJ amod
21 e e 22 CCONJ cc
22 telefonico telefonico 20 ADJ conj
23 isso isso 4 PRON obj
24 porque porque 28 CCONJ mark
25 a o 26 DET det
26 corrupcao corrupcao 28 NOUN nsubj:pass
27 e e 28 AUX aux:pass
28 feita feita 58 VERB advcl
29 as o 30 DET det
30 escondidas escondidas 28 NOUN nmod
31 mediante mediante 32 ADP case
32 pacto pacto 28 NOUN nmod
33 de de 34 ADP case
34 sigilo sigilo 32 NOUN nmod
35 conforme conforme 36 CCONJ mark
36 atesta atestar 28 VERB advcl
37 a o 38 DET det
38 procuradora procurador 36 NOUN nsubj
39 de de 41 ADP case
40 a o 41 DET det
41 republica republica 38 NOUN nmod
42 thamea thamea 38 NOUN appos
43 danelon danelon 42 NOUN flat
44 de de 46 ADP case
45 o o 46 DET det
46 nucleo nucleo 38 NOUN nmod
47 de de 48 ADP case
48 combate combate 46 NOUN nmod
49 a a 50 ADP case
50 corrupcao corrupcao 48 NOUN nmod
51 de de 53 ADP case
52 o o 53 DET det
53 ministerio ministerio 46 NOUN nmod
54 publico publico 53 ADJ amod
55 de de 56 ADP case
56 sao sao 53 NOUN nmod
57 paulo paulo 56 ADJ amod
58 sao sao 4 VERB parataxis
59 muito muito 60 ADV advmod
60 importantes importante 58 ADJ xcomp
61 a o 62 DET det
62 prisao prisao 58 NOUN nsubj
63 e e 65 CCONJ cc
64 a o 65 DET det
65 asfixia asfixia 62 NOUN conj
66 economica economico 65 ADJ amod
67 recomenda recomendar 58 VERB parataxis
68 thamea thamea 230 NOUN obj
69 e e 71 CCONJ cc
70 o o 71 DET det
71 poder poder 62 NOUN conj
72 economico economico 71 ADJ amod
73 aliado aliar 71 VERB acl
74 com com 76 ADP case
75 nosso nosso 76 DET det:poss
76 sistema sistema 73 NOUN nmod
77 ultrapassado ultrapassado 76 ADJ amod
78 que que 79 PRON nsubj
79 resulta resultar 71 VERB acl:relcl
80 em em 82 ADP case
81 a o 82 DET det
82 impunidade impunidade 79 NOUN nmod
83 o o 84 DET det
84 nucleo nucleo 263 NOUN nsubj
85 de de 86 ADP case
86 combate combate 84 NOUN nmod
87 a a 88 ADP case
88 corrupcao corrupcao 86 NOUN nmod
89 completa completar 212 VERB ccomp
90 um um 91 NUM nummod
91 ano ano 89 NOUN nmod
92 em em 93 ADP case
93 setembro setembro 194 PROPN nmod
94 e e 95 CCONJ cc
95 foi foi 263 VERB conj
96 responsavel responsavel 95 ADJ xcomp
