1 mais mais 2 ADV advmod
2 caro caro 8 ADJ xcomp
3 de de 5 ADP case
4 a o 5 DET det
5 historia historia 2 NOUN nmod
6 enem enem 5 NOUN appos
7 2016 2016 6 NUM appos
8 bate bater 0 VERB root
9 recorde recorde 8 NOUN obj
10 em em 12 ADP case
11 a o 12 DET det
12 arrecadacao arrecadacao 9 NOUN nmod
13 com com 14 ADP case
14 inscricoes inscricoe 12 NOUN nmod
15 previsao previsao 14 NOUN appos
16 de de 17 ADP case
17 gastos gasto 15 NOUN nmod
18 com com 19 ADP case
19 exame exame 17 NOUN nmod
20 e e 22 CCONJ cc
21 de de 22 ADP case
22 r r 12 NOUN conj
23 788 788 24 NUM nummod
24 milhoes milhoes 22 NUM nummod
25 segundo segundo 27 ADP case
26 o o 27 DET det
27 mec mec 22 NOUN nmod
28 arrecadacao arrecadacao 27 NOUN appos
29 com com 30 ADP case
30 inscricoes inscricoe 28 NOUN nmod
31 somou somar 27 VERB acl:relcl
32 r r 31 NOUN obj
33 136 136 34 NUM nummod
34 milhoes milhoes 32 NUM nummod
35 ainda ainda 36 ADV advmod
36 faltam faltar 8 VERB parataxis
37 pouco pouco 38 ADV advmod
38 menos menos 40 ADV advmod
39 de de 38 ADP case
40 dois dois 41 NUM nummod
41 meses mês 36 NOUN nsubj
42 para para 44 ADP case
43 as o 44 DET det
44 provas prova 36 NOUN nmod
45 mas mas 56 CCONJ cc
46 o o 47 DET det
47 exame exame 56 NOUN nsubj
48 nacional nacional 47 ADJ amod
49 de de 51 ADP case
50 o o 51 DET det
51 ensino ensino 47 NOUN nmod
52 medio medio 51 ADJ amod
53 enem enem 36 VERB nsubj
54 2016 2016 53 NUM nmod
55 ja ja 56 ADV advmod
56 acumula acumular 8 VERB conj
57 dois dois 58 NUM nummod
58 recordes recorde 56 NOUN obj
59 a o 61 DET det
60 atual atual 61 ADJ amod
61 edicao edicao 56 NOUN obj
62 e e 64 CCONJ cc
63 a o 64 DET det
64 campea campeo 56 NOUN conj
65 em em 67 ADP case
66 o o 67 DET det
67 valor valor 64 NOUN nmod
68 arrecadado arrecadar 67 VERB acl
69 com com 70 ADP case
70 inscricoes inscricoe 68 NOUN nmod
71 e e 76 CCONJ cc
72 a a 75 ADP case
73 o o 75 DET det
74 mesmo mesmo 75 ADJ amod
75 tempo tempo 76 NOUN nmod
76 tem ter 56 VERB conj
77 a o 79 DET det
78 maior maior 79 ADJ amod
79 previsao previsao 76 NOUN obj
80 de de 81 ADP case
81 custo custo 79 NOUN nmod
82 para para 84 ADP case
83 os o 84 DET det
84 cofres cofre 79 NOUN nmod
85 de de 87 ADP case
86 o o 87 DET det
87 governo governo 84 NOUN nmod
88 federal federal 87 ADJ amod
89 desde desde 91 ADP case
90 2009 2009 91 NUM nummod
91 ano ano 81 NOUN nmod
92 em em 93 ADP case
93 que que 96 PRON nmod
94 a o 95 DET det
95 prova prova 96 NOUN nsubj
96 assumiu assumir 91 VERB acl:relcl
97 o o 99 DET det
98 atual atual 99 ADJ amod
99 formato formato 96 NOUN obj
100 baixe baixe 99 VERB amod
101 o o 102 DET det
102 aplicativo aplicativo 96 NOUN obj
103 g1 g1 102 NUM appos
104 enem enem 103 NOUN flat
105 de de 106 ADP case
106 acordo acordo 79 NOUN nmod
107 com com 108 ADP case
108 dados dado 106 NOUN nmod
109 de de 111 ADP case
110 o o 111 DET det
111 ministerio ministerio 108 NOUN nmod
112 de de 114 ADP case
113 a o 114 DET det
114 educacao educacao 111 NOUN nmod
115 mec mec 244 PROPN appos
116 a o 117 DET det
117 previsao previsao 8 NOUN nsubj
118 orcamentaria orcamentario 117 ADJ amod
119 para para 121 ADP case
120 o o 121 DET det
121 enem enem 117 NOUN nmod
122 2016 2016 121 NUM appos
123 e e 253 CCONJ cc
124 de de 125 ADP case
125 r r 149 NOUN nmod
126 788345024 788345024 125 NUM appos
127 o o 129 DET det
128 maior maior 129 ADJ amod
129 valor valor 56 NOUN nsubj
130 absoluto absoluto 129 ADJ amod
131 autorizado autorizar 129 VERB acl
132 a a 134 ADP mark
133 ser ser 134 AUX aux:pass
134 empregado empregar 131 VERB nmod
135 em em 137 ADP case
136 a o 137 DET det
137 realizacao realizacao 134 NOUN nmod
138 de de 140 ADP case
139 o o 140 DET det
140 exame exame 137 NOUN nmod
141 com com 146 ADP case
142 as o 146 DET det
143 8732 8732 144 NUM nummod
144 milhoes milhoes 248 NUM nummod
145 de de 146 ADP case
146 inscricoes inscricoe 248 NOUN nmod
147 o o 148 DET det
148 mec mec 149 NOUN nsubj
149 arrecadou arrecadar 8 VERB parataxis
150 r r 149 NOUN obj
151 1362 1362 152 NUM nummod
152 milhoes milhoes 150 NUM nummod
153 o o 154 DET det
154 que que 156 PRON nsubj
155 tambem tambem 156 ADV advmod
156 representa representar 79 VERB acl:relcl
157 o o 159 DET det
158 maior maior 159 ADJ amod
159 valor valor 156 NOUN obj
160 de de 162 ADP case
161 a o 162 DET det
162 serie serie 159 NOUN nmod
163 em em 164 ADP case
164 media media 162 NOUN nmod
165 se se 166 CCONJ mark
166 descontado descontar 274 VERB advcl
167 de de 169 ADP case
168 os o 169 DET det
169 gastos gasto 166 NOUN nmod
170 o o 172 DET det
171 a o 172 DET det
172 arrecadacao arrecadacao 274 NOUN nsubj:pass
173 com com 174 ADP case
174 inscricoes inscricoe 172 NOUN nmod
175 o o 176 DET det
176 custo custo 193 NOUN nsubj
177 medio medio 176 ADJ amod
178 por por 179 ADP case
179 aluno aluno 176 NOUN nmod
180 sera sera 8 VERB parataxis
181 de de 182 ADP case
182 r r 180 NOUN nmod
183 7467 7467 182 NUM appos
184 neste neste 185 ADP case
185 ano ano 206 NOUN nmod
186 o o 187 DET det
187 mec mec 188 NOUN nsubj
188 informou informar 8 VERB parataxis
189 que que 193 CCONJ mark
190 ainda ainda 193 ADV advmod
191 nao nao 193 ADV advmod
192 pode pode 193 AUX aux
193 detalhar detalhar 188 VERB ccomp
194 os o 195 DET det
195 custos custo 193 NOUN obj
196 por por 197 ADP case
197 area area 193 NOUN nmod
198 impressao impressao 193 NOUN obj
199 de de 200 ADP case
200 provas prova 198 NOUN nmod
201 seguranca seguranca 214 NOUN nsubj:pass
202 e e 203 CCONJ cc
203 correcao correcao 201 NOUN conj
204 a o 205 DET det
205 pasta pasta 206 NOUN nsubj
206 deu dar 36 VERB conj
207 como como 208 ADP case
208 exemplo exemplo 206 NOUN nmod
209 o o 210 DET det
210 valor valor 206 NOUN obj
211 que que 214 PRON nsubj:pass
212 pode pode 214 AUX aux
213 ser ser 214 AUX aux:pass
214 gasto gastar 210 VERB acl:relcl
215 com com 216 ADP case
