1 lista lista 6 NOUN nsubj:pass
2 de de 3 ADP case
3 janot janot 1 NOUN nmod
4 deve dever 6 AUX aux
5 ser ser 6 AUX aux:pass
6 entregue entregar 0 VERB root
7 nesta nesta 8 ADP case
8 terca terca 6 PROPN nmod
9 a a 11 ADP case
10 o o 11 DET det
11 gabinete gabinete 6 NOUN iobj
12 de de 13 ADP case
13 fachin fachin 11 NOUN nmod
14 83 83 15 NUM nummod
15 pedidos pedido 21 NOUN nsubj:pass
16 de de 17 ADP case
17 abertura abertura 15 NOUN nmod
18 de de 19 ADP case
19 inquerito inquerito 17 NOUN nmod
20 foram foram 21 AUX aux:pass
21 enviados enviar 6 VERB parataxis
22 a a 24 ADP case
23 o o 24 DET det
24 stf stf 21 NOUN iobj
25 em em 27 ADP case
26 a o 27 DET det
27 semana semana 21 NOUN nmod
28 passada passado 27 ADJ amod
29 com com 30 ADP case
30 base base 21 NOUN nmod
31 em em 33 ADP case
32 as o 33 DET det
33 delacoes delacoe 30 NOUN nmod
34 de de 36 ADP case
35 a o 36 DET det
36 odebrecht odebrecht 33 NOUN nmod
37 area area 42 NOUN nsubj
38 tecnica tecnico 37 ADJ amod
39 de de 41 ADP case
40 a o 41 DET det
41 corte corte 37 NOUN nmod
42 digitalizou digitalizar 6 VERB parataxis
43 todo todo 44 DET det
44 material material 42 NOUN obj
45 antes antes 47 ADV mark
46 de de 52 ADP fixed
47 envialo envialr 42 VERB advcl
48 a a 49 ADP case
49 fachin fachin 47 NOUN iobj
50 um um 51 DET nummod
51 semana semana 52 NOUN nmod
52 depois depois 56 ADV mark
53 de de 52 ADP fixed
54 terem ter 56 AUX aux
55 sido ser 56 AUX aux:pass
56 protocolados protocolar 42 VERB advcl
57 em em 60 ADP case
58 o o 60 DET det
59 supremo supremo 60 ADJ amod
60 tribunal tribunal 56 NOUN nmod
61 federal federal 60 ADJ amod
62 stf stf 60 X amod
63 os o 65 DET det
64 83 83 65 NUM nummod
65 pedidos pedido 78 NOUN nsubj:pass
66 para para 67 ADP mark
67 investigar investigar 65 VERB nmod
68 politicos politico 67 NOUN obj
69 citados citar 68 VERB acl
70 em em 72 ADP case
71 as o 72 DET det
72 delacoes delacoe 69 NOUN nmod
73 de de 75 ADP case
74 a o 75 DET det
75 odebrecht odebrecht 72 NOUN nmod
76 devem devem 78 AUX aux
77 ser ser 78 AUX aux:pass
78 encaminhados encaminhar 42 VERB parataxis
79 nesta nesta 80 ADP case
80 tercafeira tercafeira 78 NOUN nmod
81 21 21 80 NUM appos
82 a a 84 ADP case
83 o o 84 DET det
84 gabinete gabinete 78 NOUN iobj
85 de de 87 ADP case
86 o o 87 DET det
87 ministro ministro 84 NOUN nmod
88 edson edson 87 NOUN appos
89 fachin fachin 88 NOUN flat
90 relator relator 88 NOUN flat
91 de de 93 ADP case
92 a o 93 DET det
93 lava lava 90 NOUN nmod
94 jato jato 93 NOUN flat
95 em em 97 ADP case
96 a o 97 DET det
97 corte corte 78 NOUN nmod
98 antes antes 101 ADV mark
99 de de 98 ADP fixed
100 ser ser 101 AUX aux:pass
101 encaminhado encaminhar 109 VERB advcl
102 para para 104 ADP case
103 o o 104 DET det
104 relator relator 101 NOUN nmod
105 o o 106 DET det
106 material material 109 NOUN nsubj
107 teve ter 109 AUX aux
108 de de 109 ADP mark
109 passar passar 78 VERB advcl
110 por por 112 ADP case
111 um um 112 DET det
112 processo processo 109 NOUN nmod
113 de de 114 ADP case
114 protocolo protocolo 112 NOUN nmod
115 em em 117 ADP case
116 a o 117 DET det
117 secretaria secretaria 109 NOUN nmod
118 judiciaria judiciario 117 ADJ amod
119 de de 121 ADP case
120 a o 121 DET det
121 corte corte 117 NOUN nmod
122 a o 123 DET det
123 area area 109 NOUN nsubj
124 tecnica tecnico 123 ADJ amod
125 de de 127 ADP case
126 o o 127 DET det
127 stf stf 123 NOUN nmod
128 rotulou rotular 109 VERB parataxis
129 o o 130 DET det
130 nome nome 128 NOUN obj
131 de de 132 ADP case
132 fachin fachin 130 NOUN nmod
133 em em 135 ADP case
134 as o 135 DET det
135 pastas pasta 130 NOUN nmod
136 emitiu emitir 128 VERB parataxis
137 certidoes certidoe 136 NOUN obj
138 e e 143 CCONJ cc
139 digitalizou digitalizar 136 VERB conj
140 o o 141 DET det
141 material material 143 NOUN obj
142 fachin fachin 141 ADJ appos
143 assumiu assumir 136 VERB conj
