1 fiador fiador 5 NOUN nsubj
2 de de 3 ADP case
3 temer temer 1 NOUN nmod
4 centrao centrao 1 NOUN appos
5 confronta confrontar 0 VERB root
6 planalto planalto 5 NOUN obj
7 de de 8 ADP case
8 olho olho 6 NOUN nmod
9 em em 11 ADP case
10 a o 11 DET det
11 sucessao sucessao 5 NOUN nmod
12 de de 14 ADP case
13 a o 14 DET det
14 camara camara 11 NOUN nmod
15 bloco bloco 5 NOUN nsubj
16 informal informal 15 ADJ amod
17 que que 18 PRON nsubj
18 reune reunar 15 VERB acl:relcl
19 cerca cerca 21 ADV advmod
20 de de 19 ADP case
21 200 200 22 NUM nummod
22 deputados deputado 18 NOUN obj
23 reagiu reagir 5 VERB parataxis
24 a o 25 DET det
25 possibilidade possibilidade 23 NOUN obj
26 de de 29 ADP mark
27 o o 28 DET det
28 governo governo 29 NOUN nsubj
29 nomear nomear 25 VERB nmod
30 tucano tucano 29 NOUN obj
31 para para 32 ADP case
32 ministro ministro 29 NOUN nmod
33 em em 34 ADP case
34 troca troca 29 NOUN nmod
35 de de 36 ADP case
36 apoio apoio 34 NOUN nmod
37 de de 39 ADP case
38 o o 39 DET det
39 psdb psdb 36 NOUN nmod
40 a a 42 DET det
41 eventual eventual 42 ADJ amod
42 candidatura candidatura 29 NOUN obj
43 a a 44 ADP case
44 reeleicao reeleicao 42 NOUN nmod
45 de de 46 ADP case
46 rodrigo rodrigo 42 NOUN nmod
47 maia maia 46 NOUN flat
48 demrj demrj 46 NOUN flat
49 fiel fiel 42 ADJ amod
50 de de 52 ADP case
51 a o 52 DET det
52 balanca balanca 49 NOUN nmod
53 de de 55 ADP case
54 a o 55 DET det
55 governabilidade governabilidade 52 NOUN nmod
56 de de 58 ADP case
57 o o 58 DET det
58 governo governo 55 NOUN nmod
59 michel michel 60 ADJ amod
60 temer temer 58 NOUN appos
61 o o 63 DET det
62 chamado chamado 63 ADJ amod
63 centrao centrao 64 NOUN nsubj
64 mediu medir 142 VERB parataxis
65 forcas forca 64 NOUN obj
66 nesta nesta 67 ADP case
67 semana semana 64 NOUN nmod
68 com com 70 ADP case
69 o o 70 DET det
70 palacio palacio 64 NOUN nmod
71 de de 73 ADP case
72 o o 73 DET det
73 planalto planalto 70 NOUN nmod
74 de de 75 ADP case
75 olho olho 73 NOUN nmod
76 em em 78 ADP case
77 a o 78 DET det
78 perspectiva perspectiva 64 NOUN nmod
79 de de 80 ADP case
80 poder poder 78 NOUN nmod
81 aberta aberto 80 ADJ amod
82 com com 84 ADP case
83 a o 84 DET det
84 eleicao eleicao 81 NOUN nmod
85 que que 86 PRON nsubj
86 definira definir 84 VERB acl:relcl
87 em em 88 ADP case
88 fevereiro fevereiro 86 PROPN nmod
89 o o 91 DET det
90 novo novo 91 ADJ amod
91 presidente presidente 86 NOUN obj
92 de de 94 ADP case
93 a o 94 DET det
94 camara camara 91 NOUN nmod
95 dono dono 209 NOUN appos
96 de de 100 ADP case
97 mais mais 99 ADV advmod
98 de de 97 ADP case
99 200 200 100 NUM nummod
100 votos voto 95 NOUN nmod
101 em em 103 ADP case
102 a o 103 DET det
103 casa casa 95 NOUN nmod
104 o o 106 DET det
105 centrao centrao 106 ADJ amod
106 bloco bloco 117 NOUN nsubj
107 informal informal 106 ADJ amod
108 que que 109 PRON nsubj
109 reune reunar 106 VERB acl:relcl
110 deputados deputado 109 NOUN obj
111 governistas governista 110 ADJ amod
112 de de 116 ADP case
113 o o 116 DET det
114 chamado chamado 116 ADJ amod
115 baixo baixo 116 ADJ amod
116 clero clero 110 NOUN nmod
117 reagiu reagir 84 VERB acl:relcl
118 a o 119 DET det
119 indicacao indicacao 117 NOUN obj
120 de de 122 ADP case
121 um um 122 DET det
122 deputado deputado 119 NOUN nmod
123 de de 125 ADP case
124 o o 125 DET det
125 psdb psdb 122 NOUN nmod
126 antonio antonio 125 NOUN appos
127 imbassahy imbassahy 126 NOUN flat
128 lider lider 126 NOUN appos
129 de de 131 ADP case
130 o o 131 DET det
131 partido partido 128 NOUN nmod
132 em em 134 ADP case
133 a o 134 DET det
134 camara camara 122 NOUN nmod
135 para para 136 ADP case
136 ministro ministro 42 NOUN nmod
137 de de 139 ADP case
138 a o 139 DET det
139 secretaria secretaria 136 NOUN nmod
140 de de 141 ADP case
141 governo governo 139 NOUN nmod
142 havia haver 5 VERB parataxis
143 expectativa expectativa 142 NOUN obj
144 de de 148 ADP mark
145 que que 148 CCONJ mark
146 imbassahy imbassahy 148 NOUN nsubj:pass
147 fosse fosse 148 AUX aux:pass
148 anunciado anunciar 143 VERB nmod
149 como como 150 ADP case
150 ministro ministro 148 NOUN nmod
151 em em 154 ADP case
152 a o 154 DET det
153 proxima proximo 154 ADJ amod
154 semana semana 148 NOUN nmod
155 mas mas 161 CCONJ cc
156 diante diante 161 ADV advmod
157 de de 159 ADP case
158 as o 159 DET det
159 reacoes reacoe 156 NOUN nmod
160 temer temer 159 NOUN appos
161 decidiu decidir 64 VERB conj
162 rever rever 161 VERB xcomp
163 a o 164 DET det
164 indicacao indicacao 162 NOUN obj
165 o o 166 DET det
166 convite convite 168 NOUN nsubj
167 poderia poder 168 AUX aux
168 dar dar 64 VERB parataxis
169 mais mais 170 DET det
170 espaco espaco 168 NOUN obj
171 em em 173 ADP case
172 o o 173 DET det
173 governo governo 170 NOUN nmod
174 a a 176 ADP case
175 o o 176 DET det
176 psdb psdb 168 NOUN iobj
177 que que 180 PRON nsubj
178 em em 179 ADP case
179 compensacao compensacao 180 NOUN nmod
180 abriria abrir 70 VERB acl:relcl
181 mao mao 180 NOUN obj
182 de de 183 ADP mark
183 lancar lancar 181 VERB nmod
184 candidato candidato 183 NOUN obj
185 a a 186 ADP case
186 presidencia presidencia 184 NOUN nmod
187 de de 189 ADP case
188 a o 189 DET det
189 camara camara 186 NOUN nmod
190 e e 191 CCONJ cc
191 apoiaria apoiar 180 VERB conj
192 a o 194 DET det
193 eventual eventual 194 ADJ amod
194 candidatura candidatura 191 NOUN obj
195 a a 196 ADP case
196 reeleicao reeleicao 194 NOUN nmod
197 de de 198 ADP case
198 rodrigo rodrigo 194 NOUN nmod
199 maia maia 198 NOUN flat
200 demrj demrj 198 X flat
201 membros membro 205 NOUN nsubj
202 de de 204 ADP case
203 o o 204 DET det
204 centrao centrao 201 NOUN nmod
205 reagiram reagir 64 VERB parataxis
206 porque porque 207 CCONJ mark
207 articulam articular 205 VERB advcl
208 uma um 209 DET det
209 candidatura candidatura 207 NOUN obj
210 propria proprio 209 ADJ amod
211 de de 213 ADP case
212 o o 213 DET det
213 bloco bloco 209 NOUN nmod
214 formado formar 209 VERB acl
215 por por 217 ADP case
216 12 12 217 NUM nummod
217 partidos partido 214 NOUN nmod
218 pp pp 217 X appos
219 pr pr 218 X flat
220 psd psd 218 X flat
221 ptb ptb 218 X flat
222 pros pros 218 X flat
223 psc psc 218 X flat
