1 defesas defesas 6 NOUN nsubj
2 de de 3 ADP case
3 dilma dilma 1 NOUN nmod
4 e e 5 CCONJ cc
5 temer temer 3 NOUN conj
6 criticam criticar 0 VERB root
7 buscas busca 6 NOUN obj
8 em em 9 ADP case
9 empresas empresa 7 NOUN nmod
10 contratadas contratar 9 VERB acl
11 em em 13 ADP case
12 a o 13 DET det
13 campanha campanha 10 NOUN nmod
14 para para 15 ADP case
15 advogado advogado 6 NOUN nmod
16 de de 18 ADP case
17 a o 18 DET det
18 petista petista 15 NOUN nmod
19 busca busca 21 NOUN nsubj
20 nao nao 21 ADV advmod
21 tinha ter 6 VERB conj
22 urgencia urgencia 21 NOUN obj
23 e e 25 CCONJ cc
24 foi foi 25 AUX aux:pass
25 feita feita 6 VERB conj
26 sem sem 27 ADP case
27 presenca presenca 25 NOUN nmod
28 de de 30 ADP case
29 a o 30 DET det
30 defesa defesa 27 NOUN nmod
31 advogado advogado 34 NOUN nsubj
32 de de 33 ADP case
33 temer temer 31 NOUN nmod
34 diz dizer 6 VERB conj
35 que que 39 CCONJ mark
36 apuracao apuracao 39 NOUN nsubj:pass
37 deve dever 39 AUX aux
38 ser ser 39 AUX aux:pass
39 feita feita 34 VERB ccomp
40 em em 41 ADP case
41 acao acao 39 NOUN nmod
42 diferente diferente 41 ADJ amod
43 os o 44 DET det
44 advogados advogado 56 NOUN nsubj
45 de de 47 ADP case
46 a o 47 DET det
47 expresidente expresidente 44 NOUN nmod
48 dilma dilma 47 ADJ amod
49 rousseff rousseff 47 NOUN appos
50 e e 53 CCONJ cc
51 de de 53 ADP case
52 o o 53 DET det
53 presidente presidente 47 NOUN conj
54 michel michel 53 ADJ amod
55 temer temer 53 NOUN flat
56 criticaram criticar 6 VERB conj
57 as o 58 DET det
58 buscas busca 56 NOUN obj
59 realizadas realizar 58 VERB acl
60 por por 62 ADP case
61 a o 62 DET det
62 policia policia 59 NOUN nmod
63 federal federal 62 ADJ amod
64 nesta nesta 65 ADP case
65 tercafeira tercafeira 59 NOUN nmod
66 27 27 65 NUM appos
67 dentro dentro 56 ADV advmod
68 de de 70 ADP case
69 a o 70 DET det
70 acao acao 67 NOUN nmod
71 que que 72 PRON nsubj
72 visa visar 70 VERB acl:relcl
73 cassar cassar 72 VERB xcomp
74 a o 75 DET det
75 chapa chapa 73 NOUN obj
76 eleita eleger 75 VERB acl
77 em em 78 ADP case
78 2014 2014 73 NUM nmod
79 o o 80 DET det
80 objetivo objetivo 195 NOUN nsubj
81 de de 83 ADP case
82 a o 83 DET det
83 diligencia diligencia 80 NOUN nmod
84 foi foi 80 AUX cop
85 verificar verificar 80 VERB csubj
86 se se 94 CCONJ mark
87 graficas graficas 94 NOUN nsubj
88 e e 89 CCONJ cc
89 empresas empresa 87 NOUN conj
90 subcontratadas subcontratar 89 VERB acl
91 em em 93 ADP case
92 a o 93 DET det
93 campanha campanha 200 NOUN nmod
94 tinham ter 85 VERB ccomp
95 capacidade capacidade 204 NOUN obj
96 de de 97 ADP mark
97 prestar prestar 95 VERB nmod
98 os o 99 DET det
99 servicos servico 97 NOUN obj
100 declarados declarar 99 VERB acl
101 em em 103 ADP case
102 a o 103 DET det
103 prestacao prestacao 100 NOUN nmod
104 de de 105 ADP case
105 contas conta 103 NOUN nmod
106 em em 107 ADP case
107 nota nota 100 NOUN nmod
108 o o 109 DET det
109 advogado advogado 114 NOUN nsubj
110 de de 111 ADP case
111 dilma dilma 109 NOUN nmod
112 flavio flavio 109 ADJ appos
113 caetano caetano 112 NOUN flat
114 afirmou afirmar 195 VERB ccomp
115 ver ver 114 VERB xcomp
116 com com 117 ADP case
117 indignacao indignacao 115 NOUN nmod
118 e e 119 CCONJ cc
119 perplexidade perplexidade 117 NOUN conj
120 a o 121 DET det
121 forma forma 115 NOUN obj
122 como como 124 ADV advmod
123 foi foi 124 AUX aux:pass
124 cumprida cumprir 121 VERB acl:relcl
125 a o 126 DET det
126 ordem ordem 124 NOUN nsubj:pass
127 de de 129 ADP case
128 o o 129 DET det
129 ministro ministro 126 NOUN nmod
130 herman herman 129 NOUN appos
131 benjamin benjamin 130 NOUN flat
132 relator relator 129 NOUN appos
133 de de 135 ADP case
134 o o 135 DET det
135 processo processo 132 NOUN nmod
136 em em 138 ADP case
137 o o 138 DET det
138 tribunal tribunal 135 NOUN nmod
139 superior superior 138 ADJ amod
140 eleitoral eleitoral 138 ADJ amod
141 tse tse 138 ADJ appos
142 e e 143 CCONJ cc
143 responsavel responsavel 141 ADJ conj
144 por por 146 ADP case
145 o o 146 DET det
146 caso caso 143 NOUN nmod
147 a o 148 DET det
148 defesa defesa 263 NOUN nsubj:pass
149 de de 151 ADP case
150 a o 151 DET det
151 petista petista 148 NOUN nmod
152 questiona questionar 195 VERB ccomp
153 a o 154 DET det
154 realizacao realizacao 263 NOUN nsubj:pass
155 de de 157 ADP case
156 a o 157 DET det
157 busca busca 154 NOUN nmod
158 durante durante 160 ADP case
159 o o 160 DET det
160 recesso recesso 154 NOUN nmod
161 de de 163 ADP case
162 o o 163 DET det
163 judiciario judiciario 160 NOUN nmod
164 sem sem 166 ADP case
165 qualquer qualquer 166 DET det
166 fundamento fundamento 39 NOUN nmod
167 de de 168 ADP case
168 urgencia urgencia 166 NOUN nmod
169 com com 170 ADP case
170 tomada tomada 39 NOUN nmod
171 de de 172 ADP case
172 depoimentos depoimento 170 NOUN nmod
173 sem sem 176 ADP case
174 o o 176 DET det
175 indispensavel indispensavel 176 ADJ amod
176 acompanhamento acompanhamento 154 NOUN nmod
177 por por 179 ADP case
178 o o 179 DET det
179 advogados advogado 176 NOUN nmod
180 de de 182 ADP case
181 as o 182 DET det
182 partes partes 179 PROPN nmod
183 e e 184 CCONJ cc
184 realizacao realizacao 56 VERB conj
185 pericias pericias 184 NOUN obj
186 tambem tambem 188 ADV advmod
187 sem sem 188 ADP case
188 acompanhamento acompanhamento 184 NOUN nmod
189 por por 190 ADP case
190 assistentes assistente 188 NOUN nmod
191 em em 193 ADP case
192 a o 193 DET det
193 nota nota 188 NOUN nmod
194 caetano caetano 193 PROPN appos
195 alega alegar 6 VERB parataxis
196 que que 204 CCONJ mark
197 todas todas 199 DET det
198 as o 199 DET det
199 empresas empresa 204 NOUN nsubj
200 contratadas contratar 199 VERB acl
201 em em 203 ADP case
202 a o 203 DET det
