1 denunciada denunciar 23 VERB acl
2 mae mae 1 NOUN nsubj
3 de de 4 ADP case
4 wesley wesley 2 NOUN nmod
5 safadao safadao 4 NOUN flat
6 renuncia renunciar 23 VERB parataxis
7 a a 8 ADP case
8 cargo cargo 6 NOUN nmod
9 publico publico 8 ADJ amod
10 para para 12 ADP mark
11 se se 12 PRON expl:pv
12 dedicar dedicar 6 VERB advcl
13 a o 14 DET det
14 carreira carreira 12 NOUN obj
15 de de 17 ADP case
16 o o 17 DET det
17 filho filho 14 NOUN nmod
18 mae mae 12 NOUN nsubj
19 de de 21 ADP case
20 o o 21 DET det
21 cantor cantor 18 NOUN nmod
22 foi foi 23 AUX aux:pass
23 eleita eleger 0 VERB root
24 em em 25 ADP case
25 2016 2016 23 NUM nmod
26 viceprefeita viceprefeita 23 NOUN nsubj:pass
27 de de 28 ADP case
28 aracoiaba aracoiaba 26 NOUN nmod
29 em em 31 ADP case
30 o o 31 DET det
31 ceara ceara 26 NOUN nmod
32 e e 36 CCONJ cc
33 chegou chegar 36 AUX aux
34 a a 36 ADP mark
35 ser ser 36 AUX aux:pass
36 afastada afastar 23 VERB conj
37 de de 39 ADP case
38 o o 39 DET det
39 cargo cargo 36 NOUN nmod
40 apos apos 41 ADP case
41 denuncia denuncia 36 NOUN nmod
42 de de 43 ADP case
43 abuso abuso 41 NOUN nmod
44 de de 45 ADP case
45 poder poder 43 NOUN nmod
46 a o 47 DET det
47 mae mae 62 NOUN nsubj
48 de de 50 ADP case
49 o o 50 DET det
50 cantor cantor 47 NOUN nmod
51 wesley wesley 50 NOUN appos
52 safadao safadao 51 NOUN flat
53 e e 54 CCONJ cc
54 viceprefeita viceprefeita 51 NOUN conj
55 de de 56 ADP case
56 aracoiaba aracoiaba 54 NOUN nmod
57 em em 59 ADP case
58 o o 59 DET det
59 ceara ceara 54 NOUN nmod
60 dona dona 62 NOUN nsubj
61 bil bil 60 PROPN flat
62 renunciou renunciar 23 VERB conj
63 nesta nesta 64 ADP case
64 tercafeira tercafeira 62 NOUN nmod
65 12 12 64 NUM appos
66 a a 68 ADP case
67 o o 68 DET det
68 cargo cargo 281 NOUN nmod
69 afirmando afirmar 279 VERB acl
70 que que 73 CCONJ mark
71 vai ir 73 AUX aux
72 se se 73 PRON expl:pv
73 dedicar dedicar 69 VERB ccomp
74 a a 75 ADP case
75 carreira carreira 73 NOUN nmod
76 de de 78 ADP case
77 o o 78 DET det
78 filho filho 75 NOUN nmod
79 a o 80 DET det
80 viceprefeita viceprefeita 279 NOUN nsubj
81 de de 83 ADP case
82 a o 83 DET det
83 cidade cidade 80 NOUN nmod
84 chegou chegar 279 AUX aux
85 a a 86 ADP mark
86 ter ter 62 VERB ccomp
87 o o 88 DET det
88 mandado mandado 314 NOUN obj
89 cassado cassado 314 ADJ xcomp
