1 veja ver 0 VERB root
2 os o 4 DET det
3 principais principal 4 ADJ amod
4 trechos trecho 1 NOUN obj
5 de de 8 ADP case
6 o o 8 DET det
7 2 2 8 NUM nummod
8 depoimento depoimento 4 NOUN nmod
9 de de 10 ADP case
10 lula lula 8 NOUN nmod
11 a a 12 ADP case
12 moro moro 15 NOUN nmod
13 expresidente expresidente 15 NOUN nsubj:pass
14 foi foi 15 AUX aux:pass
15 interrogado interrogar 1 VERB parataxis
16 por por 18 ADP case
17 o o 18 DET det
18 juiz juiz 15 NOUN nmod
19 federal federal 18 ADJ amod
20 como como 21 ADP case
21 reu reu 15 NOUN nmod
22 por por 23 ADP case
23 2h10 2h10 21 NUM nmod
24 nesta nesta 25 ADP case
25 quartafeira quartafeira 15 NOUN nmod
26 13 13 25 NUM appos
27 nesta nesta 28 ADP case
28 acao acao 15 NOUN nmod
29 o o 30 DET det
30 mpf mpf 31 NOUN nsubj
31 acusa acusar 15 VERB parataxis
32 lula lula 31 NOUN obj
33 de de 34 ADP mark
34 receber receber 31 VERB nmod
35 um um 36 DET det
36 apartamento apartamento 34 NOUN obj
37 e e 39 CCONJ cc
38 um um 39 DET det
39 terreno terreno 36 NOUN conj
40 como como 41 ADP case
41 propina propina 34 NOUN nmod
42 de de 44 ADP case
43 a o 44 DET det
44 odebrecht odebrecht 41 NOUN nmod
45 o o 46 DET det
46 expresidente expresidente 53 NOUN nsubj
47 luiz luiz 46 ADJ appos
48 inacio inacio 47 ADJ flat
49 lula lula 47 PROPN flat
50 de de 52 ADP case
51 a o 52 DET det
52 silva silva 47 NOUN nmod
53 depos der 31 VERB parataxis
54 nesta nesta 55 ADP case
55 quartafeira quartafeira 53 NOUN nmod
56 13 13 55 NUM nmod
57 como como 58 ADP case
58 reu reu 53 NOUN nmod
59 a a 61 ADP case
60 o o 61 DET det
61 juiz juiz 58 NOUN nmod
62 sergio sergio 61 NOUN appos
63 moro moro 61 NOUN flat
64 em em 66 ADP case
65 a o 66 DET det
66 justica justica 61 NOUN nmod
67 federal federal 66 ADJ amod
68 de de 69 ADP case
69 curitiba curitiba 66 NOUN nmod
70 por por 73 ADP case
71 a o 73 DET det
72 segunda segundo 73 ADJ amod
73 vez vez 53 NOUN nmod
74 nesta nesta 75 ADP case
75 acao acao 78 NOUN nmod
76 lula lula 78 NOUN nsubj:pass
77 e e 78 AUX aux:pass
78 acusado acusar 53 VERB conj
79 por por 81 ADP case
80 o o 81 DET det
81 mpf mpf 78 NOUN nmod
82 de de 83 ADP mark
83 receber receber 78 VERB nmod
84 propina propina 83 NOUN obj
85 de de 87 ADP case
86 a o 87 DET det
87 empreiteira empreiteiro 84 NOUN nmod
88 odebrecht odebrecht 87 PROPN appos
89 por por 90 ADP case
90 meio meio 83 NOUN nmod
91 de de 93 ADP case
92 a o 93 DET det
93 compra compra 90 NOUN nmod
94 de de 96 ADP case
95 um um 96 DET det
96 terreno terreno 93 NOUN nmod
97 para para 100 ADP case
98 a o 100 DET det
99 nova novo 100 ADJ amod
100 sede sede 96 NOUN nmod
101 de de 103 ADP case
102 o o 103 DET det
103 instituto instituto 100 NOUN nmod
104 lula lula 103 ADJ appos
105 e e 108 CCONJ cc
106 de de 108 ADP case
107 um um 108 DET det
108 apartamento apartamento 103 NOUN conj
