1 debate debate 7 NOUN nsubj
2 sobre sobre 3 ADP case
3 denuncia denuncia 1 NOUN nmod
4 contra contra 5 ADP case
5 temer temer 3 NOUN nmod
6 deve dever 7 AUX aux
7 dominar dominar 0 VERB root
8 pauta pauta 7 NOUN obj
9 de de 11 ADP case
10 a o 11 DET det
11 semana semana 8 NOUN nmod
12 em em 14 ADP case
13 a o 14 DET det
14 camara camara 7 NOUN nmod
15 desde desde 17 ADP case
16 a o 17 DET det
17 denuncia denuncia 7 NOUN nmod
18 trabalhos trabalho 19 NOUN nsubj
19 tiveram ter 7 VERB advcl
20 ritmo ritmo 19 NOUN obj
21 reduzido reduzido 20 ADJ amod
22 em em 24 ADP case
23 o o 24 DET det
24 senado senado 19 NOUN nmod
25 roberto roberto 19 NOUN nsubj
26 rocha rocha 25 NOUN flat
27 relator relator 43 NOUN nsubj
28 de de 30 ADP case
29 a o 30 DET det
30 indicacao indicacao 27 NOUN nmod
31 de de 32 ADP case
32 raquel raquel 30 NOUN nmod
33 dodge dodge 32 NOUN flat
34 a a 36 ADP case
35 o o 36 DET det
36 cargo cargo 30 NOUN nmod
37 de de 38 ADP case
38 procuradorageral procuradorageral 36 NOUN nmod
39 de de 41 ADP case
40 a o 41 DET det
41 republica republica 38 NOUN nmod
42 podera poder 43 AUX aux
43 apresentar apresentar 7 VERB parataxis
44 parecer parecer 43 NOUN obj
45 o o 46 DET det
46 foco foco 43 NOUN nsubj
47 em em 49 ADP case
48 a o 49 DET det
49 camara camara 46 NOUN nmod
50 de de 52 ADP case
51 os o 52 DET det
52 deputados deputado 49 NOUN nmod
53 nesta nesta 54 ADP case
54 semana semana 43 NOUN nmod
55 sera sera 7 VERB parataxis
56 para para 57 ADP mark
57 discutir discutir 55 VERB advcl
58 a o 59 DET det
59 tramitacao tramitacao 57 NOUN obj
60 e e 61 CCONJ cc
61 definir definir 57 VERB conj
62 a o 63 DET det
63 relatoria relatoria 61 NOUN obj
64 de de 66 ADP case
65 a o 66 DET det
66 denuncia denuncia 63 NOUN nmod
67 contra contra 69 ADP case
68 o o 69 DET det
69 presidente presidente 66 NOUN nmod
70 de de 72 ADP case
71 a o 72 DET det
72 republica republica 69 NOUN nmod
73 michel michel 69 ADJ appos
74 temer temer 73 NOUN flat
75 por por 76 ADP case
76 corrupcao corrupcao 163 NOUN nmod
77 tambem tambem 78 ADV advmod
78 ha har 55 VERB conj
79 a o 80 DET det
80 possibilidade possibilidade 78 NOUN obj
81 de de 88 ADP mark
82 que que 88 CCONJ mark
83 os o 84 DET det
84 advogados advogado 88 NOUN nsubj
85 de de 87 ADP case
86 o o 87 DET det
87 presidente presidente 84 NOUN nmod
88 enviem enviar 80 VERB nmod
89 a o 90 DET det
90 comissao comissao 88 NOUN obj
91 de de 92 ADP case
92 constituicao constituicao 90 NOUN nmod
93 e e 94 CCONJ cc
94 justica justica 92 NOUN conj
95 ccj ccj 90 NOUN appos
96 a o 97 DET det
97 manifestacao manifestacao 88 NOUN obj
98 de de 100 ADP case
99 a o 100 DET det
100 defesa defesa 97 NOUN nmod
101 a o 102 DET det
102 procuradoria procuradoria 108 NOUN nsubj
103 geral geral 102 ADJ amod
104 de de 106 ADP case
105 a o 106 DET det
106 republica republica 102 NOUN nmod
107 pgr pgr 102 NOUN appos
108 apresentou apresentar 80 VERB nmod
109 acusacao acusacao 108 NOUN obj
110 formal formal 109 ADJ amod
111 contra contra 112 ADP case
112 temer temer 109 NOUN nmod
113 em em 115 ADP case
114 a o 115 DET det
115 semana semana 88 NOUN nmod
116 passada passado 115 ADJ amod
117 com com 118 ADP case
118 base base 108 NOUN nmod
119 em em 121 ADP case
120 a o 121 DET det
121 delacao delacao 118 NOUN nmod
122 de de 124 ADP case
123 a o 124 DET det
124 jbs jbs 121 NOUN nmod
125 o o 126 DET det
126 presidente presidente 128 NOUN nsubj
127 se se 128 PRON expl:pv
128 diz dizer 7 VERB parataxis
129 inocente inocente 128 ADJ xcomp
130 e e 131 CCONJ cc
131 afirma afirmar 128 VERB conj
132 que que 108 CCONJ mark
133 a o 134 DET det
134 denuncia denuncia 108 NOUN nsubj
135 e e 136 CCONJ cc
136 baseada basear 134 VERB amod
137 em em 138 ADP case
138 ilacoes ilacoe 136 NOUN nmod
139 em em 141 ADP case
140 o o 141 DET det
141 senado senado 136 NOUN nmod
142 o o 143 DET det
143 senador senador 55 NOUN nsubj
144 roberto roberto 143 ADJ appos
145 rocha rocha 144 NOUN flat
146 psbma psbma 55 VERB parataxis
147 relator relator 55 NOUN nsubj
148 de de 150 ADP case
149 a o 150 DET det
150 indicacao indicacao 147 NOUN nmod
151 de de 152 ADP case
152 raquel raquel 150 NOUN nmod
153 dodge dodge 152 PROPN flat
154 a a 156 ADP case
155 o o 156 DET det
156 cargo cargo 150 NOUN nmod
157 de de 158 ADP case
158 procuradorageral procuradorageral 156 NOUN nmod
159 de de 161 ADP case
160 a o 161 DET det
161 republica republica 69 NOUN nmod
162 para para 163 ADP mark
163 substituir substituir 150 VERB nmod
164 rodrigo rodrigo 163 PROPN obj
165 janot janot 164 PROPN flat
166 em em 167 ADP case
167 setembro setembro 163 PROPN nmod
168 podera poder 169 AUX aux
169 apresentar apresentar 55 VERB conj
170 o o 172 DET det
171 seu seu 172 DET det:poss
172 parecer parecer 169 NOUN obj
173 para para 174 ADP mark
174 ter ter 169 VERB advcl
175 o o 176 DET det
