1 existe existir 0 VERB root
2 uma um 3 DET det
3 avenida avenida 1 NOUN nsubj
4 aberta aberto 3 ADJ amod
5 para para 7 ADP case
6 um um 7 DET det
7 outsider outsider 3 NOUN nmod
8 em em 9 ADP case
9 2018 2018 1 NUM nmod
10 diz dizer 1 VERB parataxis
11 paulo paulo 10 NOUN nsubj
12 hartung hartung 11 NOUN flat
13 cotado cotar 11 VERB acl
14 para para 15 ADP mark
15 compor compor 13 VERB nmod
16 uma um 17 DET det
17 chapa chapa 15 NOUN obj
18 presidencial presidencial 17 ADJ amod
19 como como 20 ADP case
20 vice vice 15 PART nmod
21 governador governador 20 NOUN flat
22 diz dizer 1 VERB parataxis
23 que que 28 CCONJ mark
24 centro centro 28 NOUN nsubj
25 politico politico 24 ADJ amod
26 nao nao 28 ADV advmod
27 se se 28 PRON expl:pv
28 estruturou estruturar 22 VERB ccomp
29 para para 31 ADP case
30 a o 31 DET det
31 eleicao eleicao 28 NOUN nmod
32 vitoria vitoria 31 ADJ amod
33 o o 34 DET det
34 governador governador 28 NOUN nsubj
35 de de 37 ADP case
36 o o 37 DET det
37 espirito espirito 34 NOUN nmod
38 santo santo 37 ADJ amod
39 paulo paulo 42 NOUN nsubj
40 hartung hartung 39 NOUN flat
41 pmdb pmdb 39 PROPN flat
42 afirma afirmar 1 VERB parataxis
43 que que 52 CCONJ mark
44 o o 45 DET det
45 centro centro 52 NOUN nsubj
46 politico politico 45 ADJ amod
47 de de 49 ADP case
48 o o 49 DET det
49 pais pais 45 NOUN nmod
50 nao nao 52 ADV advmod
51 se se 52 PRON expl:pv
52 estruturou estruturar 42 VERB ccomp
53 para para 55 ADP case
54 a o 55 DET det
55 eleicao eleicao 52 NOUN nmod
56 presidencial presidencial 55 ADJ amod
57 de de 60 ADP case
58 o o 60 DET det
59 proximo proximo 60 ADJ amod
60 ano ano 55 NOUN nmod
61 e e 63 CCONJ cc
62 ainda ainda 63 ADV advmod
63 ha ha 52 VERB conj
64 uma um 65 DET det
65 avenida avenida 63 NOUN obj
66 aberta aberto 65 ADJ amod
67 para para 69 ADP case
68 um um 69 DET det
69 outsider outsider 66 NOUN nmod
70 em em 71 ADP case
71 2018 2018 63 NUM nmod
72 ele ele 73 PRON nsubj
73 define definir 42 VERB conj
74 como como 75 ADP case
75 centro centro 73 NOUN nmod
76 politico politico 75 ADJ amod
77 a o 78 DET det
78 centro centro 73 NOUN obj
79 esquerda esquerdo 78 ADJ amod
80 em em 82 ADP case
81 o o 82 DET det
82 qual qual 84 PRON nmod
83 se se 84 PRON expl:pv
84 insere inserir 78 VERB acl:relcl
85 mais mais 84 ADV advmod
86 os o 87 DET det
87 liberais liberal 84 NOUN nsubj
88 reformistas reformista 87 ADJ amod
89 precisamos precisar 78 VERB acl:relcl
90 unir unir 89 VERB xcomp
91 o o 92 DET det
92 centro centro 90 NOUN obj
93 de de 95 ADP case
94 a o 95 DET det
95 politica politica 92 NOUN nmod
96 afirmou afirmar 73 VERB conj
97 em em 98 ADP case
98 entrevista entrevista 96 NOUN nmod
99 a a 101 ADP case
100 o o 101 DET det
101 estado estado 98 NOUN nmod
102 hartung hartung 96 PROPN nsubj
103 que que 96 CCONJ mark
