1 veio veio 0 VERB root
2 para para 3 ADP mark
3 confundir confundir 1 VERB advcl
4 incerteza incerteza 3 NOUN obj
5 sobre sobre 7 ADP case
6 reais real 7 ADJ amod
7 intencoes intencoes 4 NOUN nmod
8 de de 9 ADP case
9 lula lula 7 NOUN nmod
10 e e 11 CCONJ cc
11 pessima pessimo 7 ADJ conj
12 para para 13 ADP case
13 evolucao evolucao 11 NOUN nmod
14 democratica democratico 13 ADJ amod
15 de de 17 ADP case
16 o o 17 DET det
17 pais pais 13 NOUN nmod
18 em em 20 ADP case
19 o o 20 DET det
20 brasil brasil 11 NOUN nmod
21 entre entre 22 ADP case
22 1994 1994 26 NUM nmod
23 e e 24 CCONJ cc
24 2005 2005 22 NUM conj
25 claramente claramente 26 ADV advmod
26 vigorou vigorar 1 VERB conj
27 o o 29 DET det
28 mesmo mesmo 29 ADJ amod
29 programa programa 26 NOUN nsubj
30 basico basico 29 ADJ amod
31 de de 32 ADP case
32 governo governo 29 NOUN nmod
33 ainda ainda 37 ADV mark
34 que que 33 CCONJ fixed
35 o o 36 DET det
36 periodo periodo 37 NOUN nsubj
37 compreenda compreender 26 VERB advcl
38 os o 40 DET det
39 arquirrivais arquirrival 37 ADJ obj
40 psdb psdb 37 NOUN obj
41 e e 42 CCONJ cc
42 pt pt 40 NOUN conj
43 essa essa 44 DET det
44 fase fase 37 NOUN nsubj
45 pode pode 47 AUX aux
46 ser ser 47 AUX aux:pass
47 descrita descrever 26 VERB advcl
48 como como 50 ADP mark
49 moderadamente moderadamente 50 ADV advmod
50 liberal liberal 47 ADJ nmod
51 mas mas 53 CCONJ cc
52 com com 53 ADP case
53 vies vies 50 NOUN conj
54 social social 53 ADJ amod
55 mais mais 56 ADV advmod
56 bemsucedido bemsucedido 53 ADJ amod
57 em em 59 ADP case
58 o o 59 DET det
59 governo governo 158 NOUN nmod
60 lula lula 59 ADJ amod
61 a o 62 DET det
62 inflacao inflacao 64 NOUN nsubj:pass
63 foi foi 64 AUX aux:pass
64 combatida combater 47 VERB conj
65 mas mas 66 CCONJ cc
66 permaneceu permanecer 64 VERB conj
67 mais mais 68 ADV advmod
68 alta alto 66 ADJ xcomp
69 que que 501 ADP mark
70 em em 71 ADP case
71 paises paise 378 NOUN nmod
72 semelhantes semelhante 71 ADJ amod
73 a a 75 ADP case
74 o o 75 DET det
75 brasil brasil 72 NOUN nmod
76 as o 77 DET det
77 contas conta 501 NOUN nsubj
78 publicas publico 77 ADJ amod
79 foram foram 80 AUX aux:pass
80 saneadas sanear 311 VERB ccomp
81 mas mas 510 CCONJ cc
82 com com 83 ADP case
83 aumento aumento 94 NOUN nmod
84 de de 85 ADP case
85 impostos imposto 83 NOUN nmod
86 e e 88 CCONJ cc
87 nao nao 88 ADV advmod
88 cortes corte 99 NOUN conj
89 de de 90 ADP case
90 despesas despesa 88 NOUN nmod
91 empresas empresa 94 NOUN nsubj:pass
92 publicas publico 91 ADJ amod
93 foram foram 94 AUX aux:pass
94 privatizadas privatizar 80 VERB conj
95 mas mas 519 CCONJ cc
96 as o 97 DET det
97 maiores maiores 519 NOUN nsubj
98 como como 99 ADP case
99 petrobras petrobra 97 NOUN nmod
100 e e 101 CCONJ cc
101 banco banco 99 NOUN conj
102 de de 104 ADP case
103 o o 104 DET det
104 brasil brasil 101 NOUN nmod
105 permaneceram permanecer 80 VERB conj
106 em em 107 ADP case
107 maos mao 105 NOUN nmod
108 de de 110 ADP case
109 o o 110 DET det
110 estado estado 107 NOUN nmod
111 a o 112 DET det
112 economia economia 113 NOUN nsubj
113 permaneceu permanecer 311 VERB ccomp
114 fechada fechado 113 ADJ xcomp
115 e e 120 CCONJ cc
116 a o 120 DET det
117 industria industria 113 NOUN nsubj
118 nacional nacional 117 ADJ amod
119 protegida protegido 117 ADJ amod
120 houve haver 113 VERB conj
121 forte forte 122 ADJ amod
122 aumento aumento 120 NOUN obj
123 de de 125 ADP case
124 as o 125 DET det
125 transferencias transferencia 122 NOUN nmod
126 previdenciarias previdenciaria 125 ADJ amod
127 e e 128 CCONJ cc
128 sociais social 126 ADJ conj
129 de de 130 ADP case
130 2006 2006 125 NUM nmod
131 a a 132 ADP case
132 2014 2014 130 NUM nmod
133 o o 134 DET det
134 modelo modelo 214 NOUN nsubj
135 mudou mudar 134 VERB appos
136 relaxouse relaxousar 438 VERB ccomp
137 a o 138 DET det
138 preocupacao preocupacao 136 NOUN obj
139 com com 141 ADP case
140 as o 141 DET det
141 contas conta 138 NOUN nmod
142 publicas publico 141 ADJ amod
143 e e 447 CCONJ cc
144 a o 145 DET det
145 inflacao inflacao 449 NOUN conj
146 fortaleceramse fortalecerar 47 VERB conj
147 os o 148 DET det
148 subsidios subsidio 146 NOUN obj
149 e e 151 CCONJ cc
150 a o 151 DET det
151 protecao protecao 148 NOUN conj
152 as as 153 ADP case
153 empresas empresa 151 NOUN nmod
154 nacionais nacional 153 ADJ amod
155 e e 158 CCONJ cc
156 o o 158 DET det
157 governo governo 158 NOUN nsubj
158 direcionou direcionar 47 VERB conj
159 os o 160 DET det
160 investimentos investimento 158 NOUN obj
161 de de 163 ADP case
162 a o 163 DET det
163 petrobras petrobra 160 NOUN nmod
164 e e 165 CCONJ cc
165 tentou tentar 158 VERB conj
166 reerguer reerguer 165 VERB xcomp
167 a o 168 DET det
168 industria industria 166 NOUN obj
169 naval naval 168 ADJ amod
170 houve haver 467 VERB ccomp
171 aumento aumento 170 NOUN obj
172 mais mais 173 ADV advmod
173 agressivo agressivo 171 ADJ amod
174 de de 176 ADP case
175 as o 176 DET det
176 transferencias transferencia 171 NOUN nmod
177 previdenciarias previdenciaria 176 ADJ amod
178 e e 179 CCONJ cc
179 sociais social 177 ADJ conj
180 em em 182 ADP case
181 a o 182 DET det
182 esteira esteira 171 NOUN nmod
183 principalmente principalmente 186 ADV advmod
184 de de 186 ADP case
185 o o 186 DET det
186 aumento aumento 410 NOUN nmod
187 real real 186 ADJ amod
188 de de 190 ADP case
189 o o 190 DET det
190 salario salario 186 NOUN nmod
191 minimo minimo 190 ADJ amod
192 alem alem 519 ADV advmod
193 de de 195 ADP case
194 a o 195 DET det
195 implantacao implantacao 192 NOUN nmod
196 de de 198 ADP case
197 outros outros 198 DET det
198 programas programa 195 NOUN nmod
199 de de 200 ADP case
200 carater carater 198 NOUN nmod
201 social social 200 ADJ amod
202 como como 205 ADP case
203 o o 205 DET det
204 minha minha 205 DET det:poss
205 casa casa 198 NOUN nmod
206 minha minha 207 DET det:poss
207 vida vida 205 NOUN appos
208 e e 210 CCONJ cc
209 o o 210 DET det
210 fies fies 205 NOUN conj
211 a o 212 DET det
212 economia economia 214 NOUN nsubj
213 brasileira brasileiro 212 ADJ amod
214 teve ter 246 VERB ccomp
215 um um 216 DET det
216 desempenho desempenho 214 NOUN obj
217 bastante bastante 218 ADV advmod
218 satisfatorio satisfatorio 216 ADJ amod
219 entre entre 220 ADP case
220 2004 2004 214 NUM nmod
221 e e 222 CCONJ cc
222 2010 2010 220 NUM conj
223 decepcionante decepcionante 216 ADJ amod
224 de de 225 ADP case
225 2011 2011 223 NUM nmod
226 a a 227 ADP case
227 2014 2014 225 NUM nmod
228 e e 229 CCONJ cc
229 desastroso desastroso 223 ADJ conj
230 em em 231 ADP case
231 2015 2015 229 NUM nmod
232 e e 233 CCONJ cc
233 2016 2016 231 NUM conj
234 os o 235 DET det
235 defensores defensor 214 NOUN nsubj
236 de de 238 ADP case
237 o o 238 DET det
238 modelo modelo 235 NOUN nmod
239 mais mais 240 ADV advmod
240 intervencionista intervencionista 238 ADJ amod
241 de de 242 ADP case
242 2006 2006 238 NUM nmod
243 a a 244 ADP case
244 2014 2014 242 NUM nmod
245 podem podem 246 AUX aux
246 dizer dizer 1 VERB conj
247 que que 319 CCONJ mark
248 a o 250 DET det
249 maior maior 250 ADJ amod
250 parte parte 256 NOUN nsubj
251 de de 253 ADP case
252 o o 253 DET det
253 periodo periodo 250 NOUN nmod
254 de de 255 ADP case
255 ouro ouro 253 NOUN nmod
256 ocorreu ocorrer 246 VERB ccomp
257 enquanto enquanto 263 CCONJ mark
258 este este 259 DET det
259 tipo tipo 263 NOUN nsubj
260 de de 261 ADP case
261 politica politica 259 NOUN nmod
262 economica economico 261 ADJ amod
263 vigorava vigorar 256 VERB advcl
264 e e 273 CCONJ cc
