1 relembre relembrar 0 VERB root
2 frases frase 1 NOUN obj
3 de de 4 ADP case
4 teori teori 2 NOUN nmod
5 a a 7 ADP case
6 o o 7 DET det
7 longo longo 15 NOUN nmod
8 de de 10 ADP case
9 a o 10 DET det
10 trajetoria trajetoria 7 NOUN nmod
11 em em 31 ADP case
12 o o 31 DET det
13 supremo supremo 10 ADJ nmod
14 ministro ministro 15 NOUN nsubj
15 morreu morrer 1 VERB parataxis
16 em em 18 ADP case
17 a o 18 DET det
18 quintafeira quintafeira 15 NOUN nmod
19 apos apos 21 ADP case
20 a o 21 DET det
21 acidente acidente 15 NOUN nmod
22 de de 23 ADP case
23 aviao aviao 21 NOUN nmod
24 em em 26 ADP case
25 4 4 26 NUM nummod
26 anos ano 15 NOUN nmod
27 de de 28 ADP case
28 carreira carreira 26 NOUN nmod
29 em em 31 ADP case
30 o o 31 DET det
31 stf stf 26 NOUN nmod
32 ele ele 33 PRON nsubj
33 consolidou consolidar 15 VERB parataxis
34 um um 35 DET det
35 perfil perfil 33 NOUN obj
36 discreto discreto 35 ADJ amod
37 e e 38 CCONJ cc
38 tecnico tecnico 36 ADJ conj
39 conhecido conhecer 35 VERB acl
40 por por 42 ADP case
41 a o 42 DET det
42 discricao discricao 39 NOUN nmod
43 e e 44 CCONJ cc
44 perfil perfil 42 NOUN conj
45 tecnico tecnico 44 ADJ amod
46 o o 47 DET det
47 ministro ministro 148 NOUN nsubj
48 teori teori 47 NOUN appos
49 zavascki zavascki 48 PROPN flat
50 morto morto 47 VERB acl
51 nesta nesta 52 ADP case
52 quintafeira quintafeira 50 NOUN nmod
53 19 19 52 NUM appos
54 dava dar 15 VERB parataxis
55 poucas poucas 56 DET det
56 entrevistas entrevista 54 NOUN obj
57 e e 58 CCONJ cc
58 era era 54 VERB conj
59 avesso avesso 58 ADJ xcomp
60 a a 61 ADP case
61 comentarios comentario 59 NOUN nmod
62 sobre sobre 63 ADP case
63 processos processo 61 NOUN nmod
64 em em 67 ADP case
65 o o 67 DET det
66 supremo supremo 67 ADJ amod
67 tribunal tribunal 61 NOUN nmod
68 federal federal 67 ADJ amod
69 stf stf 175 NOUN nsubj
70 em em 73 ADP case
71 os o 73 DET det
72 4 4 73 NUM nummod
73 anos ano 175 NOUN nmod
74 em em 75 ADP case
75 que que 76 PRON nmod
76 atuou atuar 73 VERB acl:relcl
77 em em 79 ADP case
78 a o 79 DET det
79 corte corte 76 NOUN nmod
80 foi foi 81 AUX aux:pass
81 nomeado nomear 15 VERB parataxis
82 em em 83 ADP case
83 2012 2012 81 NUM nmod
84 por por 86 ADP case
85 a o 86 DET det
86 expresidente expresidente 81 NOUN nmod
87 dilma dilma 86 ADJ appos
88 rousseff rousseff 86 NOUN appos
89 teori teori 90 NOUN nsubj
90 optou optar 15 VERB parataxis
91 por por 93 ADP mark
92 se se 93 PRON obj
93 manifestar manifestar 90 VERB nmod
94 prioritariamente prioritariamente 93 ADV advmod
95 em em 97 ADP case
96 os o 97 DET det
97 autos auto 93 NOUN nmod
98 quando quando 99 CCONJ mark
99 demonstrava demonstrar 199 VERB advcl
100 um um 101 DET det
101 tom tom 99 NOUN obj
102 critico critico 101 ADJ amod
103 e e 104 CCONJ cc
104 firme firme 102 ADJ conj
105 tambem tambem 106 ADV advmod
106 fazia fazer 90 VERB advcl
107 parte parte 224 NOUN obj
108 de de 110 ADP case
109 a o 110 DET det
110 conduta conduta 107 NOUN nmod
111 de de 113 ADP case
112 o o 113 DET det
113 ministro ministro 110 NOUN nmod
114 nao nao 116 ADV advmod
115 se se 116 PRON obj
116 envolver envolver 110 VERB nmod
117 em em 118 ADP case
118 polemicas polemicas 116 NOUN nmod
119 com com 121 ADP case
120 os o 121 DET det
121 colegas colega 118 NOUN nmod
122 de de 124 ADP case
123 a o 124 DET det
124 corte corte 121 NOUN nmod
125 mesmo mesmo 130 ADV advmod
126 apos apos 130 ADP mark
127 ter ter 130 AUX aux
128 se se 130 PART expl:pv
129 tornado tornar 130 AUX cop
130 relator relator 116 NOUN advcl
131 de de 133 ADP case
132 a o 133 DET det
133 lava lava 130 NOUN nmod
134 jato jato 130 CCONJ mark
135 o o 136 DET det
136 caso caso 130 NOUN appos
137 de de 139 ADP case
138 maior maior 139 ADJ amod
139 repercussao repercussao 136 NOUN nmod
