1 condenado condenar 26 VERB acl
2 a a 4 ADP case
3 9 9 4 NUM nummod
4 anos ano 1 NOUN nmod
5 e e 7 CCONJ cc
6 6 6 7 NUM nummod
7 meses mês 4 NOUN conj
8 de de 9 ADP case
9 prisao prisao 4 NOUN nmod
10 por por 11 ADP case
11 corrupcao corrupcao 1 NOUN nmod
12 passiva passivo 11 ADJ amod
13 e e 14 CCONJ cc
14 lavagem lavagem 11 NOUN conj
15 de de 16 ADP case
16 dinheiro dinheiro 14 NOUN nmod
17 de de 18 ADP case
18 r r 14 NOUN nmod
19 225 225 20 NUM nummod
20 milhoes milhoes 18 NUM nummod
21 em em 23 ADP case
22 o o 23 DET det
23 caso caso 1 NOUN nmod
24 triplex triplex 23 NOUN appos
25 o o 26 DET det
26 expresidente expresidente 30 NOUN nsubj
27 lula lula 26 ADJ appos
28 ainda ainda 30 ADV advmod
29 e e 30 CCONJ cop
30 reu reu 0 NOUN root
31 em em 33 ADP case
32 4 4 33 NUM nummod
33 acoes acoe 30 NOUN nmod
34 penais penal 33 ADJ amod
35 uma uma 33 PRON appos
36 em em 38 ADP case
37 as o 38 DET det
38 maos mao 35 NOUN nmod
39 de de 41 ADP case
40 o o 41 DET det
41 juiz juiz 38 NOUN nmod
42 federal federal 41 ADJ amod
43 sergio sergio 41 NOUN appos
44 moro moro 43 NOUN flat
45 e e 46 CCONJ cc
46 tres tres 33 NUM conj
47 sob sob 48 ADP case
48 analise analise 46 NOUN nmod
49 de de 50 ADP case
50 vallisney vallisney 48 NOUN nmod
51 de de 52 ADP case
52 oliveira oliveira 50 NOUN nmod
53 de de 56 ADP case
54 a o 56 DET det
55 10 10 56 NUM nummod
56 vara vara 50 NOUN nmod
57 de de 59 ADP case
58 o o 59 DET det
59 distrito distrito 56 NOUN nmod
60 federal federal 59 ADJ amod
61 e e 62 CCONJ cc
62 alvo alvo 33 NOUN conj
63 de de 65 ADP case
64 uma um 65 DET det
65 denuncia denuncia 62 NOUN nmod
66 em em 68 ADP case
67 o o 68 DET det
68 ambito ambito 65 NOUN nmod
69 de de 71 ADP case
70 a o 71 DET det
71 lava lava 68 NOUN nmod
72 jato jato 71 NOUN flat
73 requerimentos requerimento 65 NOUN appos
74 de de 75 ADP case
75 investigacao investigacao 73 NOUN nmod
76 de de 78 ADP case
77 a o 78 DET det
78 procuradoriageral procuradoriageral 75 NOUN nmod
79 de de 81 ADP case
80 a o 81 DET det
81 republica republica 78 NOUN nmod
82 com com 83 ADP case
83 base base 354 NOUN nmod
84 em em 85 ADP case
85 delacoes delacoe 83 NOUN nmod
86 de de 88 ADP case
87 a o 88 DET det
88 odebrecht odebrecht 85 NOUN nmod
89 e e 90 CCONJ cc
90 inquerito inquerito 85 NOUN conj
91 embasado embasar 90 VERB acl
92 em em 94 ADP case
93 a o 94 DET det
94 colaboracao colaboracao 91 NOUN nmod
95 de de 96 ADP case
96 executivos executivo 94 NOUN nmod
97 de de 99 ADP case
98 a o 99 DET det
99 jbs jbs 96 NOUN nmod
100 lula lula 411 PROPN nsubj
101 ainda ainda 411 ADV advmod
102 e e 103 CCONJ cc
103 um um 30 PRON parataxis
104 de de 106 ADP case
105 os o 106 DET det
106 investigados investigado 103 NOUN nmod
107 em em 109 ADP case
108 o o 109 DET det
109 inqueritomae inqueritomae 106 NOUN nmod
110 de de 112 ADP case
111 a o 112 DET det
112 lava lava 109 NOUN nmod
113 jato jato 112 NOUN flat
114 contra contra 117 ADP case
115 o o 117 DET det
