1 leia ler 0 VERB root
2 redacoes redacoe 1 NOUN obj
3 nota nota 2 NOUN appos
4 mil mil 3 NUM appos
5 de de 7 ADP case
6 o o 7 DET det
7 enem enem 3 NOUN nmod
8 2016 2016 7 NUM appos
9 inep inep 10 NOUN nsubj
10 liberou liberar 1 VERB parataxis
11 consulta consulta 10 NOUN obj
12 a o 13 DET det
13 correcao correcao 10 NOUN obj
14 de de 16 ADP case
15 os o 16 DET det
16 textos texto 13 NOUN nmod
17 nesta nesta 18 ADP case
18 semanaconfira semanaconfira 10 NOUN nmod
19 exemplos exemplo 18 NOUN appos
20 que que 21 PRON nsubj
21 tiraram tirar 19 VERB acl:relcl
22 nota nota 21 NOUN obj
23 maxima maxima 22 ADJ amod
24 o o 25 DET det
25 instituto instituto 21 NOUN nsubj
26 nacional nacional 25 ADJ amod
27 de de 28 ADP case
28 estudos estudo 25 NOUN nmod
29 e e 30 CCONJ cc
30 pesquisas pesquisa 28 NOUN conj
31 educacionais educacional 30 ADJ amod
32 anisio anisio 25 NOUN appos
33 teixeira teixeiro 32 NOUN flat
34 inep inep 32 NOUN appos
35 liberou liberar 1 VERB parataxis
36 nesta nesta 37 ADP case
37 tercafeira tercafeira 35 NOUN nmod
38 11 11 37 NUM appos
39 o o 40 DET det
40 acesso acesso 35 NOUN obj
41 a a 43 ADP case
42 os o 43 DET det
43 espelhos espelho 40 NOUN nmod
44 de de 46 ADP case
45 as o 46 DET det
46 redacoes redacoe 43 NOUN nmod
47 de de 49 ADP case
48 o o 49 DET det
49 exame exame 46 NOUN nmod
50 nacional nacional 49 ADJ amod
51 de de 53 ADP case
52 o o 53 DET det
53 ensino ensino 49 NOUN nmod
54 medio medio 53 ADJ amod
55 enem enem 35 NOUN parataxis
56 2016 2016 55 NUM appos
57 de de 59 ADP case
58 o o 59 DET det
59 total total 159 NOUN nmod
60 de de 61 ADP case
61 candidatos candidato 59 NOUN nmod
62 que que 63 PRON nsubj
63 prestaram prestar 61 VERB acl:relcl
64 o o 65 DET det
65 exame exame 63 NOUN obj
66 77 77 65 NUM appos
67 conseguiram conseguir 103 VERB acl:relcl
68 alcancar alcancar 67 VERB xcomp
69 a o 70 DET det
70 nota nota 68 NOUN obj
71 maxima maxima 70 ADJ amod
72 o o 73 DET det
73 g1 g1 74 NOUN nsubj
74 disponibiliza disponibilizar 35 VERB conj
75 abaixo abaixo 74 ADV advmod
76 a o 77 DET det
77 integra integra 74 NOUN obj
78 de de 79 ADP case
79 alguns alguns 77 PRON nmod
80 desses desses 81 ADP case
81 textos texto 79 NOUN nmod
82 que que 83 PRON nsubj
83 tiraram tirar 79 VERB acl:relcl
84 1000 1000 85 NUM nummod
85 jogo jogo 83 NOUN obj
86 de de 87 ADP case
87 perguntas pergunta 85 NOUN nmod
88 e e 89 CCONJ cc
89 respostas resposta 87 NOUN conj
90 baixe baixe 89 ADJ amod
91 o o 92 DET det
92 app app 35 NOUN parataxis
93 g1 g1 92 X flat
94 enem enem 92 X flat
95 o o 96 DET det
96 numero numero 74 NOUN nsubj
97 e e 98 CCONJ cc
98 menor menor 96 ADJ conj
99 de de 103 ADP case
100 o o 103 DET det
101 que que 99 ADP fixed
102 o o 103 DET det
103 registrado registrado 98 NOUN nmod
104 em em 106 ADP case
105 o o 106 DET det
106 ano ano 103 NOUN nmod
107 anterior anterior 106 ADJ amod
108 quando quando 111 ADV advmod
109 104 104 110 NUM nummod
110 candidatos candidato 111 NOUN nsubj
111 conseguiram conseguir 103 VERB acl:relcl
112 tirar tirar 111 VERB xcomp
113 nota nota 112 NOUN obj
114 maxima maxima 113 ADJ amod
115 em em 117 ADP case
116 a o 117 DET det
117 redacao redacao 112 NOUN nmod
118 em em 119 ADP case
119 2014 2014 112 NUM nmod
120 foram foram 35 VERB parataxis
121 250 250 120 NUM nsubj
122 com com 123 ADP case
123 desempenho desempenho 40 NOUN nmod
124 maximo maximo 123 ADJ amod
125 o o 126 DET det
126 tema tema 120 NOUN nsubj
127 de de 129 ADP case
128 a o 129 DET det
129 redacao redacao 126 NOUN nmod
130 de de 132 ADP case
131 o o 132 DET det
132 enem enem 129 NOUN nmod
133 2016 2016 132 NUM appos
134 foi foi 135 AUX cop
135 caminhos caminho 103 NOUN acl:relcl
136 para para 137 ADP mark
137 combater combater 135 VERB nmod
138 a o 139 DET det
139 intolerancia intolerancia 137 NOUN obj
140 religiosa religioso 139 ADJ amod
141 em em 143 ADP case
142 o o 143 DET det
143 brasil brasil 137 NOUN nmod
144 ja ja 159 ADV advmod
145 os o 146 DET det
146 candidatos candidato 159 NOUN nsubj
147 que que 148 PRON nsubj
148 prestaram prestar 146 VERB acl:relcl
149 a o 151 DET det
150 segunda segundo 151 ADJ amod
151 aplicacao aplicacao 148 NOUN obj
152 de de 154 ADP case
153 o o 154 DET det
154 exame exame 151 NOUN nmod
155 em em 156 ADP case
156 dezembro dezembro 148 PROPN nmod
157 tiveram ter 159 AUX aux
158 de de 159 ADP mark
159 dissertar dissertar 120 VERB conj
160 sobre sobre 161 ADP case
161 caminhos caminho 159 NOUN nmod
162 para para 163 ADP mark
163 combater combater 161 VERB nmod
164 o o 165 DET det
165 racismo racismo 163 NOUN obj
166 em em 168 ADP case
167 o o 168 DET det
168 brasil brasil 163 NOUN nmod
169 a o 170 DET det
170 reaplicacao reaplicacao 176 NOUN nsubj
171 de de 173 ADP case
172 o o 173 DET det
173 enem enem 170 PROPN nmod
174 em em 175 ADP case
175 2016 2016 170 NUM nmod
176 ocorreu ocorrer 159 VERB parataxis
177 devido dever 179 VERB case
178 as as 177 ADP fixed
179 ocupacoes ocupacoe 176 NOUN nmod
