1 intervencao intervencao 22 NOUN nsubj
2 federal federal 1 ADJ amod
3 em em 5 ADP case
4 a o 5 DET det
5 seguranca seguranca 1 NOUN nmod
6 de de 8 ADP case
7 o o 8 DET det
8 rio rio 5 NOUN nmod
9 o o 1 PRON appos
10 que que 12 PRON nsubj
11 se se 12 PRON obj
12 sabe saber 9 VERB acl:relcl
13 e e 14 CCONJ cc
14 o o 9 PRON conj
15 que que 16 PRON nsubj
16 falta faltar 14 VERB acl:relcl
17 ser ser 18 AUX aux:pass
18 definido definir 16 VERB xcomp
19 onda onda 18 NOUN nsubj:pass
20 de de 21 ADP case
21 violencia violencia 19 NOUN nmod
22 fez fazer 0 VERB root
23 temer temer 22 NOUN obj
24 e e 25 CCONJ cc
25 pezao pezao 23 NOUN conj
26 tomarem tomar 22 VERB ccomp
27 a o 28 DET det
28 decisao decisao 26 NOUN obj
29 em em 31 ADP case
30 o o 31 DET det
31 fim fim 26 NOUN nmod
32 de de 34 ADP case
33 a o 34 DET det
34 noite noite 31 NOUN nmod
35 de de 36 ADP case
36 quinta quinta 34 PROPN nmod
37 15 15 36 NUM nmod
38 as o 39 DET det
39 forcas forca 50 NOUN nsubj
40 armadas armado 39 ADJ amod
41 e e 43 CCONJ cc
42 a o 43 DET det
43 cupula cupula 39 NOUN conj
44 de de 45 ADP case
45 seguranca seguranca 43 NOUN nmod
46 de de 48 ADP case
47 o o 48 DET det
48 rj rj 43 NOUN nmod
49 se se 50 PRON obj
50 reunem reunem 22 VERB parataxis
51 em em 53 ADP case
52 a o 53 DET det
53 manha manha 50 NOUN nmod
54 desta desta 55 ADP case
55 sextafeira sextafeira 53 NOUN nmod
56 para para 57 ADP mark
57 tracar tracar 50 VERB advcl
58 plano plano 57 NOUN obj
59 de de 60 ADP case
60 acao acao 58 NOUN nmod
61 sim sim 65 ADV advmod
62 o o 63 DET det
63 decreto decreto 65 NOUN nsubj:pass
64 foi foi 65 AUX aux:pass
65 assinado assinar 22 VERB parataxis
66 em em 67 ADP case
67 cerimonia cerimonia 65 NOUN nmod
68 em em 70 ADP case
69 o o 70 DET det
70 planalto planalto 65 NOUN nmod
71 em em 73 ADP case
72 a o 73 DET det
73 tarde tarde 65 NOUN nmod
74 desta desta 75 ADP case
75 sextafeira sextafeira 73 NOUN nmod
76 16 16 75 NUM appos
77 e e 80 CCONJ cc
78 passou passar 80 AUX aux
79 a a 80 ADP mark
80 vigorar vigorar 22 VERB conj
81 assim assim 84 ADV mark
82 que que 81 CCONJ fixed
83 foi foi 84 AUX aux:pass
84 publicado publicar 80 VERB advcl
85 em em 87 ADP case
86 o o 87 DET det
87 diario diario 84 NOUN nmod
88 oficial oficial 87 ADJ amod
89 de de 91 ADP case
90 a o 91 DET det
91 uniao uniao 87 NOUN nmod
92 ate ate 93 ADP case
93 31 31 84 NUM nmod
94 de de 95 ADP case
95 dezembro dezembro 93 PROPN nmod
96 de de 97 ADP case
97 2018 2018 95 NUM nmod
98 ultimo ultimo 99 ADJ amod
99 dia dia 84 NOUN nsubj:pass
100 de de 101 ADP case
101 pezao pezao 99 NOUN nmod
102 em em 104 ADP case
103 o o 104 DET det
104 governo governo 84 NOUN nmod
105 de de 107 ADP case
106 o o 107 DET det
107 estado estado 104 NOUN nmod
108 de de 110 ADP case
109 o o 110 DET det
110 rio rio 107 PROPN nmod
111 de de 112 ADP case
112 janeiro janeiro 110 PROPN nmod
113 o o 114 DET det
114 general general 222 NOUN nsubj:pass
115 walter walter 114 PROPN appos
116 souza souza 115 PROPN flat
117 braga braga 115 NOUN flat
