1 dois dois 2 NUM nummod
2 movimentos movimento 9 NOUN nsubj
3 em em 5 ADP case
4 a o 5 DET det
5 camara camara 2 NOUN nmod
6 de de 8 ADP case
7 os o 8 DET det
8 deputados deputado 5 NOUN nmod
9 conspiram conspirar 0 VERB root
10 por por 12 ADP case
11 a o 12 DET det
12 impunidade impunidade 9 NOUN nmod
13 de de 15 ADP case
14 os o 15 DET det
15 corruptos corrupto 12 NOUN nmod
16 com com 17 ADP case
17 poder poder 12 NOUN nmod
18 politico politico 17 ADJ amod
19 e e 22 CCONJ cc
20 por por 22 ADP case
21 a o 22 DET det
22 punicao punicao 12 NOUN conj
23 de de 24 ADP case
24 agentes agente 22 NOUN nmod
25 de de 27 ADP case
26 a o 27 DET det
27 lei lei 24 NOUN nmod
28 que que 30 PRON nsubj
29 se se 30 PRON obj
30 exponham expor 24 VERB acl:relcl
31 para para 32 ADP mark
32 garantir garantir 30 VERB advcl
33 a o 34 DET det
34 igualdade igualdade 32 NOUN obj
35 de de 38 ADP case
36 todos todos 38 DET det
37 os o 38 DET det
38 cidadaos cidadao 34 NOUN nmod
39 perante perante 40 ADP case
40 ela ela 38 PRON nmod
41 um um 40 PRON appos
42 deles deles 41 X nmod
43 e e 44 CCONJ cc
44 articulado articular 127 VERB conj
45 por por 47 ADP case
46 os o 47 DET det
47 relatores relator 44 NOUN nmod
48 de de 49 ADP case
49 reformas reforma 47 NOUN nmod
50 politicas politico 49 ADJ amod
51 o o 52 DET det
52 petista petista 127 NOUN nsubj
53 vicente vicente 52 ADJ appos
54 candido candido 229 NOUN flat
55 sp sp 259 ADJ amod
56 em em 58 ADP case
57 a o 58 DET det
58 camara camara 52 NOUN nmod
59 e e 61 CCONJ cc
60 o o 61 DET det
61 pemedebista pemedebista 52 NOUN conj
62 romero romero 61 NOUN appos
63 juca juca 62 NOUN flat
64 ap ap 62 NOUN flat
65 em em 67 ADP case
66 o o 67 DET det
67 senado senado 413 NOUN nmod
68 prevendo prever 61 VERB acl
69 distritao distritao 68 NOUN obj
70 bilionario bilionario 69 ADJ amod
71 fundo fundo 69 NOUN appos
72 partidario partidario 71 ADJ amod
73 anual anual 71 ADJ amod
74 com com 75 ADP case
75 dinheiro dinheiro 71 NOUN nmod
76 publica publico 75 ADJ amod
77 e e 79 CCONJ cc
78 uma um 79 DET det
79 emenda emenda 71 NOUN conj
80 para para 82 ADP mark
81 nao nao 82 ADV advmod
82 permitir permitir 79 VERB nmod
83 que que 86 CCONJ mark
84 a o 85 DET det
85 justica justica 86 NOUN nsubj
86 mande mandar 82 VERB ccomp
87 prender prender 86 VERB xcomp
88 lula lula 87 NOUN obj
89 o o 90 DET det
90 outro outro 87 PRON obj
91 engendrado engendrar 90 VERB acl
92 em em 94 ADP case
93 a o 94 DET det
94 comissao comissao 91 NOUN nmod
95 especial especial 94 ADJ amod
96 de de 98 ADP case
97 a o 98 DET det
98 reforma reforma 94 NOUN nmod
99 de de 101 ADP case
100 o o 101 DET det
101 codigo codigo 98 NOUN nmod
102 penal penal 101 ADJ amod
103 dificulta dificultar 9 VERB parataxis
104 delacoes delacoe 103 NOUN obj
105 premiadas premiar 104 VERB acl
106 prisoes prisoes 87 NOUN obj
107 provisorias provisorio 106 ADJ amod
108 conducoes conducoes 104 NOUN appos
109 coercitivas coercitivo 108 ADJ amod
110 e e 111 CCONJ cc
111 prisao prisao 108 NOUN conj
112 apos apos 113 ADP case
113 condenacao condenacao 103 NOUN nmod
114 em em 116 ADP case
115 segunda segundo 116 ADJ amod
116 instancia instancia 113 NOUN nmod
117 tudo tudo 118 PRON nsubj
118 advem advir 9 VERB parataxis
119 de de 121 ADP case
120 a o 121 DET det
121 alianca alianca 118 NOUN nmod
122 secreta secreto 121 ADJ amod
123 de de 124 ADP case
124 lula lula 121 NOUN nmod
125 e e 126 CCONJ cc
126 temer temer 124 NOUN conj
127 comentario comentario 9 VERB parataxis
128 em em 130 ADP case
129 o o 130 DET det
130 jornal jornal 127 NOUN nmod
131 eldorado eldorado 130 ADJ amod
132 de de 134 ADP case
133 a o 134 DET det
134 radio radio 130 NOUN nmod
135 eldorado eldorado 134 ADJ amod
136 fm fm 134 NOUN appos
137 1073 1073 136 NUM appos
138 em em 140 ADP case
139 a o 140 DET det
140 segundafeira segundafeira 127 NOUN nmod
141 24 24 140 NUM nmod
142 de de 143 ADP case
143 julho julho 141 PROPN nmod
144 de de 145 ADP case
145 2017 2017 143 NUM nmod
146 as o 147 DET det
147 7hs0m 7hs0m 204 NUM nsubj
148 para para 149 ADP mark
149 ouvir ouvir 204 VERB advcl
150 clique clique 149 NOUN obj
151 aqui aqui 150 ADV advmod
152 e e 413 CCONJ cc
153 em em 154 ADP case
154 seguida seguida 430 NOUN nmod
155 em em 157 ADP case
156 o o 157 DET det
157 play play 257 NOUN nmod
158 para para 159 ADP mark
159 ouvir ouvir 157 VERB nmod
160 abrete abrete 159 NOUN obj
161 sesamo sesamo 420 NOUN flat
162 com com 163 ADP case
163 ramon ramon 523 NOUN nmod
