1 veja ver 0 VERB root
2 fhc fhc 1 X obj
3 testemunha testemunha 1 NOUN nsubj
4 de de 5 ADP case
5 lula lula 3 NOUN nmod
6 expresidente expresidente 3 NOUN appos
7 tucano tucano 6 ADJ amod
8 foi foi 9 AUX aux:pass
9 arrolado arrolar 1 VERB ccomp
10 por por 12 ADP case
11 a o 12 DET det
12 defesa defesa 9 NOUN nmod
13 de de 15 ADP case
14 o o 15 DET det
15 petista petista 12 NOUN nmod
16 em em 17 ADP case
17 acao acao 9 NOUN nmod
18 sobre sobre 20 ADP case
19 suposto suposto 20 ADJ amod
20 trafico trafico 17 NOUN nmod
21 de de 22 ADP case
22 influencia influencia 20 NOUN nmod
23 em em 25 ADP case
24 a o 25 DET det
25 aquisicao aquisicao 20 NOUN nmod
26 de de 27 ADP case
27 cacas caca 25 NOUN nmod
28 e e 31 CCONJ cc
29 em em 31 ADP case
30 a o 31 DET det
31 edicao edicao 20 NOUN conj
32 de de 33 ADP case
33 medida medida 31 NOUN nmod
34 provisoria provisorio 33 ADJ amod
35 que que 36 PRON nsubj
36 beneficiou beneficiar 33 VERB acl:relcl
37 o o 38 DET det
38 setor setor 36 NOUN obj
39 automotivo automotivo 38 ADJ amod
40 o o 41 DET det
41 expresidente expresidente 36 NOUN nsubj
42 fernando fernando 41 NOUN appos
43 henrique henrique 42 NOUN flat
44 cardoso cardoso 42 ADJ amod
45 psdb psdb 42 PROPN appos
46 testemunhou testemunhar 9 VERB parataxis
47 nesta nesta 48 ADP case
48 tercafeira tercafeira 46 NOUN nmod
49 12 12 48 NUM appos
50 a a 52 ADP case
51 o o 52 DET det
52 juiz juiz 46 NOUN iobj
53 de de 56 ADP case
54 a o 56 DET det
55 10 10 56 NUM nummod
56 vara vara 52 NOUN nmod
57 federal federal 56 ADJ amod
58 de de 59 ADP case
59 brasilia brasilia 56 NOUN nmod
60 vallisney vallisney 46 NOUN obj
61 oliveira oliveira 60 ADJ flat
62 arrolado arrolar 60 VERB acl
63 por por 65 ADP case
64 a o 65 DET det
65 defesa defesa 62 NOUN nmod
66 de de 67 ADP case
67 lula lula 65 NOUN nmod
68 em em 69 ADP case
69 acao acao 62 NOUN nmod
70 em em 72 ADP case
71 a o 72 DET det
72 qual qual 76 PRON nmod
73 o o 74 DET det
74 petista petista 76 NOUN nsubj
75 e e 76 CCONJ cc
76 reu reu 69 VERB acl:relcl
77 por por 79 ADP case
78 suposto suposto 79 ADJ amod
79 trafico trafico 76 NOUN nmod
80 de de 81 ADP case
81 influencia influencia 79 NOUN nmod
82 para para 91 ADP mark
83 que que 82 CCONJ fixed
84 o o 85 DET det
85 governo governo 91 NOUN nsubj
86 de de 88 ADP case
87 a o 88 DET det
88 sucessora sucessor 85 NOUN nmod
89 dilma dilma 88 ADJ amod
90 rousseff rousseff 88 NOUN amod
91 adquirisse adquirir 62 VERB advcl
92 os o 93 DET det
93 cacas caca 91 NOUN obj
94 de de 96 ADP case
95 a o 96 DET det
96 saab saab 93 PROPN nmod
97 e e 100 CCONJ cc
98 tambem tambem 100 ADV advmod
99 para para 100 ADP mark
100 viabilizar viabilizar 126 VERB advcl
101 a o 102 DET det
102 edicao edicao 100 NOUN obj
103 de de 105 ADP case
104 a o 105 DET det
105 medida medida 102 NOUN nmod
106 provisoria provisorio 105 ADJ amod
107 627 627 105 NUM appos
108 editada editar 105 VERB acl
109 por por 111 ADP case
110 a o 111 DET det
111 petista petista 108 NOUN nmod
112 em em 113 ADP case
113 2013 2013 108 NUM nmod
114 que que 115 PRON nsubj
115 prorrogou prorrogar 133 VERB acl:relcl
116 incentivos incentivo 115 NOUN obj
117 fiscais fiscal 116 ADJ amod
118 de de 119 ADP case
119 montadoras montador 116 NOUN nmod
120 de de 121 ADP case
121 veiculos veiculo 119 NOUN nmod
122 alem alem 126 ADV advmod
123 de de 125 ADP case
124 o o 125 DET det
125 tucano tucano 122 NOUN nmod
126 prestaram prestar 69 VERB acl:relcl
127 depoimento depoimento 126 NOUN obj
128 como como 129 ADP case
129 testemunhas testemunha 126 NOUN nmod
130 de de 131 ADP case
131 lula lula 129 NOUN nmod
132 o o 133 DET det
133 exministro exministro 126 NOUN nsubj
134 de de 136 ADP case
135 a o 136 DET det
136 fazenda fazenda 133 NOUN nmod
137 em em 139 ADP case
138 a o 139 DET det
139 gestao gestao 133 NOUN nmod
140 de de 141 ADP case
141 fernando fernando 139 NOUN nmod
142 henrique henrique 141 NOUN flat
143 pedro pedro 141 NOUN flat
144 malan malan 141 NOUN flat
145 alem alem 46 ADV advmod
146 de de 148 ADP case
147 os o 148 DET det
148 exministros exministro 145 NOUN nmod
149 de de 151 ADP case
150 a o 151 DET det
151 justica justica 148 NOUN nmod
152 jose jose 148 NOUN appos
153 eduardo eduardo 152 NOUN flat
154 cardozo cardozo 152 NOUN flat
155 e e 158 CCONJ cc
156 de de 158 ADP case
157 a o 158 DET det
158 defesa defesa 151 NOUN conj
159 nelson nelson 148 NOUN appos
160 jobim jobim 159 NOUN flat
161 os o 163 DET det
162 dois dois 163 NUM nummod
163 ultimos ultimos 164 NOUN nsubj
164 exerceram exercer 126 VERB parataxis
165 os o 166 DET det
166 cargos cargo 164 NOUN obj
167 em em 169 ADP case
168 os o 169 DET det
169 governos governo 164 NOUN nmod
170 petistas petista 169 ADJ amod
