1 eua eua 7 NOUN nsubj
2 e e 3 CCONJ cc
3 coreia coreia 1 NOUN conj
4 de de 6 ADP case
5 o o 6 DET det
6 sul sul 3 NOUN nmod
7 fazem fazer 0 VERB root
8 exercicios exercicio 7 NOUN obj
9 militares militar 8 ADJ amod
10 apos apos 15 ADP mark
11 coreia coreia 15 NOUN nsubj
12 de de 14 ADP case
13 o o 14 DET det
14 norte norte 11 NOUN nmod
15 testar testar 7 VERB advcl
16 novo novo 17 ADJ amod
17 missil missil 15 NOUN obj
18 teste teste 15 NOUN obj
19 nortecoreano nortecoreano 18 ADJ amod
20 ocorreu ocorrer 7 VERB parataxis
21 12 12 22 NUM nummod
22 horas hora 23 NOUN nmod
23 antes antes 26 ADV case
24 de de 23 ADP case
25 a o 23 DET det
26 chegada chegada 20 NOUN nmod
27 de de 29 ADP case
28 o o 29 DET det
29 portaavioes portaavioes 26 NOUN nmod
30 norteamericano norteamericano 29 ADJ amod
31 uss uss 29 PROPN appos
32 carl carl 31 PROPN flat
33 vinson vinson 31 NOUN flat
34 e e 37 CCONJ cc
35 de de 37 ADP case
36 a o 37 DET det
37 armada armada 29 NOUN conj
38 que que 40 PRON nsubj
39 o o 40 PRON obj
40 acompanha acompanhar 37 VERB acl:relcl
41 a o 42 DET det
42 peninsula peninsula 40 NOUN obj
43 de de 45 ADP case
44 as o 45 DET det
45 coreias coreia 42 NOUN nmod
46 a o 47 DET det
47 coreia coreia 51 NOUN nsubj
48 de de 50 ADP case
49 o o 50 DET det
50 norte norte 47 NOUN nmod
51 testou testar 7 VERB parataxis
52 neste neste 53 ADP case
53 sabado sabado 51 PROPN nmod
54 29 29 53 NUM nmod
55 um um 56 DET det
56 missil missil 51 NOUN obj
57 balistico balistico 56 ADJ amod
58 pouco pouco 59 ADV advmod
59 depois depois 69 ADV mark
60 de de 59 ADP fixed
61 o o 62 DET det
62 secretario secretario 69 NOUN nsubj
63 de de 64 ADP case
64 estado estado 62 NOUN nmod
65 norteamericano norteamericano 64 ADJ amod
66 rex rex 62 NOUN appos
67 tillerson tillerson 66 PROPN flat
68 ter ter 69 AUX aux
69 alertado alertar 51 VERB advcl
70 que que 87 CCONJ mark
71 se se 75 CCONJ mark
72 o o 73 DET det
73 pais pais 75 NOUN nsubj
74 nao nao 75 ADV advmod
75 paralisar paralisar 87 VERB advcl
76 o o 78 DET det
77 seu seu 78 DET det:poss
78 programa programa 75 NOUN obj
79 nuclear nuclear 78 ADJ amod
80 podera podera 81 AUX aux
81 sofrer sofrer 69 VERB ccomp
82 consequencias consequencias 81 NOUN obj
83 catastroficas catastrofico 82 ADJ amod
84 o o 85 DET det
85 teste teste 87 NOUN nsubj
86 nortecoreano nortecoreano 85 ADJ amod
87 ocorreu ocorrer 69 VERB ccomp
88 12 12 89 NUM nummod
89 horas hora 87 NOUN nmod
90 antes antes 93 ADV case
91 de de 90 ADP case
92 a o 90 DET det
93 chegada chegada 87 NOUN nmod
94 de de 96 ADP case
95 o o 96 DET det
96 portaavioes portaavioes 93 NOUN nmod
97 norteamericano norteamericano 96 ADJ amod
98 uss uss 96 PROPN appos
99 carl carl 98 PROPN flat
100 vinson vinson 98 PROPN flat
101 e e 104 CCONJ cc
102 de de 104 ADP case
103 a o 104 DET det
104 armada armada 96 NOUN conj
105 que que 107 PRON nsubj
106 o o 107 PRON obj
107 acompanha acompanhar 104 VERB acl:relcl
108 a a 109 ADP case
109 peninsula peninsula 107 NOUN nmod
110 de de 112 ADP case
111 as o 112 DET det
112 coreias coreia 109 NOUN nmod
113 onde onde 114 ADV advmod
114 iniciaram iniciar 104 VERB acl:relcl
115 exercicios exercicio 114 NOUN obj
116 militares militar 115 ADJ amod
117 com com 119 ADP case
118 a o 119 DET det
119 coreia coreia 114 NOUN nmod
120 de de 122 ADP case
121 o o 122 DET det
122 sul sul 119 NOUN nmod
123 neste neste 124 ADP case
124 sabado sabado 114 PROPN nmod
125 segundo segundo 127 ADP case
126 a o 127 DET det
127 agencia agencia 114 NOUN nmod
128 reuters reuters 127 PROPN appos
