1 eua eua 2 PRON nsubj
2 afirmam afirmar 0 VERB root
3 que que 11 CCONJ mark
4 negociacoes negociacoe 11 NOUN nsubj
5 com com 6 ADP case
6 coreia coreia 4 NOUN nmod
7 de de 9 ADP case
8 o o 9 DET det
9 norte norte 6 NOUN nmod
10 ainda ainda 11 ADV advmod
11 estao estao 2 VERB ccomp
12 longe longe 11 ADV advmod
13 chefe chefe 11 NOUN nsubj
14 de de 16 ADP case
15 a o 16 DET det
16 diplomacia diplomacia 13 NOUN nmod
17 americana americano 16 ADJ amod
18 reduziu reduzir 2 VERB ccomp
19 a o 20 DET det
20 importancia importancia 18 NOUN obj
21 de de 23 ADP case
22 as o 23 DET det
23 declaracoes declaracoe 20 NOUN nmod
24 de de 26 ADP case
25 o o 26 DET det
26 lider lider 23 NOUN nmod
27 nortecoreano nortecoreano 26 ADJ amod
28 primeira primeiro 29 ADJ amod
29 etapa etapa 18 NOUN nsubj
30 seria seria 31 AUX aux
31 ter ter 18 VERB ccomp
32 discussoes discussoe 31 NOUN obj
33 sobre sobre 34 ADP case
34 discussoes discussoe 32 NOUN nmod
35 para para 36 ADP mark
36 ver ver 31 VERB advcl
37 se se 39 CCONJ mark
38 condicoes condicoes 39 NOUN nsubj
39 estao estao 36 VERB ccomp
40 corretas correto 39 ADJ xcomp
41 antes antes 43 ADV mark
42 de de 41 ADP fixed
43 pensar pensar 39 VERB advcl
44 em em 45 ADP case
45 negociacoes negociacoe 43 NOUN nmod
46 destacou destacar 54 VERB parataxis
47 o o 48 DET det
48 secretario secretario 54 NOUN nsubj
49 de de 50 ADP case
50 estado estado 48 NOUN nmod
51 americano americano 50 ADJ amod
52 rex rex 48 NOUN appos
53 tillerson tillerson 52 NOUN flat
54 afirmou afirmar 2 VERB parataxis
55 nesta nesta 56 ADP case
56 quintafeira quintafeira 54 NOUN nmod
57 8 8 56 NUM appos
58 em em 60 ADP case
59 adis adis 60 NOUN amod
60 abeba abeba 56 ADJ nmod
61 que que 194 CCONJ mark
62 estados estado 194 NOUN nsubj
63 unidos unido 62 ADJ amod
64 e e 65 CCONJ cc
65 coreia coreia 62 NOUN conj
66 de de 68 ADP case
67 o o 68 DET det
68 norte norte 65 NOUN nmod
69 ainda ainda 70 ADV advmod
70 estao estao 54 VERB ccomp
71 longe longe 70 ADV advmod
72 de de 73 ADP case
73 negociacoes negociacoe 71 NOUN nmod
74 diretas direto 73 ADJ amod
75 por por 77 ADP case
76 o o 77 DET det
77 programa programa 198 NOUN nmod
78 nuclear nuclear 77 ADJ amod
79 de de 80 ADP case
80 pyongyang pyongyang 77 NOUN nmod
81 em em 84 ADP case
82 o o 84 DET det
83 que que 84 PRON nsubj
84 diz dizer 194 VERB advcl
85 respeito respeito 84 NOUN obj
86 a a 87 ADP case
87 discussoes discussoe 85 NOUN nmod
88 diretas direto 87 ADJ amod
89 com com 90 ADP case
90 estados estado 87 NOUN nmod
91 unidos unido 90 ADJ amod
92 e e 93 CCONJ cc
93 coreia coreia 90 NOUN conj
94 de de 96 ADP case
95 o o 96 DET det
96 norte norte 93 NOUN nmod
97 ainda ainda 98 ADV advmod
98 estamos estar 194 VERB advcl
99 longe longe 98 ADV advmod
100 de de 101 ADP case
101 negociacoes negociacoe 99 NOUN nmod
102 devemos dever 103 AUX aux
103 ser ser 221 VERB ccomp
104 muito muito 105 ADV advmod
105 lucidos lucido 103 ADJ xcomp
106 e e 107 CCONJ cc
107 realistas realista 105 ADJ conj
108 sobre sobre 110 ADP case
109 este este 110 DET det
110 ponto ponto 226 NOUN nmod
111 disse dizer 103 VERB parataxis
112 tillerson tillerson 111 NOUN nsubj
113 em em 115 ADP case
114 a o 115 DET det
115 capital capital 111 NOUN nmod
116 de de 118 ADP case
117 a o 118 DET det
118 etiopia etiopia 115 NOUN nmod
119 primeira primeiro 120 ADJ amod
120 etapa etapa 115 NOUN appos
121 de de 123 ADP case
122 uma um 123 DET det
123 viagem viagem 120 NOUN nmod
124 por por 126 ADP case
125 a o 126 DET det
126 africa africa 123 NOUN nmod
127 como como 131 CCONJ mark
128 o o 129 DET det
129 presidente presidente 131 NOUN nsubj
130 trump trump 129 NOUN appos
131 indicou indicar 103 VERB advcl
132 ha ha 131 VERB obj
133 sinais sinais 245 NOUN obj
134 potencialmente potencialmente 135 ADV advmod
135 positivos positivo 133 ADJ amod
136 procedentes procedente 133 ADJ amod
137 de de 139 ADP case
138 a o 139 DET det
139 coreia coreia 136 NOUN nmod
140 de de 142 ADP case
141 o o 142 DET det
142 norte norte 139 NOUN nmod
143 por por 145 ADP case
144 seu seu 145 DET det:poss
145 dialogo dialogo 136 NOUN nmod
